"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"LFTO","NASD","Liftoff Mobile Inc","Communication Services","Advertising Agencies",4008.85,24.08,2.99%,443213,1440.19,0.34,1.90%,-1.63%,,,-4.06%,,8.59%,,1177.16%,37.12%,,5.62%,0.02%,4.15%
"AADX","NYSE","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense",3209.98,18.80,-2.24%,396804,2195.03,0.20,-9.88%,-7.98%,,,-9.40%,,9.44%,,-107.01%,21.01%,,0.04%,0.05%,8.21%
"ARXS","NASD","Arxis Inc","Industrials","Aerospace & Defense",17082.23,41.63,-3.19%,334759,1504.22,0.24,-3.43%,1.57%,,,9.55%,,5.08%,13.74%,,,42.24%,3.25%,0.00%,7.37%
"AVEX","NYSE","AEVEX Corp","Industrials","Aerospace & Defense",2103.12,17.56,5.72%,1848147,2886.87,0.70,1.21%,-14.59%,,,-23.69%,,5.58%,286.84%,,306.87%,,13.67%,1.11%,15.13%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",4257.45,18.45,1.32%,518906,1599.17,0.35,8.47%,13.68%,6.77%,-34.06%,-34.60%,,4.87%,83.39%,-36.77%,128.38%,47.80%,1.94%,26.28%,5.55%
"DPC","NYSE","DPC Holdings PLC","Industrials","Aerospace & Defense",6804.71,46.88,1.91%,696203,3324.50,0.23,-1.64%,,,,6.55%,,7.42%,,,,,37.25%,30.92%,3.58%
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3421.71,20.83,-3.32%,3706083,7125.38,0.57,-19.50%,-34.63%,-43.09%,-31.56%,-6.87%,,6.35%,-40.29%,-20.35%,44.80%,28.25%,7.22%,20.38%,13.94%
"HONA","NASD","Honeywell Aerospace Inc","Industrials","Aerospace & Defense",67687.15,213.60,2.94%,1547010,3068.77,0.55,-4.79%,,,,-28.20%,,5.43%,,,,,33.09%,0.70%,
"MDA","NYSE","MDA Space Ltd","Industrials","Aerospace & Defense",4607.89,33.21,-2.01%,1264867,1334.61,1.04,-14.12%,-10.89%,-0.98%,51.30%,71.17%,15.43%,5.32%,-6.78%,-9.52%,38.31%,8.56%,84.01%,70.33%,1.09%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",1781781.80,134.30,-1.31%,50456960,144919.51,0.38,-9.44%,-16.56%,,,-10.47%,,4.97%,,,,,66.92%,0.03%,17.23%
"YSS","NYSE","York Space Systems Inc","Industrials","Aerospace & Defense",2535.91,19.30,-9.22%,500077,2098.78,0.26,-8.10%,-30.30%,-43.99%,,-49.21%,,10.29%,-15.13%,,,,104.38%,40.32%,9.74%
"VGNT","NYSE","Versigent Plc","Consumer Cyclical","Auto Parts",2896.33,40.85,3.06%,683243,1596.76,0.47,1.05%,-12.50%,24.10%,,36.18%,,4.23%,-23.11%,,,-1.11%,54.49%,6.05%,5.74%
"PBLS","NASD","Parabilis Medicines Inc","Healthcare","Biotechnology",3543.32,29.99,-3.72%,293160,1069.13,0.30,-2.72%,10.01%,,,-10.07%,,8.71%,,,,,102.46%,28.18%,3.11%
"MAIR","NYSE","Madison Air Solutions Corp","Industrials","Building Products & Equipment",16940.30,33.79,-4.37%,1948024,2901.14,0.73,-1.62%,-13.39%,,,5.61%,,4.17%,24.61%,,,19.53%,443.56%,1.85%,10.46%
"FIGR","NASD","Figure Technology Solutions Inc","Financial","Capital Markets",6699.27,30.38,1.40%,1867383,3989.99,0.51,-0.88%,8.77%,-13.62%,-41.83%,-25.61%,,7.20%,80.58%,582.72%,72.52%,41.34%,15.83%,38.59%,10.66%
"MIAX","NYSE","Miami International Holdings Inc","Financial","Capital Markets",4095.61,42.31,2.46%,578740,1874.23,0.34,1.09%,-2.25%,-1.39%,-0.36%,-4.65%,,5.33%,-11.15%,678.45%,13.03%,3.48%,21.24%,56.96%,8.79%
"KLAR","NYSE","Klarna Group plc","Financial","Credit Services",7372.77,19.53,-0.51%,1751154,5609.04,0.34,2.63%,20.33%,36.96%,-36.18%,-32.45%,,4.39%,126.24%,95.07%,44.37%,,0.81%,23.01%,21.92%
