"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"LFTO","NASD","Liftoff Mobile Inc","Communication Services","Advertising Agencies",3700.86,22.23,0.09%,777568,1167.91,0.67,-0.49%,-12.72%,,,-11.43%,,4.45%,,1177.16%,37.12%,,7.38%,0.34%,2.34%,-4.32%,-9.29%,-9.29%
"AADX","NYSE","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense",2955.57,17.31,-8.22%,1547491,1857.41,0.83,0.12%,-16.50%,,,-16.58%,,8.56%,,-107.01%,21.01%,,2.34%,0.23%,3.58%,-11.41%,-11.61%,-11.61%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",3913.62,16.96,-7.68%,1522126,1624.44,0.94,-7.47%,3.60%,9.07%,-30.03%,-39.88%,,8.40%,83.39%,-36.77%,128.38%,47.80%,2.05%,26.94%,5.83%,-5.75%,-1.14%,-19.11%
"DPC","NYSE","DPC Holdings PLC","Industrials","Aerospace & Defense",6420.07,44.23,-2.64%,1015111,2435.16,0.42,-5.67%,-14.55%,,,0.52%,,7.38%,,,,,40.73%,30.92%,2.84%,-6.37%,-6.86%,-6.86%
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",2929.95,17.84,-7.66%,4139910,6801.13,0.61,-11.86%,-38.59%,-47.86%,-39.22%,-20.25%,,7.52%,-42.96%,-20.35%,44.80%,21.88%,9.99%,21.14%,13.86%,-20.30%,-43.47%,-35.52%
"HONA","NASD","Honeywell Aerospace Inc","Industrials","Aerospace & Defense",65021.16,205.19,-4.96%,2071362,2927.78,0.71,-1.25%,-6.81%,,,-31.03%,,5.76%,,,,,29.60%,3.12%,2.59%,-4.87%,-8.88%,-8.88%
"MDA","NYSE","MDA Space Ltd","Industrials","Aerospace & Defense",4662.86,28.76,-3.78%,1426301,1477.11,0.97,-9.02%,-24.47%,-4.86%,-0.17%,48.23%,-0.21%,5.44%,-8.99%,-9.52%,38.31%,10.26%,61.54%,60.07%,1.81%,-14.46%,-23.45%,0.81%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",1493215.11,112.55,-3.32%,53238401,121025.11,0.44,-2.35%,-31.45%,,,-24.97%,,7.28%,,,,,80.87%,0.29%,25.55%,-15.86%,-23.59%,-23.59%
"VGNT","NYSE","Versigent Plc","Consumer Cyclical","Auto Parts",3049.84,43.02,-2.60%,715538,1480.15,0.48,4.52%,9.19%,25.72%,,43.40%,,4.64%,-23.14%,,,-0.94%,61.32%,7.48%,5.75%,4.67%,-0.64%,8.00%
"MAIR","NYSE","Madison Air Solutions Corp","Industrials","Building Products & Equipment",15860.11,31.64,-1.80%,5109212,1915.68,2.67,-11.67%,-14.85%,-8.55%,,-1.13%,,6.12%,24.33%,,,19.56%,461.84%,1.85%,5.10%,-9.94%,-16.72%,-16.54%
"FIGR","NASD","Figure Technology Solutions Inc","Financial","Capital Markets",5506.28,24.97,-9.36%,4438009,3794.45,1.17,-16.88%,-7.76%,-27.33%,-60.23%,-38.86%,,6.45%,80.58%,582.72%,72.52%,41.34%,10.99%,37.17%,9.77%,-17.84%,-18.61%,-33.99%
"MIAX","NYSE","Miami International Holdings Inc","Financial","Capital Markets",4491.00,46.40,0.43%,1415617,1905.12,0.74,10.98%,25.98%,-1.90%,12.02%,4.55%,,4.29%,-10.61%,678.45%,13.03%,3.48%,21.76%,57.53%,8.78%,9.09%,8.57%,6.75%
"KLAR","NYSE","Klarna Group plc","Financial","Credit Services",7029.24,18.62,-0.48%,2888298,5418.35,0.53,4.31%,-8.00%,34.73%,-28.02%,-35.59%,,4.88%,126.39%,95.07%,44.37%,,0.52%,22.88%,23.00%,-2.24%,2.99%,-16.82%
"FPS","NYSE","Forgent Power Solutions Inc","Industrials","Electrical Equipment & Parts",8904.54,29.25,-9.75%,13024143,7819.46,1.67,-24.75%,-46.81%,-20.71%,,12.50%,,7.64%,,298.01%,115.99%,,113.33%,39.16%,5.54%,-28.86%,-41.11%,-28.61%
"VSNT","NASD","Versant Media Group Inc","Communication Services","Entertainment",5214.39,36.95,-0.78%,1215994,1953.48,0.62,2.10%,2.72%,-5.64%,11.40%,-17.89%,,2.79%,-25.69%,-20.39%,-1.17%,9.19%,409.28%,82.62%,2.85%,2.05%,-4.15%,-1.75%
"HTFL","NASD","Heartflow Inc","Healthcare","Health Information Services",2159.47,25.04,-2.15%,1002033,1508.96,0.66,3.34%,-28.15%,-18.04%,-19.77%,-14.10%,,6.09%,69.67%,19.77%,41.34%,,17.34%,67.72%,9.22%,-4.13%,-13.49%,-14.40%
"FDXF","NYSE","FedEx Freight Holding Company Inc","Industrials","Integrated Freight & Logistics",21582.58,144.36,-4.39%,899221,1929.97,0.47,-3.32%,-3.56%,,,6.93%,,4.79%,,,,,40.02%,2.77%,2.82%,-3.73%,-8.34%,-8.34%
"MDLN","NASD","Medline Inc","Healthcare","Medical Instruments & Supplies",52652.63,40.08,-1.06%,3650923,9767.57,0.37,7.80%,1.19%,-9.40%,-13.45%,-4.57%,,4.12%,5.84%,-62.12%,10.66%,9.23%,9.73%,64.69%,5.45%,-0.33%,5.82%,-4.46%
"MMED","NASD","MiniMed Group Inc","Healthcare","Medical Instruments & Supplies",5167.51,18.40,4.31%,1636019,1011.41,1.62,12.68%,23.66%,42.19%,,-3.41%,,5.31%,151.51%,,,,32.65%,11.59%,24.44%,13.94%,26.60%,28.03%
"WBI","NYSE","WaterBridge Infrastructure LLC","Energy","Oil & Gas Equipment & Services",4006.16,32.45,1.56%,966765,1202.90,0.80,-10.38%,-2.55%,13.46%,46.97%,62.17%,,5.21%,215.22%,513.11%,130.46%,,12.23%,115.80%,20.15%,-4.59%,1.46%,23.81%
"MICC","NYSE","Magnum Ice Cream Company NV","Consumer Defensive","Packaged Foods",11167.62,18.24,-1.41%,719927,1475.84,0.49,0.94%,3.87%,38.29%,3.70%,15.08%,,1.69%,-3.54%,-236.61%,3.31%,5.60%,8.58%,47.79%,2.42%,-0.84%,4.46%,12.78%
"JAN","NYSE","Janus Living Inc","Real Estate","REIT - Residential",9036.10,31.36,-0.92%,990063,1304.67,0.76,1.92%,8.89%,24.15%,,33.45%,,2.80%,353.85%,,,63.55%,35.39%,25.23%,6.46%,4.44%,12.46%,17.76%
