"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"Q","NYSE","Qnity Electronics Inc","Technology","Semiconductor Equipment & Materials",28273.35,135.06,-2.60%,1627972,1976.71,0.82,-0.95%,-14.91%,-3.62%,36.76%,65.41%,,3.49%,25.09%,-22.08%,17.62%,16.62%,0.89%,76.24%,2.11%
"CBRS","NASD","Cerebras Systems Inc","Technology","Semiconductors",55204.13,199.12,-9.49%,5949740,7810.42,0.76,15.19%,9.25%,,,-43.11%,,15.34%,,44.27%,94.35%,,46.18%,4.76%,13.02%
"BSP","NASD","Bending Spoons S.p.A","Technology","Software - Application",21635.57,34.06,2.13%,2202473,3704.77,0.59,5.12%,,,,9.87%,,6.20%,,,,,162.36%,10.56%,3.71%
"FIG","NYSE","Figma Inc","Technology","Software - Application",11159.31,21.12,5.60%,14239184,21080.88,0.68,-11.82%,13.30%,21.94%,-25.69%,-43.48%,,7.28%,-39.30%,-1719.05%,46.12%,0.78%,18.95%,29.14%,33.16%
"NAVN","NASD","Navan Inc","Technology","Software - Application",5900.49,23.20,4.36%,2963473,4424.45,0.67,-10.63%,6.52%,49.77%,53.74%,35.83%,,8.96%,,66.82%,39.86%,,0.21%,19.56%,9.62%
"OCTV","NASD","Octave Intelligence Plc","Technology","Software - Application",4380.90,16.32,5.29%,1439729,1450.09,0.99,-0.79%,1.87%,,,-41.71%,,3.28%,-9.00%,,,0.53%,9.47%,0.57%,0.50%
"PTRN","NASD","Pattern Group Inc","Technology","Software - Application",3921.12,22.17,-5.62%,1722501,1967.28,0.88,-21.13%,1.74%,67.19%,53.74%,92.11%,,6.80%,140.97%,83.13%,43.18%,,4.72%,14.59%,11.98%
"QNT","NASD","Quantinuum Inc","Technology","Software - Application",13646.16,52.29,-7.39%,1171210,3996.02,0.29,-6.74%,-26.46%,,,-23.10%,,8.90%,,,,,2.15%,1.91%,6.68%
"BLSH","NYSE","Bullish","Technology","Software - Infrastructure",3601.24,23.96,-1.16%,2198175,1537.92,1.43,6.92%,2.09%,-43.40%,-34.32%,-36.73%,,6.73%,87.84%,-153.34%,-35.42%,57.72%,0.51%,35.13%,26.24%
"MBGL","NYSE","Mobility Global Inc","Technology","Software - Infrastructure",6058.58,20.55,-0.72%,4174821,13898.95,0.30,2.19%,,,,-17.96%,,3.97%,,,,,2.00%,0.19%,1.89%
"NTSK","NASD","Netskope Inc","Technology","Software - Infrastructure",4657.24,11.53,3.22%,3313684,5709.49,0.58,-15.16%,21.37%,17.77%,-26.09%,-34.26%,,8.54%,62.65%,-40.26%,27.80%,,3.11%,35.74%,6.74%
"PAYP","NASD","PayPay Corp ADR","Technology","Software - Infrastructure",10022.87,15.51,-0.89%,749474,1067.22,0.70,-0.77%,11.66%,-23.33%,,-18.37%,,5.19%,-29.27%,,,6.49%,47.36%,3.96%,0.54%
"SOLS","NASD","Solstice Advanced Materials Inc","Basic Materials","Specialty Chemicals",9616.31,60.54,-0.56%,4317605,2796.23,1.54,3.70%,-30.14%,-25.31%,-3.78%,24.62%,,4.70%,79.05%,,,34.47%,1.65%,84.78%,7.14%
"INIO","NASD","Innio NV","Industrials","Specialty Industrial Machinery",19710.00,26.28,-6.11%,3106576,6466.32,0.48,-5.19%,-27.96%,,,-15.23%,,9.85%,,,,,0.64%,0.04%,7.36%
"XE","NASD","X-Energy Inc","Industrials","Specialty Industrial Machinery",5916.69,14.56,-8.54%,4547545,6241.57,0.73,3.85%,-23.77%,,,-51.64%,,9.64%,-35.46%,,,3.91%,24.83%,0.81%,7.92%
"FRVO","NASD","Fervo Energy Co","Utilities","Utilities - Renewable",7075.90,24.01,-8.93%,1688540,4074.11,0.41,-2.58%,-26.08%,,,-33.29%,,7.53%,,,,,17.26%,4.58%,4.31%
"MWH","NASD","SOLV Energy Inc","Utilities","Utilities - Renewable",5720.65,27.27,-8.87%,2720114,1930.19,1.41,-4.01%,-20.86%,-27.53%,,-9.10%,,6.28%,41.96%,,,34.50%,16.42%,13.48%,12.31%
