"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"LFTO","NASD","Liftoff Mobile Inc","Communication Services","Advertising Agencies",3855.68,23.16,2.43%,409697,1349.12,0.30,-3.38%,-13.16%,,,-7.73%,,6.64%,,1177.16%,37.12%,,5.67%,0.02%,4.39%
"AADX","NYSE","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense",2877.03,16.85,-0.88%,422077,2059.92,0.20,-9.99%,-16.71%,,,-18.80%,,9.32%,,-107.01%,21.01%,,0.04%,0.05%,8.21%
"ARXS","NASD","Arxis Inc","Industrials","Aerospace & Defense",17139.68,41.77,-0.13%,987269,1155.55,0.85,-1.37%,3.26%,9.92%,,9.92%,,7.19%,13.74%,,,42.24%,3.44%,0.00%,7.37%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",4532.05,19.64,10.59%,2169293,1578.45,1.37,12.49%,24.54%,8.81%,-29.15%,-30.38%,,5.64%,83.39%,-36.77%,128.38%,47.80%,1.96%,26.31%,5.54%
"DPC","NYSE","DPC Holdings PLC","Industrials","Aerospace & Defense",6540.54,45.06,-2.62%,1335785,3030.86,0.44,-3.88%,,,,2.41%,,9.09%,,,,,37.84%,30.92%,3.58%
"FLY","NASD","Firefly Aerospace Inc","Industrials","Aerospace & Defense",3230.50,19.67,2.08%,3103465,7008.15,0.44,-11.67%,-36.85%,-55.01%,-33.88%,-12.07%,,8.88%,-40.29%,-20.35%,44.80%,28.25%,8.98%,20.37%,15.29%
"HONA","NASD","Honeywell Aerospace Inc","Industrials","Aerospace & Defense",64158.69,202.47,-4.33%,3196971,2992.73,1.07,-4.97%,-25.00%,,,-31.94%,,5.71%,,,,,19.23%,1.25%,3.34%
"MDA","NYSE","MDA Space Ltd","Industrials","Aerospace & Defense",4162.50,30.00,-0.79%,1170873,1412.70,0.83,-4.67%,-23.00%,-14.80%,32.23%,54.62%,-5.06%,6.81%,-9.03%,-9.52%,38.31%,10.26%,64.05%,70.40%,1.09%
"SPCX","NASD","Space Exploration Technologies Corp","Industrials","Aerospace & Defense",1590065.07,119.85,-3.34%,56831536,135157.01,0.42,-13.86%,-37.52%,,,-20.10%,,5.85%,,,,,66.05%,0.06%,17.23%
"YSS","NYSE","York Space Systems Inc","Industrials","Aerospace & Defense",2288.96,17.42,-2.84%,922116,1992.38,0.46,-8.94%,-42.51%,-51.23%,,-54.16%,,10.71%,-15.13%,,,,109.09%,40.27%,9.74%
"VGNT","NYSE","Versigent Plc","Consumer Cyclical","Auto Parts",2837.16,40.02,0.02%,1043516,1531.57,0.68,-1.50%,-11.38%,15.33%,,33.40%,,5.11%,-23.16%,,,-0.94%,57.47%,6.67%,5.74%
