"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"LFTO","NASD","Liftoff Mobile Inc","Communication Services","Advertising Agencies",3303.66,19.51,-0.76%,781684,1140.47,0.69,-22.76%,-13.67%,,,-22.27%,,11.12%,,82.51%,35.43%,,11.06%,14.26%,3.33%,-13.98%,-18.08%,-18.78%,0.05%
"AADX","NYSE","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense",2977.24,17.27,-2.92%,1225159,1655.95,0.74,-9.63%,-4.22%,,,-16.77%,,7.66%,,-3159.49%,47.42%,,12.07%,23.15%,3.86%,-9.80%,-11.92%,-11.58%,-4.06%
"ARXS","NASD","Arxis Inc","Industrials","Aerospace & Defense",23257.50,55.71,-1.50%,433806,1016.96,0.43,-4.11%,25.76%,63.18%,,46.61%,,4.56%,42.13%,,,50.42%,9.23%,14.17%,3.31%,4.53%,18.24%,29.55%,-2.74%
"AVEX","NYSE","AEVEX Corp","Industrials","Aerospace & Defense",2155.39,18.90,-5.07%,764004,2295.55,0.33,-16.92%,28.14%,-28.22%,,-17.86%,,9.93%,295.03%,,99.53%,,29.76%,56.15%,14.14%,0.71%,3.50%,-16.69%,-5.41%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",6176.04,26.40,-1.35%,1566397,1615.07,0.97,11.02%,35.04%,80.82%,41.78%,-6.42%,,10.42%,82.53%,-62.49%,52.70%,46.22%,0.88%,28.07%,6.75%,20.51%,38.81%,24.89%,-1.49%
"DPC","NYSE","DPC Holdings PLC","Industrials","Aerospace & Defense",6859.88,47.26,-4.68%,520776,1797.81,0.29,-9.52%,-0.82%,,,7.41%,,7.82%,,,,,60.29%,63.44%,3.42%,-5.02%,-2.87%,-2.87%,-4.58%
"HAWK","NYSE","HawkEye 360 Inc","Industrials","Aerospace & Defense",2146.43,21.91,0.09%,1034328,1060.85,0.97,-11.40%,19.08%,-25.73%,,-35.18%,,7.92%,-1350.00%,-356.65%,87.07%,,18.36%,34.82%,4.14%,-2.61%,0.97%,-10.55%,-1.88%
"HONA","NASD","Honeywell Aerospace Inc","Industrials","Aerospace & Defense",53999.24,170.37,5.98%,7170741,3594.12,2.00,1.53%,-14.87%,,,-42.73%,,3.44%,,,,,181.79%,73.76%,2.75%,-8.45%,-18.84%,-18.84%,2.66%
"MDA","NYSE","MDA Space Ltd","Industrials","Aerospace & Defense",5257.88,32.43,-4.65%,745599,1592.84,0.47,-8.98%,2.72%,-16.78%,16.08%,67.15%,0.43%,4.77%,-10.54%,-7.82%,33.60%,11.68%,31.68%,58.13%,1.68%,-0.80%,-7.42%,11.13%,-5.48%
"VGNT","NYSE","Versigent Plc","Consumer Cyclical","Auto Parts",3357.59,47.40,1.52%,755810,1351.05,0.56,4.34%,15.41%,11.27%,,58.00%,,3.75%,-18.42%,24.35%,20.75%,-0.51%,115.07%,98.00%,4.73%,7.38%,9.49%,16.84%,0.00%
"MAIR","NYSE","Madison Air Solutions Corp","Industrials","Building Products & Equipment",14078.34,28.06,2.26%,3973521,2072.88,1.92,-11.90%,-21.18%,-27.25%,,-12.31%,,7.03%,31.59%,,,19.65%,56.88%,24.39%,4.43%,-10.16%,-19.25%,-23.35%,-0.78%
"FIGR","NASD","Figure Technology Solutions Inc","Financial","Capital Markets",8126.01,36.85,3.74%,5980661,3856.78,1.55,20.11%,17.02%,1.71%,3.80%,-9.77%,,10.14%,123.60%,150.25%,84.85%,48.73%,4.75%,47.38%,10.61%,25.31%,24.42%,-0.33%,5.05%
"IOND","NASD","Ionic Digital Inc","Financial","Capital Markets",3023.21,67.30,2.75%,1044740,1132.39,0.92,3.68%,,,,34.60%,,6.78%,,,,,2.05%,18.30%,0.31%,4.36%,4.36%,4.36%,5.16%
"KLAR","NYSE","Klarna Group plc","Financial","Credit Services",5560.72,14.73,-2.19%,17600525,5090.37,3.46,-22.96%,-22.60%,-2.64%,-22.27%,-49.05%,,6.32%,111.59%,107.26%,26.61%,,3.19%,26.63%,22.88%,-22.10%,-21.60%,-29.87%,-3.09%
"FPS","NYSE","Forgent Power Solutions Inc","Industrials","Electrical Equipment & Parts",10490.62,34.46,-4.75%,5300195,8221.28,0.64,-9.96%,-14.51%,-19.09%,5.45%,32.54%,,4.58%,,298.01%,115.99%,,78.11%,55.67%,5.91%,-5.61%,-23.71%,-15.01%,-5.95%
"LGN","NASD","Legence Corp","Industrials","Engineering & Construction",6751.29,62.49,-1.84%,1182557,1443.01,0.82,-9.01%,-13.87%,-22.26%,33.98%,45.19%,,7.44%,317.17%,-306.44%,110.74%,,1.87%,61.39%,7.94%,-3.73%,-14.12%,1.67%,-3.54%
"VSNT","NASD","Versant Media Group Inc","Communication Services","Entertainment",5448.99,39.26,-0.58%,1226855,1912.99,0.64,3.67%,8.60%,-7.36%,32.77%,-12.76%,,2.84%,-28.24%,-28.54%,-3.75%,9.47%,114.15%,86.15%,3.48%,5.16%,5.36%,4.37%,-0.08%
"CSQR","NYSE","Csquare Inc","Technology","Information Technology Services",3407.67,20.45,-4.93%,1339783,1867.97,0.72,-11.01%,-2.11%,,,-2.15%,,5.07%,,,,,2.47%,,2.52%,-4.76%,-4.08%,-4.08%,-4.80%
"FDXF","NYSE","FedEx Freight Holding Company Inc","Industrials","Integrated Freight & Logistics",20658.92,138.17,-0.76%,1131153,1750.19,0.65,-2.17%,-8.12%,,,2.35%,,4.43%,,,,,59.65%,60.89%,3.51%,-4.65%,-9.26%,-10.12%,-2.01%
"MDLN","NASD","Medline Inc","Healthcare","Medical Instruments & Supplies",44581.73,33.91,-0.62%,7799056,9758.79,0.80,-4.48%,-13.25%,-10.05%,-28.92%,-19.26%,,3.15%,5.44%,-83.26%,11.60%,7.87%,11.58%,74.18%,6.97%,-8.67%,-11.00%,-18.20%,-2.14%
"MMED","NASD","MiniMed Group Inc","Healthcare","Medical Instruments & Supplies",5678.64,20.22,4.44%,1619201,1119.18,1.45,-2.32%,21.08%,85.67%,,6.14%,,5.13%,151.04%,,,,13.24%,13.28%,23.13%,7.27%,21.43%,34.62%,3.11%
"WBI","NYSE","WaterBridge Infrastructure LLC","Energy","Oil & Gas Equipment & Services",3918.50,31.74,-0.63%,435874,1172.72,0.37,-0.19%,-10.54%,3.42%,31.65%,58.62%,,2.88%,218.16%,-36.37%,128.00%,,13.44%,107.13%,17.68%,-3.17%,-2.89%,18.34%,-1.12%
"MICC","NYSE","Magnum Ice Cream Company NV","Consumer Defensive","Packaged Foods",11883.97,19.41,2.27%,1030016,1170.91,0.88,-1.32%,8.56%,25.31%,20.63%,22.46%,,1.44%,0.76%,-20.16%,11.26%,6.98%,7.64%,48.63%,2.30%,3.03%,6.14%,18.19%,-0.92%
"JAN","NYSE","Janus Living Inc","Real Estate","REIT - Residential",9409.14,30.56,0.49%,1234919,1703.09,0.73,5.02%,-0.29%,15.10%,,30.04%,,2.67%,384.25%,,,95.23%,24.31%,35.66%,7.21%,0.50%,5.15%,12.66%,-0.65%
"EQPT","NASD","Equipmentshare.Com Inc","Industrials","Rental & Leasing Services",4975.22,19.68,0.72%,1859432,2799.57,0.66,-4.84%,12.20%,-12.10%,-39.15%,-30.95%,,8.32%,4227.20%,29.24%,26.33%,,52.44%,33.15%,19.73%,-0.76%,0.07%,-14.94%,-1.60%
"SUNB","NYSE","Sunbelt Rentals Holdings Inc","Industrials","Rental & Leasing Services",32726.12,79.83,1.31%,2333269,3435.68,0.68,-0.82%,10.80%,6.23%,,9.36%,,4.21%,7.63%,,,11.97%,17.25%,81.49%,2.79%,1.88%,3.77%,7.35%,-0.13%
"JMKE","NYSE","Jersey Mike's Subs Inc","Consumer Cyclical","Restaurants",7245.34,22.81,5.07%,2615071,6077.46,0.43,0.66%,,,,8.62%,,5.56%,,,,,0.04%,,1.54%,0.67%,0.67%,0.67%,4.59%
"Q","NYSE","Qnity Electronics Inc","Technology","Semiconductor Equipment & Materials",26368.65,126.04,-5.64%,1899672,1930.18,0.98,-11.29%,-9.18%,-13.22%,9.36%,54.37%,,3.23%,35.90%,-34.29%,22.14%,22.26%,0.67%,78.25%,2.34%,-6.69%,-12.30%,5.22%,-7.13%
"CBRS","NASD","Cerebras Systems Inc","Technology","Semiconductors",48281.89,215.69,-1.96%,10951692,7075.04,1.55,-17.69%,3.41%,-28.96%,,-38.37%,,11.09%,,-237.28%,74.32%,,52.58%,33.65%,13.59%,-0.50%,3.00%,-2.35%,-0.91%
