"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"ASAN","NYSE","Asana Inc","Technology","Software - Application",1887.87,8.19,5.68%,9438958,6251.49,1.51,10.83%,17.50%,31.25%,-28.84%,-40.26%,-45.51%,9.55%,38.07%,64.50%,9.52%,28.76%,25.13%,44.93%,39.51%,11.13%,12.99%,-13.29%
"ASST","NASD","Strive Inc","Financial","Asset Management",1003.23,11.98,-1.72%,2234327,4204.43,0.53,-7.85%,5.64%,-23.65%,-23.75%,-18.83%,-83.98%,6.53%,59.66%,-79.68%,1516.41%,,66.24%,43.60%,30.24%,-2.33%,-15.42%,-23.97%
"CRK","NYSE","Comstock Resources Inc","Energy","Oil & Gas E&P",3635.96,12.38,-4.77%,3201692,2700.74,1.19,-6.78%,-13.43%,-26.35%,-49.82%,-46.59%,-40.08%,4.88%,-22.69%,187.58%,14.53%,36.25%,-1.83%,28.99%,30.62%,-8.87%,-8.97%,-34.60%
"CSIQ","NASD","Canadian Solar Inc","Technology","Solar",927.13,13.65,-0.98%,1874927,2939.67,0.64,-11.16%,-11.27%,-1.90%,-38.82%,-42.55%,10.48%,7.35%,66.90%,6.72%,-9.92%,,18.98%,52.02%,34.53%,-8.14%,-15.97%,-27.02%
"GEMI","NASD","Gemini Space Station Inc","Financial","Capital Markets",522.49,4.38,-1.57%,942702,1910.10,0.49,-8.18%,4.78%,0.23%,-54.56%,-55.85%,,5.86%,58.49%,26.67%,630.01%,33.12%,-1.95%,8.91%,36.18%,-0.23%,-4.97%,-48.69%
"GRND","NYSE","Grindr Inc","Technology","Software - Application",2950.25,16.60,7.24%,1845068,1740.28,1.06,9.93%,15.76%,22.51%,38.68%,22.60%,-7.00%,4.75%,40.76%,69.80%,38.33%,27.35%,-3.11%,20.33%,36.60%,7.02%,20.53%,27.55%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",1067.35,28.10,2.07%,1318444,1836.52,0.72,7.87%,24.34%,87.83%,74.10%,59.57%,-14.77%,8.99%,93.59%,-284.42%,0.01%,,-4.75%,68.12%,66.68%,6.59%,30.28%,64.76%
"LVWR","NYSE","LiveWire Group Inc","Consumer Cyclical","Auto Manufacturers",399.28,1.95,-19.75%,29310362,3297.47,8.89,129.25%,41.30%,-1.02%,-25.29%,-55.88%,-53.68%,45.93%,,4.00%,55.20%,,-1.46%,1.95%,31.89%,93.58%,67.45%,-25.86%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",602.58,9.75,-4.13%,1782964,1503.36,1.19,-17.86%,-22.37%,-32.71%,-55.86%,-45.83%,-54.74%,8.58%,23.57%,-55.83%,-9.69%,,-6.94%,62.76%,30.13%,-18.77%,-28.04%,-46.79%
"MRLN","NASD","Merlin Inc","Industrials","Aerospace & Defense",343.63,3.56,-4.81%,1240846,2608.02,0.48,-7.05%,-28.23%,-68.77%,-66.45%,-66.79%,-65.57%,13.59%,-212.73%,-1849.10%,,-26.37%,30.74%,5.82%,71.35%,-14.74%,-38.39%,-61.75%
