"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"ASAN","NYSE","Asana Inc","Technology","Software - Application",2275.13,9.87,9.79%,7142484,5903.20,1.21,13.71%,30.90%,72.85%,31.78%,-28.01%,-29.04%,5.37%,38.07%,64.50%,9.52%,28.76%,20.55%,45.55%,31.65%,19.52%,28.34%,8.27%,8.94%
"ASST","NASD","Strive Inc","Financial","Asset Management",1074.86,12.58,1.53%,2363417,4086.14,0.58,2.19%,-0.24%,-24.85%,55.50%,-14.77%,-86.16%,4.73%,75.55%,-10.31%,-19.20%,,60.71%,46.79%,30.28%,3.45%,-2.72%,-17.39%,1.49%
"CRK","NYSE","Comstock Resources Inc","Energy","Oil & Gas E&P",3987.37,13.58,-2.44%,1397986,2596.36,0.54,2.80%,3.90%,-6.67%,-33.50%,-41.42%,-13.39%,3.74%,-24.51%,-92.98%,-25.21%,32.16%,-1.33%,29.37%,31.71%,1.62%,0.77%,-27.11%,0.59%
"CSIQ","NASD","Canadian Solar Inc","Technology","Solar",1039.50,15.31,-2.61%,1110793,2656.01,0.42,-1.03%,-3.35%,-23.64%,-26.50%,-35.59%,31.30%,5.56%,66.62%,6.72%,-9.92%,,24.78%,59.04%,32.74%,1.67%,-1.43%,-18.32%,-1.86%
"GEMI","NASD","Gemini Space Station Inc","Financial","Capital Markets",512.95,4.30,3.12%,2331092,1858.46,1.25,8.04%,-7.92%,-12.60%,-35.63%,-56.65%,,5.18%,58.91%,26.67%,630.01%,33.01%,-0.16%,11.71%,33.85%,1.72%,-1.32%,-42.65%,3.37%
"GRND","NYSE","Grindr Inc","Technology","Software - Application",2737.67,15.75,-0.76%,2342468,1784.21,1.31,-8.16%,-0.19%,7.80%,52.17%,16.32%,-3.20%,5.77%,27.72%,18.97%,32.54%,28.78%,-5.83%,20.03%,34.72%,-3.11%,6.81%,18.83%,-1.13%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",893.83,21.98,-0.77%,888179,1731.72,0.51,-12.60%,-15.40%,19.59%,83.01%,24.82%,-27.55%,8.48%,91.67%,-109.93%,-0.82%,,-4.03%,62.09%,63.95%,-15.60%,-4.86%,26.93%,1.10%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",619.20,10.53,-3.48%,1342404,1747.11,0.77,9.80%,-17.73%,-31.22%,-38.74%,-41.50%,-58.88%,7.86%,14.59%,8.51%,-5.33%,,-14.34%,63.39%,32.77%,1.79%,-14.51%,-34.98%,-2.14%
"MRLN","NASD","Merlin Inc","Industrials","Aerospace & Defense",426.64,4.42,6.25%,1400837,2539.57,0.55,4.00%,13.92%,-43.26%,-58.02%,-58.77%,-57.09%,7.95%,-212.73%,-1849.10%,,-26.37%,20.75%,7.23%,87.01%,13.58%,-12.17%,-50.20%,6.00%
"NNE","NASD","Nano Nuclear Energy Inc","Industrials","Specialty Industrial Machinery",1101.88,20.52,7.94%,3256083,2627.78,1.24,16.52%,14.83%,-24.14%,-21.56%,-14.54%,-43.14%,5.94%,18.73%,0.92%,,-17.59%,-9.33%,45.82%,34.67%,18.13%,1.83%,-23.27%,4.64%
