"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"CRK","NYSE","Comstock Resources Inc","Energy","Oil & Gas E&P",4257.49,14.50,2.33%,2884842,2449.54,1.18,7.09%,17.12%,9.60%,-21.20%,-37.45%,-8.63%,3.72%,-28.02%,-92.98%,-25.21%,32.24%,2.01%,30.73%,31.27%,5.72%,6.48%,-21.20%,2.91%
"CSIQ","NASD","Canadian Solar Inc","Technology","Solar",941.73,13.87,-2.87%,1587469,2334.52,0.68,-12.10%,1.57%,-27.19%,-31.57%,-41.65%,21.77%,6.39%,79.07%,6.72%,-9.92%,,17.43%,61.83%,33.25%,-8.52%,-8.13%,-24.98%,-2.67%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",775.08,19.06,-2.71%,910897,1638.96,0.56,-6.34%,-32.17%,-11.18%,54.33%,8.23%,-27.39%,4.39%,93.91%,-109.93%,-0.82%,,-0.53%,92.37%,59.09%,-16.56%,-19.40%,10.11%,-1.29%
"IEP","NASD","Icahn Enterprises L P","Energy","Oil & Gas Refining & Marketing",4841.34,6.81,2.56%,749077,1001.92,0.75,2.41%,-13.03%,-9.80%,-14.55%,-9.80%,-18.54%,2.83%,,-75.03%,35.30%,,12.43%,1.46%,34.77%,-6.19%,-7.48%,-11.77%,2.87%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",735.50,12.70,-1.70%,2146535,1791.61,1.20,5.31%,30.26%,-18.28%,-28.09%,-29.44%,-50.27%,7.78%,3.84%,8.51%,-5.33%,,-7.78%,61.12%,33.90%,16.71%,8.29%,-17.92%,1.44%
"MRLN","NASD","Merlin Inc","Industrials","Aerospace & Defense",335.55,3.32,-0.90%,859619,2458.74,0.35,0.15%,-6.74%,-58.50%,-68.41%,-69.03%,-68.02%,8.14%,-338.64%,-2114.86%,,-25.22%,21.21%,17.32%,86.98%,-13.26%,-23.16%,-61.09%,-0.60%
"NNE","NASD","Nano Nuclear Energy Inc","Industrials","Specialty Industrial Machinery",993.41,18.50,-3.85%,1716529,2562.12,0.67,-3.39%,15.19%,-32.38%,-31.99%,-22.95%,-42.78%,6.43%,23.92%,0.92%,,-12.59%,0.64%,43.84%,33.23%,0.03%,-3.40%,-27.73%,-3.24%
"NUAI","NASD","New Era Energy & Digital Inc","Technology","Software - Infrastructure",526.41,4.94,-2.56%,4068518,7996.49,0.51,-8.52%,12.40%,19.61%,0.82%,68.60%,910.23%,10.81%,50.00%,2.39%,-82.55%,16.06%,98.86%,53.25%,31.69%,-4.02%,-3.80%,3.51%,-1.59%
"POET","NASD","POET Technologies Inc","Technology","Semiconductors",1398.31,8.08,0.00%,5458363,19239.30,0.28,-4.27%,19.53%,-39.16%,27.04%,27.65%,49.08%,4.57%,-90.36%,67.23%,112.29%,,11.59%,79.85%,30.19%,-3.23%,-7.44%,0.50%,1.25%
"SERV","NASD","Serve Robotics Inc","Industrials","Integrated Freight & Logistics",414.46,4.78,-2.05%,2581895,4927.96,0.52,0.00%,1.70%,-45.93%,-53.86%,-53.95%,-53.46%,7.26%,-66.43%,-120.28%,404.36%,-9.04%,8.36%,41.08%,34.34%,-4.61%,-13.13%,-46.27%,-2.05%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",399.94,12.44,-3.27%,660040,3072.29,0.21,-10.44%,31.78%,-51.78%,27.46%,-9.46%,212.56%,6.16%,75.64%,60.11%,52.25%,55.56%,20.65%,37.82%,37.11%,-6.69%,-13.46%,-8.40%,-3.12%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1427.16,26.93,6.48%,3069627,5660.31,0.54,-7.43%,23.08%,-57.43%,31.56%,54.68%,-83.09%,11.50%,36.88%,34.73%,-24.06%,,44.82%,103.58%,69.15%,-4.42%,-20.15%,-5.59%,5.61%
"WYFI","NASD","Whitefiber Inc","Technology","Information Technology Services",776.96,20.00,-1.96%,2606534,2593.79,1.00,-6.45%,-14.93%,-36.67%,7.76%,26.58%,19.90%,9.57%,-14.24%,-72.22%,59.49%,,5.24%,26.11%,63.77%,-19.02%,-32.31%,-7.85%,-0.25%
"XNDU","NASD","Xanadu Quantum Technologies Ltd","Technology","Software - Infrastructure",3123.08,10.26,-3.39%,658874,2303.86,0.29,-1.06%,2.40%,-40.35%,-1.35%,-4.74%,2.29%,4.98%,48.04%,-444.47%,,23.84%,1.71%,7.07%,92.06%,-4.92%,-7.71%,-17.91%,-2.38%
