"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"ASAN","NYSE","Asana Inc","Technology","Software - Application",1514.45,6.57,-4.51%,4465097,6255.95,0.71,-14.01%,-1.50%,2.50%,-38.48%,-52.08%,-56.55%,7.58%,38.07%,64.50%,9.52%,28.76%,24.63%,44.93%,39.31%
"CRML","NASD","Critical Metals Corp","Basic Materials","Other Industrial Metals & Mining",897.49,6.11,-6.29%,5967220,9480.45,0.63,-8.94%,-37.08%,-48.48%,-59.99%,-11.96%,34.58%,8.92%,-140.74%,-493.10%,,,3.26%,15.64%,31.52%
"CSIQ","NASD","Canadian Solar Inc","Technology","Solar",997.40,14.69,-4.61%,1451086,2969.01,0.49,-0.34%,-0.27%,8.73%,-28.03%,-38.20%,10.62%,6.97%,66.90%,6.72%,-9.92%,,17.95%,50.94%,34.06%
"GEMI","NASD","Gemini Space Station Inc","Financial","Capital Markets",524.87,4.40,-3.51%,848601,1931.68,0.44,-3.30%,-0.68%,-6.58%,-57.07%,-55.65%,,7.03%,58.56%,26.67%,630.01%,33.12%,-1.95%,8.91%,31.73%
"GRPN","NASD","Groupon Inc","Communication Services","Internet Content & Information",965.55,25.42,-8.95%,1190837,1872.95,0.64,-11.06%,51.67%,59.57%,56.91%,44.35%,-25.76%,8.67%,93.59%,-284.42%,0.01%,,-3.53%,68.10%,59.61%
"METC","NASD","Ramaco Resources Inc","Basic Materials","Coking Coal",680.41,11.20,-9.97%,1316818,1471.24,0.90,-7.44%,-12.70%,-24.93%,-51.91%,-37.78%,-50.42%,5.64%,23.57%,-55.83%,-9.69%,,-5.09%,62.87%,30.58%
"MRLN","NASD","Merlin Inc","Industrials","Aerospace & Defense",340.25,3.53,5.70%,2637446,2575.98,1.02,-3.16%,-41.25%,-70.94%,-67.09%,-67.12%,-65.93%,10.68%,-212.73%,-1849.10%,,-26.37%,29.29%,5.82%,64.59%
"NTST","NYSE","Netstreit Corp","Real Estate","REIT - Retail",2132.10,21.83,1.11%,1864419,1875.17,0.99,-1.40%,9.59%,4.70%,17.87%,23.75%,22.09%,2.89%,292.04%,176.81%,24.22%,69.88%,30.25%,140.62%,34.59%
"PLAY","NASD","Dave & Buster's Entertainment Inc","Communication Services","Entertainment",339.19,9.75,-4.51%,1707469,1791.42,0.95,-7.50%,-13.49%,-24.59%,-53.94%,-39.85%,-71.47%,7.02%,39.91%,-73.55%,-1.50%,15.32%,-9.02%,109.95%,34.18%
"RUM","NASD","RUM Group Inc","Communication Services","Internet Content & Information",2610.91,5.99,-2.60%,2184157,3436.46,0.64,4.72%,-11.00%,-10.73%,-3.23%,-5.22%,-40.22%,6.21%,12.50%,-935.71%,7.39%,,2.40%,15.33%,38.09%
"SERV","NASD","Serve Robotics Inc","Industrials","Specialty Industrial Machinery",389.96,5.04,-5.08%,3005638,4569.55,0.66,-4.36%,-21.37%,-48.68%,-61.92%,-51.45%,-56.85%,5.47%,-63.91%,-177.29%,577.47%,-6.20%,6.11%,41.89%,31.03%
"UPST","NASD","Upstart Holdings Inc","Financial","Credit Services",2640.68,27.59,-3.67%,3378762,4463.44,0.76,-10.65%,-12.30%,-20.58%,-40.14%,-36.91%,-67.21%,4.27%,-45.74%,-163.85%,44.45%,24.47%,-9.03%,60.37%,31.54%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",301.29,10.11,-3.81%,1170424,3652.03,0.32,-2.27%,-51.06%,-32.42%,-41.29%,-26.42%,42.19%,11.45%,78.68%,85.25%,48.24%,58.48%,6.69%,25.26%,36.15%
"WOLF","NYSE","Wolfspeed Inc","Technology","Semiconductors",1349.19,25.96,-11.31%,6107198,7431.52,0.82,-16.74%,-46.92%,-6.45%,33.26%,49.11%,-87.32%,8.71%,-272.59%,-64.54%,-18.99%,,14.09%,87.15%,71.72%
"WYFI","NASD","Whitefiber Inc","Technology","Information Technology Services",1046.83,27.11,-2.69%,1881140,2354.83,0.80,5.08%,-39.43%,56.89%,33.42%,71.58%,,10.87%,-5.74%,-933.33%,46.00%,,-2.43%,21.24%,42.45%
