"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"QMCO","NASD","Quantum Corp","Technology","Computer Hardware",764.37,19.40,64.69%,16448133,1135.65,14.48,69.43%,100.62%,98.36%,226.60%,200.78%,153.26%,7.87%,117.29%,-277.09%,25.69%,,1.54%,17.43%,9.32%,68.43%,60.88%,131.46%,33.61%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",1297.37,25.97,-4.31%,5419498,5960.07,0.91,-2.62%,50.81%,69.30%,86.43%,103.85%,160.74%,10.80%,64.05%,49.95%,687.32%,31.29%,65.62%,64.94%,19.91%,21.37%,15.29%,61.82%,-5.25%
"CDNA","NASD","Caredx Inc","Healthcare","Diagnostics & Research",2443.41,47.23,0.34%,637919,1009.83,0.63,0.30%,64.22%,119.16%,133.93%,150.69%,301.27%,4.07%,109.20%,1412.42%,52.23%,49.46%,-1.71%,98.09%,13.23%,15.93%,48.56%,114.03%,0.34%
"EFOR","NYSE","Everforth Inc","Technology","Information Technology Services",1346.03,32.83,1.17%,656887,1115.02,0.59,6.87%,79.60%,73.70%,-34.42%,-31.85%,-32.93%,6.11%,-20.06%,-48.00%,-1.33%,6.30%,-4.18%,106.43%,10.56%,32.00%,52.73%,-7.29%,2.59%
"AEHR","NASD","Aehr Test Systems","Technology","Semiconductor Equipment & Materials",3822.46,117.18,10.34%,2519673,2507.24,1.00,6.63%,72.27%,12.07%,324.72%,480.39%,570.37%,12.82%,2000.00%,143.11%,33.69%,,2.96%,71.66%,15.61%,31.37%,27.20%,110.03%,10.08%
"BSP","NASD","Bending Spoons S.p.A","Technology","Software - Application",33946.12,53.44,3.91%,4467416,3272.18,1.37,42.70%,68.16%,,,72.39%,,17.12%,,,,,162.08%,11.51%,3.71%,43.11%,45.91%,45.91%,0.85%
"CHYM","NASD","Chime Financial Inc","Technology","Software - Application",12012.50,31.73,2.85%,12975093,6096.78,2.13,27.17%,51.46%,74.05%,41.65%,26.06%,5.03%,8.64%,109.58%,102.84%,10.61%,,7.01%,47.03%,13.73%,31.07%,51.05%,47.38%,3.36%
"RNG","NYSE","RingCentral Inc","Technology","Software - Application",5298.46,63.45,-1.01%,1158959,1959.65,0.59,4.58%,50.89%,42.20%,131.82%,119.70%,134.22%,4.60%,15.30%,215.14%,5.90%,12.25%,-2.67%,103.94%,12.17%,22.28%,42.39%,74.91%,-0.53%
"TEAM","NASD","Atlassian Corp","Technology","Software - Application",39100.55,154.08,1.46%,4424871,5171.58,0.86,39.68%,60.23%,76.47%,68.89%,-4.97%,-3.26%,5.76%,-5.30%,703.74%,27.60%,13.98%,3.35%,64.85%,11.20%,46.14%,60.83%,42.81%,1.78%
