"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"FIGS","NYSE","Figs Inc","Consumer Cyclical","Apparel Manufacturing",2438.94,14.68,1.87%,2955938,3034.44,0.97,-0.07%,58.87%,18.01%,30.60%,29.23%,111.83%,3.49%,93.76%,253.77%,28.81%,30.27%,1.07%,94.45%,13.29%,15.21%,27.60%,20.33%,0.75%
"ASST","NASD","Strive Inc","Financial","Asset Management",1556.75,18.22,12.96%,14761352,4201.38,3.51,47.95%,50.70%,-1.67%,123.56%,23.44%,-77.94%,8.41%,75.55%,-10.31%,-19.20%,,31.76%,53.94%,29.71%,41.70%,40.92%,22.69%,3.17%
"PURR","NASD","Hyperliquid Strategies Inc","Financial","Capital Markets",2121.96,10.58,4.96%,35437980,14650.87,2.42,58.38%,62.52%,24.76%,146.62%,197.19%,,13.43%,,,,,35.20%,56.20%,14.03%,48.50%,38.52%,77.64%,0.57%
"QMCO","NASD","Quantum Corp","Technology","Computer Hardware",876.87,22.25,8.59%,1459472,1663.17,0.88,-14.78%,92.64%,136.45%,315.11%,244.96%,216.50%,11.28%,117.29%,-277.09%,25.69%,,1.94%,34.07%,9.81%,35.36%,62.89%,149.55%,6.97%
"PSNL","NASD","Personalis Inc","Healthcare","Diagnostics & Research",1962.98,18.38,8.89%,7994050,4094.51,1.95,30.91%,50.41%,122.79%,121.98%,130.90%,294.42%,5.23%,-17.93%,-32.61%,29.96%,10.38%,1.65%,60.77%,12.11%,32.22%,39.29%,94.96%,10.36%
"TWST","NASD","Twist Bioscience Corp","Healthcare","Diagnostics & Research",9584.54,145.59,6.79%,1794002,1808.61,0.99,22.79%,57.50%,147.45%,199.63%,358.98%,450.02%,7.72%,-66.14%,-268.48%,23.24%,14.99%,5.62%,116.60%,22.17%,28.52%,45.64%,145.55%,5.17%
"AMLX","NASD","Amylyx Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic",4307.62,38.66,-2.52%,4640670,2251.03,2.06,78.73%,119.78%,177.53%,175.95%,220.03%,358.60%,11.19%,0.99%,16.00%,,43.86%,4.33%,96.41%,14.17%,55.28%,90.75%,145.69%,-2.85%
"HTFL","NASD","Heartflow Inc","Healthcare","Health Information Services",4325.94,49.75,6.30%,2461883,1711.20,1.44,18.23%,102.15%,70.38%,98.21%,70.67%,71.97%,9.50%,74.31%,-65.19%,47.57%,,26.28%,82.66%,10.63%,51.82%,62.05%,71.07%,5.07%
"TEM","NASD","Tempus AI Inc","Healthcare","Health Information Services",13115.81,72.69,9.06%,15879931,6394.55,2.48,39.52%,57.99%,56.36%,24.53%,23.10%,-5.24%,7.43%,65.57%,112.51%,21.56%,,-2.02%,55.83%,31.00%,41.58%,38.04%,28.03%,10.81%
"EFOR","NYSE","Everforth Inc","Technology","Information Technology Services",1340.70,32.70,1.65%,623947,1034.96,0.60,3.25%,66.50%,71.03%,-27.73%,-32.12%,-36.43%,5.37%,-20.40%,-48.00%,-1.33%,5.88%,-3.82%,107.45%,11.67%,8.68%,40.56%,-6.28%,1.71%
"LIFE","NASD","Ethos Technologies Inc","Financial","Insurance Brokers",2178.01,34.16,1.91%,848522,830.57,1.02,0.41%,79.51%,64.94%,216.30%,79.79%,,7.04%,-272.23%,4.25%,113.35%,-4.21%,28.28%,16.75%,13.81%,18.52%,52.22%,91.85%,0.77%
"ALOY","NASD","REalloys Inc","Basic Materials","Other Industrial Metals & Mining",862.34,12.50,12.92%,2892322,3020.80,0.96,-15.08%,67.34%,29.40%,-4.58%,54.42%,103.25%,12.35%,,-69.62%,54.98%,-13.41%,80.80%,32.12%,16.94%,12.11%,2.02%,13.43%,10.52%
"AMPL","NASD","Amplitude Inc","Technology","Software - Application",1660.13,13.29,2.78%,1929124,2468.88,0.78,2.00%,65.09%,103.83%,87.71%,14.77%,21.59%,4.01%,18.25%,-42.49%,21.16%,64.69%,1.64%,62.59%,9.19%,19.16%,42.05%,52.59%,2.86%
"BLKB","NASD","Blackbaud Inc","Technology","Software - Application",2156.94,47.52,2.30%,340464,800.99,0.43,5.02%,52.06%,60.43%,-3.28%,-24.95%,-27.02%,4.06%,17.87%,46.30%,3.30%,,2.21%,88.52%,12.09%,8.13%,34.72%,6.67%,2.30%
"CHYM","NASD","Chime Financial Inc","Technology","Software - Application",12410.01,32.78,2.60%,5941470,6651.41,0.89,2.37%,57.90%,80.91%,56.77%,30.23%,25.21%,4.53%,109.74%,102.84%,10.61%,,12.10%,42.60%,13.61%,15.57%,40.68%,48.37%,2.44%
"INTA","NASD","Intapp Inc","Technology","Software - Application",3163.73,41.35,2.94%,824045,903.89,0.91,3.09%,57.40%,103.49%,89.42%,-9.76%,-1.31%,3.97%,25.90%,-1009.23%,12.95%,21.99%,-5.85%,89.03%,5.55%,12.85%,37.28%,34.21%,3.37%
"MNTN","NYSE","MNTN Inc","Technology","Software - Application",964.96,12.90,1.82%,612191,1255.01,0.49,3.04%,54.31%,58.48%,29.00%,8.04%,-42.10%,4.25%,722.77%,123.63%,20.56%,,14.21%,42.28%,12.59%,16.18%,27.94%,23.49%,1.57%
"NIQ","NYSE","NIQ Global Intelligence plc","Technology","Software - Application",5539.27,18.78,3.47%,1293728,1632.33,0.79,7.62%,80.06%,122.25%,66.64%,13.89%,6.40%,3.96%,375.13%,-116.32%,8.01%,86.65%,1.06%,19.90%,13.14%,31.91%,63.13%,50.76%,2.62%
