"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"ANF","NYSE","Abercrombie & Fitch Co","Consumer Cyclical","Apparel Retail",5936.15,139.89,3.49%,1408578,1535.97,0.92,-8.02%,33.03%,57.07%,61.87%,11.14%,61.31%,3.86%,30.66%,43.22%,4.81%,13.24%,5.59%,113.90%,10.03%,3.49%,21.75%,40.65%,3.22%
"ASST","NASD","Strive Inc","Financial","Asset Management",2556.33,27.41,-0.58%,7714795,5760.00,1.34,2.70%,107.65%,73.59%,146.94%,85.70%,-69.41%,7.69%,75.60%,-10.31%,-19.20%,62.11%,15.96%,49.38%,24.01%,15.30%,62.61%,83.70%,-1.47%
"QMCO","NASD","Quantum Corp","Technology","Computer Hardware",939.14,23.83,2.45%,758632,1444.60,0.53,-1.69%,-4.37%,65.37%,331.70%,269.46%,188.15%,7.31%,117.29%,-277.09%,25.69%,,13.23%,36.58%,7.39%,2.93%,37.69%,132.29%,1.15%
"AMLX","NASD","Amylyx Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic",4095.49,32.63,-1.57%,1366175,2452.20,0.56,0.71%,52.26%,116.81%,128.34%,170.12%,172.83%,5.27%,1.51%,16.00%,,44.87%,0.20%,85.62%,12.00%,-6.91%,24.17%,86.36%,-1.27%
"HTFL","NASD","Heartflow Inc","Healthcare","Health Information Services",4199.86,48.30,-0.06%,1391414,1912.96,0.73,3.49%,15.16%,50.70%,114.48%,65.69%,54.71%,6.16%,74.39%,-65.19%,47.57%,,33.62%,82.75%,9.38%,-0.66%,32.77%,57.99%,-0.06%
"SDGR","NASD","Schrodinger Inc","Healthcare","Health Information Services",1790.10,23.93,2.92%,2800926,1210.99,2.31,24.64%,37.53%,60.28%,94.71%,33.84%,25.22%,7.97%,-13.66%,113.42%,7.54%,13.73%,-0.52%,84.30%,17.52%,18.32%,33.62%,57.08%,2.75%
"ODD","NASD","ODDITY Tech Ltd","Consumer Defensive","Household & Personal Products",836.70,18.14,1.06%,1595807,1270.54,1.26,10.07%,50.04%,59.12%,27.03%,-54.85%,-70.80%,15.76%,-78.34%,-69.86%,-25.14%,-14.24%,3.12%,75.30%,24.32%,20.87%,20.40%,-12.93%,0.00%
"EFOR","NYSE","Everforth Inc","Technology","Information Technology Services",1329.63,32.43,-4.05%,588540,940.85,0.63,5.98%,5.09%,54.28%,-12.49%,-32.68%,-36.21%,5.12%,-20.41%,-48.00%,-1.33%,5.87%,-1.06%,107.62%,10.20%,1.73%,17.19%,-4.34%,-3.05%
"LIFE","NASD","Ethos Technologies Inc","Financial","Insurance Brokers",2457.90,38.55,-4.29%,2886608,1061.45,2.72,-2.95%,9.61%,141.24%,223.81%,102.89%,,7.15%,-272.23%,4.25%,113.35%,-4.21%,-2.93%,16.76%,9.69%,1.75%,30.23%,92.41%,-2.90%
"BBNX","NASD","Beta Bionics Inc","Healthcare","Medical Devices",997.87,22.18,15.34%,7190599,1162.19,6.19,27.32%,26.31%,59.00%,108.46%,-27.21%,-4.77%,12.08%,-17.19%,-35.38%,37.76%,3.40%,-5.03%,97.19%,25.12%,16.12%,27.51%,35.75%,19.18%
"TXG","NASD","10x Genomics Inc","Healthcare","Medical Devices",9469.56,72.68,-2.30%,4078302,3097.01,1.32,8.01%,25.33%,128.91%,301.77%,345.62%,453.54%,6.58%,-108.97%,-149.75%,-12.65%,-5.80%,8.24%,105.65%,13.92%,11.36%,31.64%,136.40%,-2.44%
"MMED","NASD","MiniMed Group Inc","Healthcare","Medical Instruments & Supplies",6302.24,22.40,1.77%,4068112,1494.31,2.72,-1.58%,14.70%,52.38%,33.10%,17.59%,,5.11%,152.15%,100.00%,16.44%,,1.74%,13.26%,29.67%,4.24%,16.52%,40.47%,1.17%
"CVI","NYSE","CVR Energy Inc","Energy","Oil & Gas Refining & Marketing",5333.15,53.05,1.69%,1326375,1057.45,1.25,11.15%,45.66%,86.01%,77.90%,108.53%,59.89%,7.02%,193.12%,97.37%,55.48%,,1.94%,32.53%,18.25%,21.79%,40.62%,70.26%,3.92%
"DK","NYSE","Delek US Holdings Inc","Energy","Oil & Gas Refining & Marketing",4847.14,79.16,1.31%,1672983,1487.67,1.12,5.15%,17.78%,79.70%,86.96%,166.89%,151.70%,5.65%,129.27%,254.26%,47.83%,,-2.37%,102.01%,9.85%,9.34%,18.40%,71.04%,3.48%
"PARR","NYSE","Par Pacific Holdings Inc","Energy","Oil & Gas Refining & Marketing",4253.46,84.90,1.56%,1145460,971.47,1.18,2.13%,3.45%,61.62%,60.37%,141.61%,139.63%,5.39%,172.29%,699.13%,56.80%,0.74%,-3.37%,101.71%,9.60%,6.43%,9.14%,47.98%,4.12%
"PBF","NYSE","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing",9000.50,75.93,1.62%,3636986,3180.16,1.14,-0.76%,1.15%,93.95%,70.44%,179.98%,147.98%,7.07%,586.97%,16421.43%,56.23%,,5.06%,89.44%,11.27%,3.63%,11.78%,66.21%,3.99%
"TEAM","NASD","Atlassian Corp","Technology","Software - Application",48167.26,190.28,0.25%,2589035,4454.59,0.58,7.06%,20.17%,116.35%,154.01%,17.36%,10.60%,4.60%,-6.08%,703.74%,27.60%,13.33%,1.46%,63.93%,6.35%,4.51%,35.81%,72.11%,2.58%
"APPN","NASD","Appian Corp","Technology","Software - Infrastructure",2686.06,37.50,-1.11%,567889,873.33,0.65,9.52%,7.42%,64.47%,47.17%,5.87%,21.08%,5.06%,77.28%,-3759.52%,19.11%,37.33%,-1.53%,50.13%,9.94%,-2.35%,15.21%,32.99%,2.73%
"BLZE","NASD","Backblaze Inc","Technology","Software - Infrastructure",811.51,13.11,0.92%,1632257,3584.68,0.46,-0.91%,-32.39%,58.14%,255.28%,181.33%,37.28%,6.27%,185.71%,34.40%,17.67%,1.20%,11.72%,57.70%,7.19%,-7.25%,-13.98%,61.81%,2.34%
"NTSK","NASD","Netskope Inc","Technology","Software - Infrastructure",7064.48,17.29,-1.03%,7229138,5701.45,1.27,19.57%,13.38%,93.18%,82.58%,-1.43%,,8.19%,69.01%,-15.79%,29.15%,,15.46%,46.03%,5.25%,16.42%,23.25%,33.69%,0.93%
"OKTA","NASD","Okta Inc","Technology","Software - Infrastructure",32887.28,188.12,-1.22%,3631210,3429.01,1.06,8.90%,31.33%,61.80%,139.55%,117.56%,109.21%,6.21%,12.24%,75.23%,10.58%,11.81%,-1.74%,94.31%,4.63%,16.40%,24.27%,78.70%,0.86%
