"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"ANF","NYSE","Abercrombie & Fitch Co","Consumer Cyclical","Apparel Retail",6377.73,143.54,5.08%,1470956,1509.40,0.97,-1.52%,31.15%,84.83%,62.38%,14.04%,55.26%,4.54%,29.91%,43.20%,4.81%,11.94%,4.70%,108.93%,9.30%,17.97%,35.12%,48.49%,4.24%
"ASST","NASD","Strive Inc","Financial","Asset Management",2405.31,26.82,10.28%,17040239,5147.56,3.31,16.00%,115.42%,78.56%,189.95%,81.71%,-79.40%,10.07%,75.60%,-10.31%,-19.20%,62.11%,17.05%,51.40%,23.12%,50.36%,86.38%,82.67%,4.66%
"QMCO","NASD","Quantum Corp","Technology","Computer Hardware",957.66,24.30,6.67%,792973,1622.36,0.49,3.14%,109.84%,53.99%,376.47%,276.74%,237.03%,8.67%,117.29%,-277.09%,25.69%,,12.84%,36.71%,8.15%,11.09%,58.92%,153.10%,6.53%
"TWST","NASD","Twist Bioscience Corp","Healthcare","Diagnostics & Research",8473.29,128.71,-1.75%,1065231,1799.93,0.59,-15.93%,11.91%,74.10%,164.51%,305.77%,395.04%,6.86%,-66.03%,-268.48%,23.24%,14.99%,0.61%,116.63%,22.14%,-3.41%,16.63%,100.29%,-3.12%
"WGS","NASD","GeneDx Holdings Corp","Healthcare","Diagnostics & Research",2606.19,87.39,0.77%,484241,833.55,0.58,-2.07%,25.00%,55.30%,6.57%,-32.81%,-31.31%,4.20%,-92.86%,-264.35%,11.44%,9.47%,-8.21%,107.00%,22.84%,5.19%,20.19%,2.77%,-1.12%
"AMLX","NASD","Amylyx Pharmaceuticals Inc","Healthcare","Drug Manufacturers - Specialty & Generic",4262.43,33.96,-1.54%,1369119,2469.48,0.55,-8.66%,55.42%,137.32%,140.85%,181.13%,245.12%,5.68%,1.51%,16.00%,,44.87%,0.22%,85.63%,12.64%,7.70%,42.13%,102.53%,-1.54%
"HTFL","NASD","Heartflow Inc","Healthcare","Health Information Services",4322.46,49.71,-0.58%,1290338,1814.89,0.71,3.35%,82.96%,72.54%,99.96%,70.53%,58.92%,4.75%,74.31%,-65.19%,47.57%,,33.35%,82.69%,10.51%,14.89%,47.77%,66.71%,-1.82%
"TXG","NASD","10x Genomics Inc","Healthcare","Health Information Services",8237.01,63.22,2.55%,2172267,3206.21,0.68,-2.51%,33.21%,88.72%,192.14%,287.61%,373.91%,5.82%,-112.61%,-149.75%,-12.65%,-6.20%,3.28%,98.19%,13.74%,4.29%,25.60%,120.25%,1.40%
"EFOR","NYSE","Everforth Inc","Technology","Information Technology Services",1305.03,31.83,3.08%,1142900,943.50,1.21,0.60%,0.60%,54.51%,-26.20%,-33.92%,-40.68%,4.84%,-20.41%,-48.00%,-1.33%,5.87%,-0.90%,107.63%,10.60%,-0.27%,25.15%,-7.28%,0.16%
"LIFE","NASD","Ethos Technologies Inc","Financial","Insurance Brokers",2404.34,37.71,2.47%,722035,937.50,0.77,-4.39%,36.04%,119.50%,180.37%,98.47%,,6.12%,-272.23%,4.25%,113.35%,-4.21%,-2.76%,16.76%,9.24%,6.54%,43.46%,98.63%,0.61%
