"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"DELL","NYSE","Dell Technologies Inc","Technology","Computer Hardware",299381.24,461.81,0.93%,48399,8754.45,0.11,6.91%,16.74%,150.29%,283.34%,266.86%,267.42%,5.69%,79.00%,281.26%,87.49%,36.14%,-1.95%,40.23%,4.31%
"SNDK","NASD","Sandisk Corp","Technology","Computer Hardware",254603.34,1719.25,-2.19%,302128,13146.80,0.46,-0.46%,-13.17%,82.04%,341.66%,624.26%,3924.46%,8.51%,2134.04%,272.72%,251.03%,,-4.46%,79.69%,4.93%
"STX","NASD","Seagate Technology Holdings Plc","Technology","Computer Hardware",197391.02,880.31,0.23%,19579,4370.95,0.09,2.36%,-5.45%,65.03%,173.83%,219.66%,490.61%,5.65%,83.51%,107.51%,44.07%,77.91%,-2.45%,85.96%,2.94%
"WDC","NASD","Western Digital Corp","Technology","Computer Hardware",194917.74,565.50,0.39%,60532,8293.80,0.15,2.76%,0.46%,54.42%,166.57%,228.26%,737.41%,5.29%,102.61%,483.37%,45.47%,80.89%,-1.09%,99.08%,6.55%
"AMAT","NASD","Applied Materials Inc","Technology","Semiconductor Equipment & Materials",486997.62,613.38,2.97%,154019,9287.28,0.33,7.52%,8.13%,55.03%,99.64%,138.68%,207.78%,5.74%,30.26%,33.44%,11.41%,31.52%,-1.77%,82.90%,2.52%
"AMD","NASD","Advanced Micro Devices Inc","Technology","Semiconductors",903556.55,554.12,1.09%,218336,36375.96,0.12,7.10%,8.32%,117.24%,166.80%,158.74%,256.10%,4.60%,79.18%,92.25%,37.85%,63.22%,-0.94%,69.44%,2.56%
"ARM","NASD","Arm Holdings Plc ADR","Technology","Semiconductors",302408.91,284.22,1.08%,65187,11026.56,0.12,-5.34%,-25.36%,76.29%,155.73%,160.01%,93.20%,7.61%,22.82%,48.63%,20.06%,31.13%,0.80%,7.99%,1.63%
"CRDO","NASD","Credo Technology Group Holding Ltd","Technology","Semiconductors",44769.62,240.08,1.65%,33395,8409.79,0.08,-7.19%,-4.28%,50.50%,53.83%,66.85%,134.02%,7.46%,76.60%,336.83%,157.02%,45.77%,-1.15%,74.70%,3.19%
"INTC","NASD","Intel Corp","Technology","Semiconductors",555624.31,110.55,2.59%,2584581,133709.25,0.39,0.28%,-11.25%,73.25%,150.91%,199.59%,382.33%,4.68%,158.94%,-288.04%,7.18%,80.37%,1.70%,62.18%,2.98%
"MRVL","NASD","Marvell Technology Inc","Technology","Semiconductors",196451.93,224.32,0.85%,287992,42184.57,0.14,-3.19%,-19.80%,67.62%,170.62%,163.97%,209.79%,5.18%,42.69%,-81.00%,27.57%,47.04%,-5.00%,78.04%,3.92%
"MU","NASD","Micron Technology Inc","Technology","Semiconductors",1106793.90,979.99,-0.32%,817346,50866.48,0.32,3.29%,-0.17%,110.45%,183.34%,243.36%,715.91%,5.05%,782.97%,1372.09%,345.72%,171.80%,-1.92%,79.19%,2.82%
"CRWD","NASD","Crowdstrike Holdings Inc","Technology","Software - Infrastructure",216380.09,212.50,0.84%,66543,12561.36,0.11,11.19%,24.49%,113.31%,82.02%,81.33%,79.60%,6.80%,32.04%,124.26%,25.57%,29.10%,,72.29%,2.91%
"PANW","NASD","Palo Alto Networks Inc","Technology","Software - Infrastructure",290384.49,356.30,0.97%,22362,8053.62,0.06,11.14%,27.42%,120.50%,88.64%,93.43%,85.33%,6.01%,12.96%,-159.65%,31.15%,13.10%,9.56%,80.49%,3.10%
