"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"GD","NYSE","General Dynamics Corp","Industrials","Aerospace & Defense",104588.87,386.75,1.30%,1498626,1295.64,1.16,4.93%,12.32%,21.35%,5.72%,14.88%,23.07%,2.36%,8.43%,12.20%,10.29%,8.48%,-0.41%,87.16%,1.17%
"HWM","NYSE","Howmet Aerospace Inc","Industrials","Aerospace & Defense",115735.10,289.26,0.76%,1689267,2765.39,0.61,6.18%,4.78%,17.51%,32.87%,41.09%,54.85%,3.07%,34.33%,70.76%,19.10%,23.96%,-1.22%,93.92%,1.98%
"RTX","NYSE","RTX Corp","Industrials","Aerospace & Defense",286560.74,212.79,1.74%,5875337,5457.69,1.08,9.96%,14.98%,18.68%,8.38%,16.03%,37.09%,3.12%,12.87%,28.04%,14.49%,11.09%,-0.03%,80.68%,1.20%
"DBRG","NYSE","DigitalBridge Group Inc","Financial","Asset Management",2986.99,15.90,0.38%,7242534,2792.98,2.59,0.63%,1.08%,1.86%,3.45%,3.65%,41.71%,0.31%,,635.19%,157.37%,,3.38%,99.63%,10.78%
"BAC","NYSE","Bank Of America Corp","Financial","Banks - Diversified",440343.43,62.05,1.26%,29013136,35914.05,0.81,1.27%,7.48%,18.26%,18.30%,12.82%,28.23%,1.85%,21.33%,35.65%,-1.14%,15.43%,-2.22%,77.30%,1.28%
"HSBC","NYSE","HSBC Holdings plc ADR","Financial","Banks - Diversified",355356.85,103.40,1.62%,1085028,1562.83,0.69,2.77%,10.18%,15.35%,23.46%,31.44%,59.13%,1.48%,10.86%,2.66%,-3.67%,10.34%,19.94%,2.46%,0.16%
"JPM","NYSE","JPMorgan Chase & Co","Financial","Banks - Diversified",946430.23,353.21,0.95%,7513112,9371.76,0.80,3.55%,5.93%,13.32%,16.33%,9.62%,19.11%,2.11%,22.55%,47.08%,18.09%,10.49%,-0.38%,75.07%,1.01%
"MUFG","NYSE","Mitsubishi UFJ Financial Group Inc ADR","Financial","Banks - Diversified",258373.16,22.89,1.19%,2829596,3190.46,0.89,7.36%,15.55%,32.93%,27.88%,44.33%,54.66%,1.19%,12.76%,433.90%,11.91%,9.69%,-4.15%,3.02%,0.06%
"FBP","NYSE","First Bancorp PR","Financial","Banks - Regional",4458.00,28.82,-0.10%,1637834,1463.42,1.12,5.03%,9.08%,18.45%,33.43%,39.03%,37.43%,2.21%,9.11%,25.64%,4.70%,7.17%,-1.10%,98.64%,4.23%
"HOMB","NYSE","Home Bancshares Inc","Financial","Banks - Regional",6239.78,30.98,0.81%,1707558,1800.43,0.95,0.45%,7.83%,15.51%,5.66%,11.52%,7.53%,1.89%,6.61%,-1.05%,5.42%,4.67%,1.41%,73.56%,5.84%
"WSBC","NASD","Wesbanco Inc","Financial","Banks - Regional",3967.45,41.25,2.92%,896957,1260.20,0.71,1.10%,8.95%,20.97%,14.04%,24.10%,28.99%,2.34%,5.29%,58.87%,1.03%,,0.65%,75.76%,6.63%
"CORT","NASD","Corcept Therapeutics Inc","Healthcare","Biotechnology",10237.05,95.36,-1.34%,1003970,1130.46,0.89,5.35%,16.92%,111.54%,130.90%,174.02%,41.09%,5.09%,-28.59%,-276.49%,4.89%,87.68%,3.37%,74.07%,9.13%
"HALO","NASD","Halozyme Therapeutics Inc","Healthcare","Biotechnology",9717.96,81.93,1.35%,1661096,1805.70,0.92,5.29%,15.15%,23.04%,14.92%,21.74%,39.41%,3.21%,91.43%,30.96%,42.23%,38.90%,0.21%,105.63%,11.27%
"RPRX","NASD","Royalty Pharma plc","Healthcare","Biotechnology",33879.15,58.83,-0.32%,2113919,3751.14,0.56,1.12%,8.38%,18.51%,46.67%,52.25%,60.78%,2.20%,8.21%,23.61%,10.97%,9.52%,-0.13%,83.93%,3.00%
"LQDA","NASD","Liquidia Corp","Healthcare","Drug Manufacturers - Specialty & Generic",7667.38,86.22,-3.16%,1591780,1932.73,0.82,7.86%,14.14%,130.17%,109.93%,149.99%,359.35%,8.10%,514.50%,216.05%,4158.49%,,3.87%,67.44%,17.87%
"IMAX","NYSE","Imax Corp","Communication Services","Entertainment",2379.61,43.38,-1.32%,2213638,1239.39,1.79,10.52%,-1.23%,18.49%,22.58%,17.37%,53.34%,5.79%,24.11%,33.48%,12.17%,16.34%,2.18%,97.15%,13.07%
"PCAR","NASD","Paccar Inc","Industrials","Farm & Heavy Construction Machinery",69596.10,132.24,1.14%,3783157,3169.71,1.19,4.79%,13.00%,4.15%,7.02%,20.76%,32.03%,2.66%,14.04%,19.73%,-8.96%,15.57%,0.47%,72.53%,2.92%
"CSQR","NYSE","Csquare Inc","Technology","Information Technology Services",3529.83,22.77,5.86%,2887647,4178.10,0.69,11.62%,,,,8.95%,,4.64%,,,,,,,
"MFC","NYSE","Manulife Financial Corp","Financial","Insurance - Life",72880.42,43.67,1.42%,1438867,2083.28,0.69,0.65%,10.00%,12.99%,18.83%,20.37%,40.24%,1.53%,2.39%,173.97%,6.83%,7.26%,-3.92%,49.27%,0.36%
"ALL","NYSE","Allstate Corp","Financial","Insurance - Property & Casualty",66921.72,259.97,2.14%,1069778,1764.21,0.61,4.03%,11.32%,20.05%,33.13%,24.90%,34.05%,2.01%,-10.40%,339.11%,2.97%,-9.35%,0.88%,84.71%,3.22%
"TRV","NYSE","Travelers Companies Inc","Financial","Insurance - Property & Casualty",80772.77,387.26,2.89%,2514214,1785.79,1.41,4.95%,20.74%,26.01%,39.06%,33.51%,47.81%,3.52%,20.79%,57.16%,0.31%,3.24%,-3.02%,88.25%,3.83%
"NVCR","NASD","NovoCure Ltd","Healthcare","Medical Devices",2044.24,17.65,-11.71%,3879208,1827.51,2.12,10.87%,19.90%,40.19%,24.38%,36.50%,40.75%,6.14%,-6.28%,62.48%,15.60%,30.50%,0.03%,86.50%,11.42%
"OVV","NYSE","Ovintiv Inc","Energy","Oil & Gas E&P",17740.70,63.13,2.83%,7464521,3538.81,2.11,9.24%,19.66%,11.58%,55.03%,61.09%,57.86%,2.31%,40.22%,37.05%,28.66%,18.09%,7.32%,88.09%,5.43%
"FTI","NYSE","TechnipFMC plc","Energy","Oil & Gas Equipment & Services",30600.37,76.75,0.96%,2036896,4851.75,0.42,6.49%,19.38%,5.95%,42.21%,72.24%,104.45%,2.73%,22.02%,92.99%,10.46%,18.96%,-2.15%,99.92%,3.66%
"OII","NYSE","Oceaneering International Inc","Energy","Oil & Gas Equipment & Services",5259.54,52.73,9.81%,3954726,1062.49,3.72,24.72%,45.30%,38.73%,85.41%,119.43%,120.17%,5.14%,-5.31%,20.20%,10.03%,9.86%,2.83%,103.86%,6.16%
"PAA","NASD","Plains All American Pipeline LP","Energy","Oil & Gas Midstream",17356.08,24.60,-0.36%,1900724,2641.99,0.72,3.06%,14.58%,14.58%,28.53%,36.97%,29.95%,1.62%,5.69%,-70.94%,2.80%,10.86%,0.97%,39.40%,3.18%
"PAGP","NASD","Plains GP Holdings LP","Energy","Oil & Gas Midstream",20151.54,26.45,-0.23%,1385047,1552.27,0.89,3.28%,12.99%,16.34%,35.14%,43.47%,42.49%,1.27%,16.59%,-76.19%,2.80%,17.47%,5.70%,81.42%,7.95%
"PBA","NYSE","Pembina Pipeline Corp","Energy","Oil & Gas Midstream",29868.06,51.37,0.31%,766813,1195.87,0.64,0.16%,10.50%,18.94%,29.30%,34.97%,38.50%,1.18%,11.45%,5.06%,-4.04%,6.48%,-4.55%,58.17%,1.50%
"TRGP","NYSE","Targa Resources Corp","Energy","Oil & Gas Midstream",60385.76,281.33,-1.49%,1052738,1215.38,0.87,-0.56%,5.64%,17.26%,46.94%,52.48%,69.84%,1.91%,26.79%,143.55%,-10.60%,19.51%,-0.61%,95.52%,2.20%
"WES","NYSE","Western Midstream Partners LP","Energy","Oil & Gas Midstream",20140.36,47.47,-0.96%,610529,1213.14,0.50,3.26%,12.73%,15.47%,16.26%,20.18%,16.78%,1.74%,17.48%,8.33%,22.51%,11.33%,0.39%,37.73%,2.99%
