"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"KO","NYSE","Coca-Cola Co","Consumer Defensive","Beverages - Non-Alcoholic",389380.67,90.50,0.17%,14919736,17637.36,0.85,3.52%,10.10%,10.97%,14.69%,29.45%,28.01%,1.38%,10.18%,16.19%,5.93%,8.21%,-0.81%,76.82%,1.05%,3.68%,7.53%,16.96%,0.35%
"ATAI","NASD","AtaiBeckley Inc","Healthcare","Biotechnology",2751.81,7.42,0.82%,9223632,11823.71,0.78,2.34%,3.34%,81.42%,94.24%,81.42%,86.90%,0.76%,85.11%,36.07%,137.00%,46.30%,27.31%,35.50%,6.58%,2.64%,23.69%,64.66%,0.54%
"HELP","NASD","Helus Pharma Inc","Healthcare","Biotechnology",772.89,12.47,5.86%,1818396,1461.92,1.24,8.91%,59.46%,187.33%,80.72%,52.44%,88.94%,5.41%,36.61%,16.81%,,36.21%,0.06%,43.66%,7.06%,24.77%,64.17%,94.83%,3.23%
"IMMX","NASD","Immix Biopharma Inc","Healthcare","Biotechnology",941.45,13.16,-0.23%,1665511,1891.42,0.88,20.51%,39.85%,47.20%,68.50%,151.63%,500.91%,7.65%,16.43%,17.97%,,9.26%,24.90%,78.28%,16.14%,30.21%,32.60%,65.90%,1.39%
"IOVA","NASD","Iovance Biotherapeutics Inc","Healthcare","Biotechnology",4072.21,8.99,12.52%,43591625,16134.39,2.70,37.88%,73.89%,153.95%,215.44%,229.30%,255.34%,8.35%,56.95%,68.51%,65.65%,,6.70%,57.63%,25.41%,52.74%,81.49%,150.06%,11.40%
"MRVI","NASD","Maravai LifeSciences Holdings Inc","Healthcare","Biotechnology",2152.69,8.29,14.82%,12983418,3020.26,4.30,43.43%,16.76%,87.13%,169.16%,155.08%,236.99%,6.21%,64.63%,69.44%,8.53%,44.37%,2.44%,81.45%,7.68%,29.50%,33.99%,95.75%,11.42%
"PGEN","NASD","Precigen Inc","Healthcare","Biotechnology",2663.78,7.44,3.91%,7831864,5315.28,1.47,14.64%,39.85%,74.24%,64.97%,77.99%,131.78%,7.49%,110.22%,153.95%,6322.66%,,0.25%,39.38%,25.65%,15.01%,30.24%,66.07%,5.38%
"RPRX","NASD","Royalty Pharma plc","Healthcare","Biotechnology",34836.61,60.58,-1.86%,3142958,3458.38,0.91,3.45%,3.17%,14.17%,34.29%,56.78%,64.26%,2.32%,10.34%,-43.58%,16.50%,10.26%,-0.82%,85.01%,2.56%,3.19%,5.88%,26.30%,-1.22%
"ILMN","NASD","Illumina Inc","Healthcare","Diagnostics & Research",32199.24,213.24,4.02%,3249960,1934.15,1.68,10.69%,11.72%,50.25%,77.70%,62.58%,111.55%,3.64%,10.50%,-9.61%,9.84%,13.20%,2.76%,104.71%,5.35%,8.66%,14.40%,45.59%,6.46%
"IQV","NYSE","IQVIA Holdings Inc","Healthcare","Diagnostics & Research",42145.83,256.05,2.72%,1787165,1532.35,1.17,6.02%,28.98%,49.30%,51.19%,13.59%,33.33%,3.34%,8.77%,-0.36%,8.84%,10.65%,-3.77%,100.71%,2.80%,7.91%,21.12%,28.48%,3.72%
