"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"HXL","NYSE","Hexcel Corp","Industrials","Aerospace & Defense",7974.92,105.73,1.85%,1944238,1038.12,1.87,6.58%,5.89%,19.12%,25.48%,43.07%,74.82%,3.11%,30.52%,37.12%,8.46%,28.23%,-0.82%,116.97%,5.71%
"WT","NYSE","WisdomTree Inc","Financial","Asset Management",3095.53,20.24,0.95%,2760729,3132.45,0.88,6.69%,11.52%,15.92%,42.33%,66.04%,56.29%,3.65%,33.39%,-199.82%,47.55%,18.19%,2.24%,106.37%,11.94%
"ACRS","NASD","Aclaris Therapeutics Inc","Healthcare","Biotechnology",777.93,5.57,-1.94%,867212,1640.60,0.53,1.27%,26.02%,31.06%,108.61%,85.05%,245.96%,6.56%,-26.24%,-24.92%,37.18%,-13.26%,13.28%,66.70%,10.00%
"MRVI","NASD","Maravai LifeSciences Holdings Inc","Healthcare","Biotechnology",1804.75,6.99,-3.45%,2302496,2987.87,0.77,9.91%,33.91%,106.19%,89.43%,115.08%,187.65%,7.02%,60.67%,87.79%,40.53%,43.44%,-2.12%,73.35%,8.29%
"EA","NASD","Electronic Arts Inc","Communication Services","Electronic Gaming & Multimedia",52479.77,209.29,0.19%,1695779,1988.19,0.85,1.42%,3.09%,2.68%,2.52%,2.43%,39.42%,0.40%,2.99%,85.07%,13.65%,4.21%,-0.18%,82.13%,4.23%
"ADM","NYSE","Archer Daniels Midland Co","Consumer Defensive","Farm Products",41289.22,85.67,-0.27%,3169418,3693.63,0.86,4.42%,11.99%,27.79%,28.69%,49.02%,57.51%,1.98%,35.75%,0.80%,1.55%,15.73%,-0.64%,87.63%,3.68%
"RSI","NYSE","Rush Street Interactive Inc","Consumer Cyclical","Gambling",8043.38,34.52,6.22%,3871298,2568.32,1.51,0.99%,22.07%,50.81%,74.96%,77.66%,137.90%,3.81%,59.69%,77.62%,41.14%,40.85%,4.73%,101.25%,10.87%
"SGHC","NYSE","Super Group (SGHC) Limited","Consumer Cyclical","Gambling",7916.14,15.58,5.77%,5946285,3554.81,1.67,2.70%,15.49%,38.00%,59.86%,33.91%,37.36%,3.08%,99.33%,46.66%,18.38%,37.03%,1.33%,20.15%,11.92%
"BTSG","NASD","BrightSpring Health Services Inc","Healthcare","Health Information Services",13836.22,70.50,-0.27%,2713537,3798.78,0.71,1.23%,9.42%,49.14%,78.03%,88.25%,253.47%,4.91%,71.02%,144.76%,25.56%,38.19%,-17.14%,85.57%,8.43%
"GNW","NYSE","Genworth Financial Inc","Financial","Insurance - Life",3868.39,10.10,0.10%,2162830,2779.48,0.78,5.65%,12.60%,15.83%,21.69%,11.85%,35.75%,2.96%,211.43%,-6.50%,-2.32%,,-0.66%,88.27%,2.09%
"MFC","NYSE","Manulife Financial Corp","Financial","Insurance - Life",70927.82,42.50,-2.05%,1503555,2096.84,0.72,2.93%,5.22%,9.51%,13.03%,17.14%,37.90%,1.66%,2.88%,173.97%,6.83%,7.13%,-3.92%,49.21%,0.36%
"TRV","NYSE","Travelers Companies Inc","Financial","Insurance - Property & Casualty",78359.57,368.50,-0.13%,2356609,1741.40,1.35,7.90%,20.40%,22.50%,35.81%,27.04%,38.55%,3.56%,14.28%,57.16%,0.31%,2.57%,-3.02%,87.70%,3.76%
"CHRW","NASD","C.H. Robinson Worldwide Inc","Industrials","Integrated Freight & Logistics",24258.27,205.80,-1.29%,1624450,1746.05,0.93,4.73%,11.12%,12.93%,17.38%,28.02%,111.12%,2.44%,21.12%,9.65%,-0.84%,17.12%,2.61%,108.14%,6.98%
"PBI","NYSE","Pitney Bowes Inc","Industrials","Integrated Freight & Logistics",2507.02,18.51,0.00%,890753,3290.85,0.27,2.10%,6.50%,44.16%,72.35%,75.12%,53.87%,2.86%,19.88%,105.27%,-3.24%,13.10%,-11.06%,85.86%,13.59%
"LTH","NYSE","Life Time Group Holdings Inc","Consumer Cyclical","Leisure",9462.85,42.51,0.85%,3312434,3014.17,1.10,2.51%,22.90%,48.84%,59.27%,59.93%,40.02%,2.90%,-9.04%,13.74%,11.71%,5.10%,4.13%,75.02%,7.31%
"YETI","NYSE","YETI Holdings Inc","Consumer Cyclical","Leisure",3850.04,50.82,-0.45%,1520258,1392.32,1.09,5.15%,7.58%,23.44%,3.00%,15.06%,45.20%,4.36%,16.29%,-35.41%,8.34%,14.07%,-2.64%,121.30%,10.68%
"ACHC","NASD","Acadia Healthcare Company Inc","Healthcare","Medical Care Facilities",3166.42,34.43,-0.20%,1574302,3103.92,0.51,12.66%,46.51%,27.52%,189.08%,142.64%,57.07%,6.36%,-24.68%,-50.33%,7.57%,0.55%,14.10%,139.72%,26.21%
"LFST","NASD","LifeStance Health Group Inc","Healthcare","Medical Care Facilities",4398.04,11.34,-2.07%,2219317,4873.66,0.46,4.23%,31.71%,64.59%,52.42%,61.08%,168.72%,3.47%,580.33%,1900.00%,21.17%,167.65%,5.33%,50.06%,4.10%
"WTTR","NYSE","Select Water Solutions Inc","Energy","Oil & Gas Equipment & Services",2869.14,20.41,0.39%,2144523,1917.25,1.12,4.40%,13.14%,37.26%,71.51%,94.01%,115.75%,3.58%,22.29%,-4.12%,-2.25%,40.56%,13.42%,91.37%,5.10%
"PAA","NASD","Plains All American Pipeline LP","Energy","Oil & Gas Midstream",17151.47,24.31,1.84%,2626781,2648.00,0.99,3.27%,12.65%,15.65%,27.61%,35.36%,28.56%,1.83%,5.53%,-70.94%,2.80%,9.60%,0.97%,39.41%,3.18%
"TRGP","NYSE","Targa Resources Corp","Energy","Oil & Gas Midstream",60604.71,282.35,-0.20%,965107,1227.43,0.79,1.06%,8.29%,19.89%,55.20%,53.04%,65.01%,1.82%,26.78%,143.55%,-10.60%,19.55%,-0.61%,96.65%,2.20%
"DINO","NYSE","HF Sinclair Corp","Energy","Oil & Gas Refining & Marketing",16298.70,90.41,2.05%,3336579,2416.89,1.38,10.66%,37.17%,58.20%,81.47%,96.20%,105.71%,2.84%,109.39%,13510.57%,11.82%,4.74%,-6.13%,82.53%,5.01%
"DK","NYSE","Delek US Holdings Inc","Energy","Oil & Gas Refining & Marketing",3961.63,64.64,2.20%,1227790,1252.04,0.98,11.43%,52.67%,73.62%,122.82%,117.94%,162.44%,3.99%,5.97%,-20.16%,0.42%,,-0.18%,102.96%,11.88%
"MPC","NYSE","Marathon Petroleum Corp","Energy","Oil & Gas Refining & Marketing",92050.54,315.31,0.87%,1588904,2326.99,0.68,6.21%,28.90%,47.55%,77.55%,93.88%,80.99%,2.65%,238.34%,832.74%,9.05%,23.20%,-1.10%,78.52%,2.51%
