"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"GD","NYSE","General Dynamics Corp","Industrials","Aerospace & Defense",105235.20,389.14,0.62%,1194152,1298.84,0.92,5.00%,12.89%,24.24%,7.12%,15.59%,23.92%,2.12%,8.43%,12.20%,10.29%,8.48%,-0.57%,87.16%,1.08%,4.77%,9.27%,11.65%
"HWM","NYSE","Howmet Aerospace Inc","Industrials","Aerospace & Defense",115206.95,287.94,-0.46%,2149877,2776.03,0.77,5.87%,5.42%,18.77%,33.99%,40.44%,51.93%,2.62%,34.35%,70.76%,19.10%,23.98%,-1.01%,94.02%,1.98%,4.48%,7.51%,22.80%
"HXL","NYSE","Hexcel Corp","Industrials","Aerospace & Defense",8275.87,109.72,-0.51%,1417669,1003.74,1.41,3.77%,14.04%,22.74%,30.39%,48.47%,79.55%,2.91%,30.52%,37.12%,8.46%,28.23%,-4.38%,117.08%,5.62%,6.76%,13.86%,30.53%
"RTX","NYSE","RTX Corp","Industrials","Aerospace & Defense",294377.34,218.42,2.65%,8189800,5383.05,1.52,12.33%,17.06%,25.34%,11.48%,19.09%,39.23%,3.10%,14.48%,28.04%,14.49%,11.43%,-0.15%,80.69%,1.27%,10.50%,16.73%,16.95%
"ROST","NASD","Ross Stores Inc","Consumer Cyclical","Apparel Retail",78062.08,243.35,1.87%,2774920,3067.77,0.90,3.21%,13.12%,7.50%,29.06%,35.09%,75.92%,2.31%,18.50%,38.06%,20.57%,12.67%,0.23%,92.30%,3.27%,8.37%,7.58%,21.41%
"BAC","NYSE","Bank Of America Corp","Financial","Banks - Diversified",440911.16,62.13,0.13%,36783782,35894.21,1.02,2.83%,6.77%,19.37%,20.13%,12.96%,28.24%,1.69%,21.33%,35.65%,-1.14%,15.43%,-2.07%,77.32%,1.37%,3.37%,10.32%,16.53%
"BBVA","NYSE","Banco Bilbao Vizcaya Argentaria SA ADR","Financial","Banks - Diversified",146755.53,26.59,2.47%,1139783,1483.93,0.77,5.85%,8.40%,21.58%,6.49%,14.07%,72.44%,1.05%,11.65%,25.07%,-41.80%,11.29%,-3.88%,3.36%,0.02%,4.02%,10.16%,17.41%
"BCS","NYSE","Barclays plc ADR","Financial","Banks - Diversified",96295.18,28.56,2.33%,7556977,5375.09,1.41,4.85%,4.62%,24.44%,9.01%,12.22%,45.57%,1.74%,22.53%,15.64%,13.29%,20.30%,27.73%,8.68%,0.13%,3.34%,9.94%,19.10%
"HSBC","NYSE","HSBC Holdings plc ADR","Financial","Banks - Diversified",357315.78,103.97,0.55%,979388,1561.52,0.63,5.01%,9.37%,15.92%,23.86%,32.16%,60.15%,1.18%,10.86%,2.66%,-3.67%,10.34%,19.91%,2.46%,0.18%,4.84%,9.20%,23.50%
"ING","NYSE","ING Groep NV ADR","Financial","Banks - Diversified",94763.64,33.49,2.01%,1862286,3202.33,0.58,4.01%,7.96%,19.82%,16.98%,20.47%,41.25%,0.93%,10.91%,26.33%,14.87%,13.97%,-41.96%,6.03%,0.03%,3.19%,7.10%,18.61%
