"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"IVZ","NYSE","Invesco Ltd","Financial","Asset Management",14379.65,32.57,0.06%,4012014,5155.01,0.78,2.61%,9.92%,20.10%,22.81%,23.98%,54.21%,2.61%,38.48%,2853.26%,22.41%,22.51%,1.91%,97.08%,3.73%,5.53%,11.76%,22.36%,0.40%
"STT","NYSE","State Street Corp","Financial","Asset Management",53028.43,193.04,0.68%,1564414,2207.03,0.71,3.41%,5.78%,26.29%,50.85%,49.63%,73.80%,1.58%,32.19%,68.31%,3.20%,18.12%,0.53%,93.18%,1.78%,3.99%,8.47%,34.21%,0.86%
"BAC","NYSE","Bank Of America Corp","Financial","Banks - Diversified",446766.70,63.89,-0.93%,27327240,35053.27,0.78,0.05%,4.28%,28.37%,21.58%,16.16%,36.11%,1.48%,21.91%,35.31%,0.28%,15.60%,-1.98%,77.99%,1.44%,1.77%,6.78%,17.83%,-0.79%
"BNS","NYSE","Bank Of Nova Scotia","Financial","Banks - Diversified",112591.61,91.35,-0.21%,965310,2603.80,0.37,3.15%,2.15%,18.51%,20.67%,23.97%,60.86%,1.04%,17.18%,40.64%,-0.96%,13.04%,-5.91%,46.54%,0.80%,3.35%,5.11%,19.23%,-0.25%
"BNY","NYSE","Bank Of New York Mellon Corp","Financial","Banks - Diversified",111457.88,164.27,0.63%,2226951,3700.82,0.60,3.04%,4.54%,21.66%,39.52%,41.50%,62.64%,1.38%,24.74%,26.82%,-1.64%,15.26%,-2.29%,86.34%,1.23%,3.38%,7.85%,27.12%,0.60%
"CM","NYSE","Canadian Imperial Bank Of Commerce","Financial","Banks - Diversified",114390.00,123.45,-0.23%,398557,1292.52,0.31,3.49%,1.82%,10.92%,28.84%,36.24%,67.25%,1.29%,19.80%,29.11%,4.94%,12.43%,-1.09%,49.10%,1.58%,3.65%,6.00%,20.98%,-0.23%
"TD","NYSE","Toronto Dominion Bank","Financial","Banks - Diversified",210072.42,124.34,-0.02%,937102,2519.35,0.37,2.69%,0.60%,15.51%,30.44%,32.00%,68.00%,1.23%,15.75%,-59.81%,-23.00%,12.99%,-2.65%,49.77%,0.62%,2.79%,3.60%,22.00%,-0.04%
"CFG","NYSE","Citizens Financial Group Inc","Financial","Banks - Regional",31297.64,74.31,-0.56%,2886137,4421.87,0.65,2.26%,2.65%,22.10%,14.15%,27.22%,53.91%,1.50%,37.50%,40.99%,3.30%,24.61%,1.40%,98.82%,4.59%,2.17%,5.28%,18.55%,-0.12%
"CLBK","NASD","Columbia Financial Inc","Financial","Banks - Regional",3148.29,11.68,-0.93%,5271960,4375.26,1.20,8.05%,9.72%,31.30%,39.58%,65.35%,76.73%,2.91%,12.88%,17.88%,5.15%,19.19%,,13.53%,20.72%,5.71%,15.00%,38.10%,-1.68%
"CVBF","NASD","CVB Financial Corp","Financial","Banks - Regional",4074.34,23.15,-0.43%,861669,1564.82,0.55,2.66%,1.45%,18.47%,12.65%,24.46%,19.70%,1.24%,-1.21%,-21.58%,37.86%,,15.56%,83.57%,4.79%,1.78%,4.07%,13.74%,-0.22%
"EBC","NASD","Eastern Bankshares Inc","Financial","Banks - Regional",5404.30,23.65,0.11%,2179848,3221.42,0.68,3.10%,2.83%,23.24%,9.44%,28.32%,49.97%,1.13%,19.98%,-4.73%,26.36%,,5.30%,84.91%,7.88%,2.26%,6.40%,17.13%,0.30%
"FBP","NYSE","First Bancorp PR","Financial","Banks - Regional",4509.82,29.54,-0.54%,894043,1534.41,0.58,2.11%,7.65%,26.89%,31.70%,42.50%,39.67%,1.26%,11.54%,25.64%,4.70%,8.60%,-1.55%,97.13%,4.14%,1.92%,8.53%,27.61%,-0.14%
"MTB","NYSE","M & T Bank Corp","Financial","Banks - Regional",36517.10,252.86,-0.48%,909081,1097.49,0.83,0.69%,1.45%,23.41%,10.56%,25.50%,33.04%,1.18%,13.57%,25.41%,1.03%,10.93%,-1.39%,92.08%,3.70%,0.91%,4.70%,16.60%,-0.14%
"PNC","NYSE","PNC Financial Services Group Inc","Financial","Banks - Regional",101551.11,254.55,-0.94%,1071939,1984.36,0.54,1.11%,0.67%,19.60%,11.00%,21.95%,33.08%,1.11%,14.49%,24.81%,13.81%,12.91%,-1.81%,84.73%,1.81%,0.89%,3.14%,15.47%,-0.55%
"USB","NYSE","U.S. Bancorp","Financial","Banks - Regional",101070.81,64.87,-0.84%,5602521,8375.41,0.67,1.06%,2.74%,22.12%,12.45%,21.57%,41.24%,1.15%,12.99%,21.37%,0.91%,11.66%,-2.58%,82.67%,1.72%,1.26%,4.98%,16.62%,-0.54%
"ABCL","NASD","AbCellera Biologics Inc","Healthcare","Biotechnology",3434.05,11.20,-1.58%,7828027,8145.70,0.96,19.91%,73.24%,173.84%,261.29%,227.49%,144.01%,13.34%,-33.88%,-55.98%,-76.29%,-20.31%,3.43%,39.56%,20.48%,55.22%,66.73%,141.42%,-0.88%
"CADL","NASD","Candel Therapeutics Inc","Healthcare","Biotechnology",930.47,12.16,3.75%,2160077,1725.68,1.25,15.81%,19.45%,38.65%,114.08%,115.22%,99.67%,6.20%,-80.86%,-463.69%,,,38.28%,64.94%,21.85%,16.72%,24.95%,77.96%,5.83%
"CLYM","NASD","Climb Bio Inc","Healthcare","Biotechnology",1001.68,17.44,6.80%,1864495,1268.92,1.47,28.80%,37.32%,61.48%,207.58%,336.00%,817.89%,8.36%,5.83%,-38.22%,,-16.20%,28.80%,119.34%,14.26%,30.36%,36.33%,125.60%,7.32%
"CRNX","NASD","Crinetics Pharmaceuticals Inc","Healthcare","Biotechnology",8989.02,84.75,0.06%,1638502,3752.97,0.44,0.71%,1.06%,130.49%,98.48%,82.06%,175.88%,0.32%,6.92%,7.14%,2336.28%,24.56%,-6.66%,100.37%,5.87%,0.88%,30.82%,75.36%,0.15%
"DNTH","NASD","Dianthus Therapeutics Inc","Healthcare","Biotechnology",6424.62,114.86,-0.95%,581637,1053.94,0.55,2.74%,8.77%,33.31%,142.32%,178.72%,453.81%,4.96%,8.94%,-1.51%,294.30%,-9.38%,57.03%,115.86%,17.85%,5.97%,17.40%,62.14%,-0.40%
