"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"YETI","NYSE","YETI Holdings Inc","Consumer Cyclical","Leisure",3867.46,51.05,-0.02%,1600204,1411.48,1.13,4.38%,3.30%,32.98%,4.46%,15.58%,45.44%,4.36%,16.07%,-35.41%,8.34%,13.82%,-2.64%,121.43%,10.68%
"ACHC","NASD","Acadia Healthcare Company Inc","Healthcare","Medical Care Facilities",3172.86,34.50,2.65%,2755150,3116.71,0.88,10.29%,38.06%,28.30%,194.12%,143.13%,51.52%,6.36%,-24.68%,-50.33%,7.57%,0.55%,14.10%,139.72%,26.21%
"LFST","NASD","LifeStance Health Group Inc","Healthcare","Medical Care Facilities",4491.12,11.58,2.57%,4267251,4834.84,0.88,8.17%,34.34%,73.61%,59.72%,64.49%,161.99%,3.47%,580.33%,1900.00%,21.17%,167.65%,5.33%,50.03%,4.10%
"PBA","NYSE","Pembina Pipeline Corp","Energy","Oil & Gas Midstream",29821.55,51.29,0.65%,945155,1211.40,0.78,7.87%,8.87%,18.62%,33.78%,34.76%,37.91%,1.38%,11.61%,5.06%,-4.04%,6.86%,-4.55%,58.05%,1.50%
"TRGP","NYSE","Targa Resources Corp","Energy","Oil & Gas Midstream",60724.91,282.91,0.94%,1140723,1243.01,0.92,3.50%,8.95%,17.97%,54.78%,53.34%,69.94%,1.82%,26.78%,143.55%,-10.60%,19.55%,-0.61%,96.69%,2.20%
"DINO","NYSE","HF Sinclair Corp","Energy","Oil & Gas Refining & Marketing",15970.60,88.59,2.02%,2583856,2422.85,1.07,13.48%,33.06%,47.38%,75.18%,92.25%,102.63%,2.84%,114.39%,13510.57%,11.82%,4.74%,-6.13%,82.75%,5.01%
"DK","NYSE","Delek US Holdings Inc","Energy","Oil & Gas Refining & Marketing",3876.44,63.25,2.70%,1482307,1258.45,1.18,13.94%,43.59%,49.00%,109.78%,113.25%,153.51%,3.99%,6.21%,-20.16%,0.42%,,-0.18%,104.01%,11.88%
"MPC","NYSE","Marathon Petroleum Corp","Energy","Oil & Gas Refining & Marketing",91259.39,312.60,2.21%,2139402,2353.78,0.91,10.17%,24.81%,38.17%,72.62%,92.22%,79.48%,2.65%,229.06%,832.74%,9.05%,23.20%,-1.10%,78.52%,2.51%
"PARR","NYSE","Par Pacific Holdings Inc","Energy","Oil & Gas Refining & Marketing",3823.50,76.25,3.08%,815931,1118.47,0.73,15.92%,45.16%,19.68%,98.77%,116.99%,135.85%,3.83%,106.77%,294.01%,4.51%,-0.64%,-1.81%,104.06%,9.64%
"PBF","NYSE","PBF Energy Inc","Energy","Oil & Gas Refining & Marketing",7423.86,62.75,2.97%,3236597,2957.27,1.09,18.00%,60.28%,47.20%,93.55%,131.38%,152.82%,5.62%,313.21%,146.86%,11.86%,,2.12%,85.00%,14.23%
