"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"CCO","NYSE","Clear Channel Outdoor Holdings Inc","Communication Services","Advertising Agencies",1231.74,2.42,0.41%,13987520,7230.67,1.93,0.41%,0.41%,0.83%,8.04%,9.50%,128.30%,0.58%,-278.28%,37.40%,11.88%,17.80%,-0.40%,70.17%,9.09%,0.44%,0.55%,8.65%
"ARXS","NASD","Arxis Inc","Industrials","Aerospace & Defense",22281.18,54.30,10.86%,1490993,1020.58,1.46,28.07%,16.65%,55.14%,,42.89%,,7.18%,32.45%,,,44.39%,4.68%,0.01%,4.38%,24.52%,27.32%,34.22%
"BBVA","NYSE","Banco Bilbao Vizcaya Argentaria SA ADR","Financial","Banks - Diversified",154261.64,27.95,1.27%,2253437,1483.26,1.52,7.71%,11.89%,26.36%,9.87%,19.91%,67.07%,1.45%,12.69%,25.07%,-41.80%,11.74%,-3.88%,3.36%,0.02%,7.79%,13.89%,22.49%
"ING","NYSE","ING Groep NV ADR","Financial","Banks - Diversified",98838.28,34.93,-0.03%,2536116,3224.25,0.79,6.40%,10.96%,20.74%,16.98%,25.64%,50.60%,1.34%,11.95%,26.33%,14.87%,14.52%,-41.96%,6.02%,0.03%,6.07%,10.47%,22.85%
"BUD","NYSE","Anheuser-Busch InBev SA/NV ADR","Consumer Defensive","Beverages - Brewers",149499.71,86.48,0.39%,1874787,2029.27,0.92,5.90%,7.76%,14.47%,21.32%,35.04%,49.96%,2.14%,19.21%,-6.83%,2.61%,13.14%,-2.56%,5.33%,0.38%,6.31%,6.05%,19.24%
"DNTH","NASD","Dianthus Therapeutics Inc","Healthcare","Biotechnology",5844.91,106.92,-5.08%,1052527,1005.68,1.05,2.94%,18.52%,21.78%,100.37%,159.45%,417.27%,5.41%,10.74%,-3.10%,-60.19%,-4.99%,40.50%,109.80%,20.10%,5.16%,15.39%,60.44%
"ELVN","NASD","Enliven Therapeutics Inc","Healthcare","Biotechnology",3915.54,54.81,1.59%,660448,1307.66,0.51,3.51%,12.41%,32.94%,113.52%,255.91%,191.39%,4.48%,6.59%,34.03%,,-16.86%,0.13%,71.22%,14.75%,4.63%,17.79%,67.09%
"ORKA","NASD","Oruka Therapeutics Inc","Healthcare","Biotechnology",5820.72,96.51,-1.38%,758534,1467.29,0.52,4.72%,3.45%,41.08%,173.71%,218.41%,610.15%,6.31%,-14.20%,-14.47%,,-22.28%,-0.28%,76.62%,17.39%,8.00%,23.79%,96.89%
"PGEN","NASD","Precigen Inc","Healthcare","Biotechnology",2235.33,6.27,5.56%,5613779,4608.71,1.22,16.11%,19.43%,50.72%,38.41%,50.00%,266.67%,6.91%,97.90%,87.85%,1633.93%,,-1.70%,37.58%,25.76%,15.83%,26.90%,46.51%
"ADPT","NASD","Adaptive Biotechnologies Corp","Healthcare","Diagnostics & Research",3612.20,22.57,-6.66%,2992826,2856.40,1.05,1.35%,0.89%,60.07%,22.86%,38.98%,120.41%,6.24%,-35.58%,-47.80%,21.53%,,-0.22%,94.42%,7.34%,2.35%,17.50%,36.09%
