"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"STGW","NASD","Stagwell Inc","Communication Services","Advertising Agencies",2002.66,8.08,1.38%,2243939,1451.65,1.55,14.45%,16.09%,20.24%,30.74%,65.24%,52.74%,4.41%,26.97%,-98.85%,7.82%,24.86%,4.38%,41.12%,7.61%,6.52%,14.21%,34.80%
"GD","NYSE","General Dynamics Corp","Industrials","Aerospace & Defense",103023.08,380.96,-3.11%,1933243,1287.82,1.50,2.09%,9.45%,21.45%,3.91%,13.16%,21.05%,1.82%,8.67%,12.20%,10.29%,8.56%,-0.57%,87.37%,1.08%,1.58%,6.38%,9.17%
"CTVA","NYSE","Corteva Inc","Basic Materials","Agricultural Inputs",60534.90,90.51,1.75%,3914810,3894.29,1.01,2.24%,8.56%,14.66%,23.99%,35.03%,24.19%,1.79%,12.72%,12.56%,11.05%,11.81%,0.54%,88.38%,2.76%,4.40%,10.59%,20.67%
"ROST","NASD","Ross Stores Inc","Consumer Cyclical","Apparel Retail",80824.00,251.96,0.37%,2541513,3122.13,0.81,5.77%,20.65%,11.72%,35.46%,39.87%,80.54%,2.28%,18.50%,38.06%,20.57%,12.67%,0.23%,92.30%,3.27%,10.21%,10.64%,25.08%
"VSXY","NYSE","Victoria's Secret & Co","Consumer Cyclical","Apparel Retail",7085.10,89.13,-0.20%,1848679,2317.11,0.80,2.05%,3.10%,72.30%,59.47%,64.54%,347.44%,4.63%,54.03%,2332.02%,15.30%,27.62%,1.67%,97.21%,15.66%,8.52%,18.67%,60.58%
"PFG","NASD","Principal Financial Group Inc","Financial","Asset Management",24448.28,113.18,-0.80%,1826179,1358.46,1.34,4.55%,4.30%,13.11%,22.71%,28.31%,41.14%,2.26%,14.62%,2.85%,-99.67%,10.73%,1.97%,80.24%,3.99%,1.43%,4.39%,19.64%
"GM","NYSE","General Motors Company","Consumer Cyclical","Auto Manufacturers",78444.17,89.40,-1.00%,7978658,8047.15,0.99,8.85%,15.59%,13.24%,3.50%,9.94%,71.56%,4.21%,27.13%,-25.99%,1.92%,15.22%,-1.50%,89.91%,2.79%,12.55%,11.93%,16.01%
"MGA","NYSE","Magna International Inc","Consumer Cyclical","Auto Parts",18811.09,69.10,0.12%,1469118,1337.65,1.10,2.25%,6.65%,11.60%,29.04%,29.64%,66.51%,2.92%,18.05%,-108.34%,3.10%,12.98%,-1.86%,70.07%,2.96%,5.14%,5.75%,20.50%
"EBC","NASD","Eastern Bankshares Inc","Financial","Banks - Regional",5325.54,23.04,-2.17%,4321965,3112.86,1.39,2.06%,4.40%,14.40%,13.67%,25.01%,46.38%,2.54%,19.99%,-4.71%,26.31%,,-3.15%,74.37%,8.94%,1.58%,8.07%,16.03%
"FBP","NYSE","First Bancorp PR","Financial","Banks - Regional",4413.81,28.91,-1.30%,1783332,1467.59,1.22,0.17%,10.72%,19.56%,31.53%,39.46%,35.86%,2.37%,10.25%,25.64%,4.70%,7.17%,-2.19%,99.93%,4.64%,5.25%,11.68%,27.90%
