"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",50.49,-0.90%,11380265,11327.01,1.00,-3.72%,-3.48%,-3.24%,2.64%,11.33%,10.14%,Materials,-1.98,5.71,38.64,35.22,-3.65%,-2.55%,0.42%,-0.37%
"XLC","NYSE",115.07,2.19%,4311171,5910.76,0.73,2.71%,2.24%,3.06%,0.54%,-2.25%,-1.94%,Communication Services,-0.72,-5.67,-12.92,-11.69,2.79%,3.66%,0.90%,1.27%
"XLE","NYSE",64.53,-0.94%,46271860,29461.45,1.57,0.73%,5.68%,12.13%,11.84%,44.33%,45.67%,Energy,-0.50,-2.77,7.83,6.55,1.07%,6.90%,16.62%,-2.16%
"XLF","NYSE",57.03,-0.38%,38020234,31998.96,1.19,-1.84%,-2.11%,6.92%,16.65%,4.13%,6.00%,Financials,-5.15,1.12,-1.02,-4.01,-1.06%,-0.20%,6.35%,-0.54%
"XLI","NYSE",169.93,-1.42%,7309879,6847.12,1.07,-3.05%,-8.54%,-3.55%,3.21%,9.55%,12.11%,Industrials,-3.73,3.95,10.25,17.30,-3.86%,-5.62%,-0.80%,0.75%
"XLK","NYSE",184.28,-1.81%,8458082,8712.62,0.97,-1.60%,-3.40%,-0.28%,34.71%,28.00%,36.06%,Technology,-0.63,-1.13,0.41,0.69,-0.52%,0.81%,14.06%,0.70%
"XLP","NYSE",84.42,1.25%,10397422,10641.46,0.98,-0.19%,-1.84%,-1.63%,-0.38%,8.68%,5.10%,Consumer Staples,-4.22,1.75,-8.26,-13.45,-0.82%,-0.66%,1.12%,0.05%
"XLRE","NYSE",43.12,-0.69%,6105331,5185.87,1.18,-1.84%,-4.43%,-4.94%,2.06%,6.86%,1.82%,Real Estate,-3.42,3.95,1.79,0.76,-2.72%,-3.59%,-0.03%,-0.62%
"XLU","NYSE",41.82,-1.34%,23470640,19982.64,1.17,-2.92%,-5.04%,-6.09%,-10.95%,-2.04%,-2.18%,Utilities,0.10,2.63,2.15,4.84,-2.90%,-5.26%,-6.28%,-1.32%
"XLV","NYSE",167.75,1.45%,9233937,9365.18,0.99,-2.16%,-0.37%,9.06%,11.99%,8.37%,21.46%,Healthcare,-0.03,1.97,1.75,4.07,-1.85%,0.86%,7.73%,-0.15%
"XLY","NYSE",112.85,-0.10%,5259891,7113.86,0.74,-1.79%,-4.73%,-3.22%,1.80%,-5.49%,-5.42%,Consumer Discretionary,-4.39,-1.14,-6.98,-7.28,-2.49%,-2.59%,-3.53%,0.48%
