"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",53.18,-0.09%,13585933,11542.26,1.18,-0.67%,2.98%,3.97%,-0.43%,17.27%,15.42%,Materials,0.93,15.48,38.35,37.86,0.88%,2.84%,6.69%,-0.89%
"XLC","NYSE",112.99,1.42%,3735596,6242.53,0.60,1.43%,6.01%,-2.33%,-4.29%,-4.02%,1.24%,Communication Services,-0.96,-7.49,-13.38,-11.22,1.21%,2.63%,-0.91%,1.00%
"XLE","NYSE",62.68,0.63%,20594726,30977.51,0.66,-1.51%,6.31%,11.35%,12.09%,40.19%,39.44%,Energy,-0.54,-4.48,7.38,4.97,2.32%,7.79%,15.32%,0.53%
"XLF","NYSE",58.10,0.38%,25061130,33670.40,0.74,1.08%,1.93%,12.64%,12.97%,6.08%,7.89%,Financials,-7.00,-1.05,-1.38,-3.30,0.46%,2.94%,8.88%,0.21%
"XLI","NYSE",177.14,-0.93%,8225301,7038.61,1.17,-1.73%,-0.70%,2.32%,0.00%,14.20%,15.46%,Industrials,1.28,5.05,11.30,18.27,-3.20%,-2.61%,4.07%,-1.28%
"XLK","NYSE",185.69,-1.55%,6285024,10570.80,0.59,1.30%,5.67%,-2.79%,33.82%,28.98%,39.33%,Technology,-0.75,-0.20,0.87,1.11,0.07%,1.59%,16.54%,-1.27%
"XLP","NYSE",85.45,0.43%,6807041,11314.40,0.60,-0.63%,-0.02%,3.06%,-5.07%,10.00%,6.47%,Consumer Staples,-3.18,-4.08,-9.21,-12.79,-0.14%,0.68%,2.79%,-0.06%
"XLRE","NYSE",44.48,-0.40%,3800937,5189.34,0.73,-1.33%,-1.81%,1.11%,1.46%,10.24%,5.70%,Real Estate,-2.06,4.42,3.07,3.97,-0.96%,-0.89%,3.45%,-0.90%
"XLU","NYSE",42.73,-1.04%,20354623,19891.46,1.02,-0.09%,-4.32%,-3.80%,-10.48%,0.09%,0.98%,Utilities,-0.44,2.84,1.46,3.95,-2.08%,-4.38%,-4.43%,-1.41%
"XLV","NYSE",171.16,-0.24%,4862311,10241.71,0.47,-1.98%,4.67%,14.51%,6.84%,10.57%,25.46%,Healthcare,-0.03,0.31,0.42,4.43,1.13%,4.53%,10.52%,-0.16%
"XLY","NYSE",117.21,1.15%,4437417,7430.80,0.60,-0.69%,4.29%,-3.03%,0.30%,-1.84%,0.12%,Consumer Discretionary,0.77,-0.28,-4.12,-2.15,-0.65%,0.88%,0.18%,0.43%
