"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.62,-0.62%,14272889,11343.42,1.26,-1.15%,-0.04%,1.94%,3.52%,16.03%,15.69%,Materials,1.82,9.23,37.77,35.60,-0.41%,1.56%,5.19%,-1.55%
"XLC","NYSE",113.38,0.85%,3366971,6172.92,0.55,1.77%,2.26%,0.24%,-4.27%,-3.69%,0.28%,Communication Services,0.31,-5.77,-12.67,-10.81,1.44%,2.64%,-0.56%,-0.03%
"XLE","NYSE",64.62,-0.74%,24043687,30191.73,0.80,3.74%,12.76%,9.99%,14.41%,44.53%,46.05%,Energy,-0.06,-3.89,7.94,5.70,3.32%,9.52%,18.06%,-0.77%
"XLF","NYSE",58.56,1.56%,32466042,33260.03,0.98,1.17%,0.97%,12.21%,14.31%,6.92%,9.46%,Financials,-7.53,-0.46,-2.34,-5.86,1.25%,3.16%,9.55%,0.97%
"XLI","NYSE",174.56,1.03%,8315077,7084.43,1.17,-2.37%,-6.33%,-0.91%,1.45%,12.53%,16.53%,Industrials,-0.13,5.15,11.33,19.24,-3.41%,-3.75%,2.31%,0.46%
"XLK","NYSE",185.97,1.29%,6023435,10088.73,0.60,-1.40%,0.03%,-3.73%,32.67%,29.17%,42.31%,Technology,-0.90,-0.33,0.77,0.97,0.13%,1.87%,16.14%,1.34%
"XLP","NYSE",85.26,-0.32%,10229891,10942.86,0.93,0.21%,-0.08%,3.92%,-0.18%,9.76%,5.79%,Consumer Staples,-1.16,-0.32,-9.41,-12.32,-0.39%,0.28%,2.37%,-0.13%
"XLRE","NYSE",44.25,1.19%,4361466,5240.03,0.83,-0.92%,-2.10%,-0.34%,2.10%,9.67%,6.68%,Real Estate,-2.24,4.95,2.91,2.13,-1.01%,-1.36%,2.78%,0.39%
"XLU","NYSE",43.03,0.84%,22875463,20069.19,1.14,-0.35%,-1.44%,-2.07%,-8.25%,0.80%,2.66%,Utilities,-0.44,2.81,2.10,4.60,-0.83%,-3.29%,-3.67%,0.49%
"XLV","NYSE",173.26,0.18%,5785159,9923.72,0.58,0.98%,5.54%,13.93%,12.57%,11.93%,26.55%,Healthcare,0.42,1.64,1.37,4.57,1.31%,4.74%,11.58%,-0.47%
"XLY","NYSE",116.46,1.39%,5580215,7203.47,0.77,0.50%,-1.84%,-0.68%,-0.08%,-2.47%,0.86%,Consumer Discretionary,-1.55,0.55,-4.60,-2.87,-0.83%,0.21%,-0.43%,0.46%
