"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.42,-0.19%,9365753,11650.41,0.80,0.21%,3.15%,5.43%,-0.78%,15.59%,16.33%,Materials,-0.38,14.28,39.03,38.41,0.59%,1.78%,5.85%,0.61%
"XLC","NYSE",110.68,-0.57%,3598793,6349.06,0.57,-1.66%,1.36%,-4.67%,-3.87%,-5.98%,0.76%,Communication Services,-1.57,-7.00,-12.59,-10.93,0.31%,0.63%,-2.96%,-0.46%
"XLE","NYSE",63.75,0.27%,24146191,32751.02,0.74,4.41%,7.69%,6.61%,15.53%,42.59%,48.62%,Energy,-1.04,-4.62,8.16,5.63,6.10%,11.07%,18.49%,-0.78%
"XLF","NYSE",56.95,-0.92%,30301945,34356.21,0.88,-2.25%,1.61%,10.24%,9.20%,3.98%,7.72%,Financials,-0.50,1.42,1.23,-0.53,-0.95%,1.92%,7.06%,-0.90%
"XLI","NYSE",179.77,-1.20%,6497263,7195.46,0.90,-3.24%,0.51%,5.29%,1.95%,15.89%,18.88%,Industrials,2.34,7.59,12.71,19.22,-2.01%,-1.00%,6.10%,-0.69%
"XLK","NYSE",183.10,-0.29%,4979444,11113.52,0.45,-4.02%,1.57%,3.36%,30.59%,27.18%,40.93%,Technology,-0.26,-0.49,0.90,1.25,0.39%,0.11%,15.72%,-0.20%
"XLP","NYSE",85.32,-1.41%,11105169,11529.43,0.96,-0.79%,1.11%,-0.23%,-2.68%,9.84%,2.52%,Consumer Staples,2.79,-2.29,-8.05,-13.21,-0.16%,0.66%,3.01%,0.14%
"XLRE","NYSE",45.08,0.20%,3890601,5199.11,0.75,-0.09%,0.16%,1.46%,4.35%,11.72%,7.77%,Real Estate,-0.70,5.10,3.21,4.12,-0.08%,0.48%,5.14%,0.13%
"XLU","NYSE",43.77,-0.57%,17072132,19910.45,0.86,-0.61%,-4.70%,-1.66%,-5.07%,2.53%,1.59%,Utilities,-0.26,1.58,1.24,3.49,-1.14%,-2.41%,-2.20%,-0.14%
"XLV","NYSE",172.39,-1.87%,9642878,10362.17,0.93,2.38%,8.13%,17.17%,9.62%,11.36%,25.37%,Healthcare,0.28,1.88,1.96,6.91,3.55%,6.89%,11.91%,-1.03%
"XLY","NYSE",116.68,-1.61%,5138265,7765.38,0.66,-1.49%,2.33%,-1.07%,0.38%,-2.29%,2.54%,Consumer Discretionary,0.93,3.78,-3.03,-0.58,0.25%,0.52%,-0.33%,-0.32%
