"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.54,0.44%,7479005,11817.55,0.63,-0.61%,3.24%,1.68%,-0.55%,15.85%,16.72%,Materials,0.32,15.88,39.50,39.37,1.57%,2.25%,6.47%,0.15%
"XLC","NYSE",112.95,0.36%,2982826,6414.13,0.47,1.53%,0.27%,-3.55%,-1.47%,-4.05%,1.57%,Communication Services,-1.92,-6.52,-12.48,-14.58,2.73%,2.62%,-1.05%,0.17%
"XLE","NYSE",61.91,1.39%,22746273,33235.68,0.68,7.67%,8.58%,6.61%,14.69%,38.47%,44.72%,Energy,-1.05,-6.43,8.42,4.77,4.66%,8.67%,15.91%,0.88%
"XLF","NYSE",58.16,-0.17%,28123985,34371.70,0.82,0.97%,2.48%,13.39%,12.52%,6.19%,9.72%,Financials,3.62,2.69,3.92,1.68,1.67%,4.87%,9.54%,-0.10%
"XLI","NYSE",186.51,0.39%,3590061,7345.90,0.49,0.72%,3.53%,6.88%,7.97%,20.24%,23.41%,Industrials,0.79,5.67,12.97,19.71,2.05%,3.07%,10.44%,0.18%
"XLK","NYSE",190.01,-0.40%,3631369,11675.07,0.31,1.09%,7.04%,5.86%,36.49%,31.98%,41.94%,Technology,0.03,-0.50,0.91,1.20,4.97%,3.93%,20.61%,-0.59%
"XLP","NYSE",86.09,0.10%,6966861,11582.36,0.60,1.14%,0.33%,1.31%,-3.50%,10.83%,5.13%,Consumer Staples,2.48,-1.86,-8.01,-13.95,1.07%,1.79%,4.16%,0.10%
"XLRE","NYSE",45.27,0.33%,4545804,5138.95,0.88,0.64%,-0.42%,3.10%,5.60%,12.19%,10.25%,Real Estate,1.40,7.85,4.96,5.88,0.25%,0.96%,5.77%,0.34%
"XLU","NYSE",44.31,0.61%,17141069,20313.29,0.84,1.61%,-2.55%,-1.31%,-2.08%,3.79%,3.20%,Utilities,-0.00,2.65,1.88,4.37,-0.59%,-1.19%,-1.03%,0.68%
"XLV","NYSE",167.37,-0.60%,5020075,10375.24,0.48,1.02%,3.44%,14.14%,7.29%,8.12%,24.94%,Healthcare,1.40,1.89,1.77,5.79,1.89%,4.72%,9.03%,-0.17%
"XLY","NYSE",118.20,-0.21%,3839231,7947.07,0.48,-1.38%,0.73%,-0.40%,1.78%,-1.01%,2.97%,Consumer Discretionary,1.73,3.75,-2.59,0.36,2.27%,1.92%,0.94%,-0.23%
