"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",50.73,0.48%,9844057,11265.97,0.87,-2.33%,-3.44%,-3.37%,2.69%,11.86%,11.57%,Materials,-1.54,6.50,39.32,35.53,-3.05%,-2.04%,0.83%,0.36%
"XLC","NYSE",114.03,-0.90%,5509761,5860.90,0.94,2.25%,0.96%,1.64%,-1.13%,-3.13%,-4.18%,Communication Services,-0.15,-5.07,-12.38,-11.11,1.72%,2.65%,-0.01%,-0.19%
"XLE","NYSE",65.93,2.17%,34234497,29697.01,1.15,1.79%,6.49%,18.69%,13.87%,47.46%,49.33%,Energy,-0.12,-3.03,7.79,6.61,2.99%,8.76%,18.92%,1.62%
"XLF","NYSE",56.85,-0.32%,30142673,31790.77,0.95,-0.79%,-2.25%,6.14%,15.31%,3.80%,5.91%,Financials,-4.27,1.55,-0.44,-3.94,-1.31%,-0.54%,5.97%,-0.21%
"XLI","NYSE",168.85,-0.64%,8855864,6852.14,1.29,-3.19%,-9.47%,-5.50%,1.68%,8.85%,10.88%,Industrials,-3.53,3.12,10.29,17.33,-4.00%,-6.04%,-1.48%,-0.95%
"XLK","NYSE",183.74,-0.29%,6143659,8608.31,0.71,-2.20%,-3.30%,-4.20%,32.40%,27.62%,34.45%,Technology,-0.62,-1.15,0.32,0.61,-0.63%,0.51%,13.58%,-0.41%
"XLP","NYSE",83.73,-0.82%,14144843,10658.87,1.33,-0.35%,-2.74%,-2.05%,-1.47%,7.79%,5.45%,Consumer Staples,-1.36,-0.13,-9.39,-13.83,-1.58%,-1.47%,0.26%,-0.32%
"XLRE","NYSE",43.07,-0.12%,4567568,5219.97,0.88,-1.89%,-4.86%,-4.27%,1.15%,6.74%,1.82%,Real Estate,-3.63,2.80,1.39,0.04,-2.64%,-3.65%,-0.17%,-0.09%
"XLU","NYSE",41.32,-1.20%,24198131,20072.07,1.21,-4.90%,-6.75%,-7.64%,-12.57%,-3.21%,-3.57%,Utilities,0.30,1.92,2.28,5.29,-3.74%,-6.22%,-7.37%,-1.43%
"XLV","NYSE",167.66,-0.05%,7196649,9369.32,0.77,0.32%,0.17%,9.66%,11.03%,8.31%,22.44%,Healthcare,-0.30,1.50,1.47,4.08,-1.92%,0.74%,7.65%,-0.08%
"XLY","NYSE",110.88,-1.75%,12677788,7075.30,1.79,-2.73%,-6.19%,-6.49%,-1.18%,-7.14%,-7.87%,Consumer Discretionary,-4.40,-1.31,-6.99,-7.10,-3.94%,-4.17%,-5.19%,-1.47%
