"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",53.58,0.00%,8182453,11634.78,0.70,3.48%,4.26%,5.08%,0.41%,18.15%,16.90%,Materials,-1.81,14.49,38.17,41.42,2.25%,3.72%,7.83%,0.19%
"XLC","NYSE",113.18,0.77%,2701501,6328.04,0.43,2.44%,5.13%,-2.05%,-2.57%,-3.86%,1.52%,Communication Services,-1.52,-7.65,-13.09,-10.63,1.96%,2.86%,-0.75%,0.68%
"XLE","NYSE",62.06,-1.66%,26878658,31561.44,0.85,-2.54%,6.34%,7.28%,12.63%,38.81%,40.45%,Energy,-1.43,-4.75,7.79,5.73,2.16%,7.53%,14.74%,-0.23%
"XLF","NYSE",58.31,0.15%,23590800,34207.59,0.69,0.81%,2.51%,12.46%,14.38%,6.46%,9.48%,Financials,-2.69,0.47,-0.11,-1.35,1.14%,3.76%,9.44%,0.21%
"XLI","NYSE",178.40,-0.34%,6564025,7056.44,0.93,-2.82%,-2.62%,2.35%,0.80%,15.01%,17.67%,Industrials,1.32,6.61,12.16,19.77,-2.47%,-1.94%,5.05%,-1.31%
"XLK","NYSE",181.74,0.94%,5362594,10845.16,0.49,-2.09%,4.27%,-1.84%,29.52%,26.23%,38.82%,Technology,-0.42,-0.18,0.91,1.07,-1.00%,-0.64%,14.50%,-0.20%
"XLP","NYSE",86.52,-1.06%,7022270,11476.83,0.61,1.10%,1.36%,3.46%,-3.59%,11.38%,6.74%,Consumer Staples,-1.46,-2.93,-9.15,-14.54,1.04%,1.99%,4.26%,-0.39%
"XLRE","NYSE",45.36,0.07%,3148629,5217.21,0.60,1.64%,-0.87%,1.45%,3.73%,12.42%,7.67%,Real Estate,-1.64,4.56,2.61,3.74,0.76%,1.08%,5.63%,0.04%
"XLU","NYSE",43.31,0.21%,13428450,20031.88,0.67,-1.61%,-5.19%,-4.46%,-8.24%,1.45%,1.82%,Utilities,-0.03,2.86,1.17,3.32,-1.26%,-3.29%,-3.18%,0.16%
"XLV","NYSE",175.29,0.34%,5432097,10380.84,0.52,3.28%,7.28%,18.03%,11.03%,13.24%,28.70%,Healthcare,-2.18,-0.32,-0.07,4.26,4.31%,7.84%,13.46%,0.48%
"XLY","NYSE",117.95,-0.30%,4155744,7636.05,0.54,1.37%,6.41%,-1.26%,1.04%,-1.22%,1.41%,Consumer Discretionary,1.58,2.70,-3.65,-0.88,0.41%,1.48%,0.79%,-0.39%
