"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"XLB","NYSE",52.34,1.85%,11774472,11363.29,1.04,4.47%,1.43%,1.08%,4.62%,15.41%,15.00%,Materials,4.34,17.40,42.02,42.39,2.83%,2.66%,7.18%
"XLC","NYSE",109.67,1.87%,5307147,6333.02,0.84,-0.33%,3.29%,-5.30%,-6.88%,-6.84%,2.46%,Communication Services,-1.13,-7.37,-12.22,-9.54,-0.21%,-1.48%,-4.16%
"XLE","NYSE",57.57,-1.35%,27671921,35340.10,0.78,-1.59%,6.93%,1.41%,16.96%,28.76%,30.71%,Energy,-1.44,-4.85,9.95,4.90,2.09%,1.44%,9.92%
"XLF","NYSE",57.60,1.27%,34108618,35274.85,0.97,2.66%,7.52%,11.18%,7.84%,5.17%,8.54%,Financials,4.29,-0.00,2.14,0.29,2.94%,6.95%,9.14%
"XLI","NYSE",182.49,-0.39%,5706973,7685.50,0.74,2.14%,0.71%,5.79%,11.02%,17.64%,18.11%,Industrials,1.15,3.83,10.06,18.38,0.54%,2.54%,9.35%
"XLK","NYSE",171.09,-1.84%,10001648,12046.85,0.83,-5.36%,-5.53%,6.55%,17.12%,18.84%,29.57%,Technology,0.21,0.30,1.45,2.14,-5.16%,-6.56%,10.42%
"XLP","NYSE",87.06,1.99%,22226152,11773.82,1.89,3.57%,2.77%,5.73%,5.17%,12.08%,7.93%,Consumer Staples,2.30,-3.56,-9.67,-12.68,3.18%,3.36%,5.86%
"XLRE","NYSE",46.01,0.55%,5831750,5142.67,1.13,1.79%,1.70%,5.79%,11.62%,14.03%,9.42%,Real Estate,4.81,6.94,4.31,5.20,2.51%,3.20%,8.01%
"XLU","NYSE",45.52,-0.35%,16390233,19957.06,0.82,1.34%,-1.47%,-1.45%,6.18%,6.63%,8.87%,Utilities,0.84,-1.41,1.35,5.47,0.10%,1.27%,1.43%
"XLV","NYSE",167.26,2.36%,12756774,10423.04,1.22,4.37%,4.32%,16.59%,5.79%,8.05%,23.63%,Healthcare,1.31,-2.04,0.84,3.35,3.63%,7.74%,9.96%
"XLY","NYSE",112.48,1.48%,6017859,8205.36,0.73,-2.08%,-1.65%,-4.55%,-8.04%,-5.80%,-0.54%,Consumer Discretionary,1.75,-0.34,-4.84,-3.95,-2.36%,-3.24%,-3.97%
