"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"XLB","NYSE",51.26,1.93%,12193010,11275.37,1.08,1.44%,0.20%,-1.06%,3.51%,13.03%,12.30%,Materials,4.59,15.20,44.07,44.23,0.85%,0.54%,5.12%
"XLC","NYSE",106.30,0.87%,6151979,6277.27,0.98,-3.93%,-0.23%,-9.45%,-8.56%,-9.70%,-2.14%,Communication Services,-2.51,-7.00,-11.60,-8.73,-3.13%,-4.79%,-7.16%
"XLE","NYSE",59.62,0.40%,34181904,35364.11,0.97,3.36%,11.29%,4.63%,21.90%,33.35%,36.38%,Energy,-0.82,-4.90,10.21,4.88,6.53%,5.06%,14.13%
"XLF","NYSE",56.31,0.86%,32212945,35129.22,0.92,0.09%,4.82%,8.71%,4.65%,2.81%,6.11%,Financials,5.25,0.14,3.05,1.95,1.29%,5.03%,6.77%
"XLI","NYSE",182.66,0.40%,5507718,7728.27,0.71,1.81%,1.36%,4.93%,10.37%,17.75%,19.02%,Industrials,0.39,2.81,10.13,18.82,0.68%,2.84%,9.63%
"XLK","NYSE",175.88,-1.44%,7739567,12109.88,0.64,0.17%,-3.92%,12.86%,21.40%,22.16%,34.57%,Technology,0.43,0.39,1.24,2.02,-3.08%,-4.06%,13.72%
"XLP","NYSE",84.13,1.11%,9634564,11775.43,0.82,-1.24%,-0.37%,0.78%,2.26%,8.30%,3.40%,Consumer Staples,1.73,-4.71,-11.28,-14.18,-0.10%,-0.05%,2.40%
"XLRE","NYSE",45.95,2.22%,4737184,5121.86,0.92,1.17%,3.24%,4.53%,11.69%,13.88%,7.38%,Real Estate,4.06,6.12,3.89,4.62,2.56%,3.23%,7.98%
"XLU","NYSE",46.29,0.22%,16108992,20053.56,0.80,2.48%,1.65%,0.43%,8.38%,8.43%,9.82%,Utilities,1.01,-2.49,1.15,5.23,1.68%,3.05%,3.16%
"XLV","NYSE",162.57,0.70%,7648006,10404.16,0.74,0.92%,6.01%,11.17%,2.70%,5.02%,19.75%,Healthcare,2.05,-2.17,0.89,4.53,1.02%,5.23%,7.02%
"XLY","NYSE",109.41,0.60%,8210827,8161.35,1.01,-5.22%,-4.92%,-7.07%,-10.77%,-8.37%,-1.79%,Consumer Discretionary,1.43,1.58,-4.66,-4.00,-5.36%,-6.11%,-6.64%
