"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"XLB","NYSE",51.24,-0.05%,5249768,11352.35,0.59,2.41%,-1.17%,-1.32%,2.53%,12.98%,10.93%,Materials,5.40,17.85,43.28,43.66,0.84%,0.53%,5.00%
"XLC","NYSE",107.84,1.45%,5032628,6298.14,1.02,-2.67%,2.14%,-6.67%,-7.80%,-8.40%,0.20%,Communication Services,-2.58,-7.92,-12.33,-9.61,-1.81%,-3.26%,-5.79%
"XLE","NYSE",58.83,-1.32%,20475822,35327.91,0.74,1.54%,8.77%,3.46%,19.61%,31.59%,35.10%,Energy,-0.47,-4.92,9.95,4.97,4.66%,3.63%,12.47%
"XLF","NYSE",56.76,0.79%,17773482,35209.67,0.65,1.28%,6.18%,10.38%,6.94%,3.62%,6.20%,Financials,5.82,0.54,2.75,1.41,1.80%,5.63%,7.58%
"XLI","NYSE",182.04,-0.34%,4226593,7693.47,0.70,2.20%,-1.13%,5.55%,10.85%,17.35%,17.45%,Industrials,1.74,5.09,10.46,18.61,0.32%,2.40%,9.17%
"XLK","NYSE",173.13,-1.56%,6176183,12056.33,0.65,-1.47%,-6.20%,8.06%,19.33%,20.25%,32.17%,Technology,0.47,-0.09,1.37,2.08,-4.38%,-5.52%,11.83%
"XLP","NYSE",85.50,1.63%,8599120,11755.78,0.93,0.76%,1.86%,2.73%,3.12%,10.07%,4.91%,Consumer Staples,6.04,-0.94,-8.08,-10.75,1.48%,1.56%,4.03%
"XLRE","NYSE",45.79,-0.35%,2807009,5140.51,0.70,1.24%,2.69%,4.47%,11.01%,13.48%,7.01%,Real Estate,5.10,6.92,4.26,5.15,2.14%,2.80%,7.55%
"XLU","NYSE",45.74,-1.19%,9485148,19923.73,0.61,1.78%,-0.24%,-0.95%,7.47%,7.14%,8.23%,Utilities,1.19,-1.94,1.11,5.07,0.52%,1.78%,1.92%
"XLV","NYSE",164.09,0.93%,5843164,10398.96,0.72,3.04%,5.44%,13.81%,4.20%,6.00%,20.23%,Healthcare,3.68,-0.41,2.32,5.34,1.85%,5.97%,7.95%
"XLY","NYSE",110.52,1.01%,4200554,8204.34,0.65,-3.57%,-2.50%,-6.88%,-10.24%,-7.44%,-1.70%,Consumer Discretionary,1.74,-2.94,-5.54,-4.99,-4.24%,-5.02%,-5.66%
