"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",50.36,-0.73%,9586670,11184.18,0.86,-2.00%,-3.60%,-4.48%,1.70%,11.05%,11.10%,Materials,-2.89,4.17,38.60,32.78,-3.63%,-2.71%,0.04%,-1.12%
"XLC","NYSE",113.00,-0.90%,4395797,5844.16,0.75,1.96%,1.97%,0.61%,-2.05%,-4.01%,-4.66%,Communication Services,-0.42,-5.54,-12.82,-10.88,0.68%,1.69%,-0.91%,-1.07%
"XLE","NYSE",64.03,-2.88%,48572714,29541.98,1.64,-1.96%,2.32%,15.66%,9.43%,43.21%,42.64%,Energy,-0.19,-3.47,7.21,5.77,-0.01%,5.30%,15.29%,-1.82%
"XLF","NYSE",55.93,-1.62%,52867859,31674.38,1.67,-1.98%,-2.87%,2.91%,12.85%,2.12%,4.42%,Financials,-3.37,1.58,0.17,-4.10,-2.75%,-2.14%,4.22%,-1.57%
"XLI","NYSE",168.71,-0.08%,8909359,6873.78,1.30,-1.79%,-9.45%,-6.19%,1.33%,8.76%,11.12%,Industrials,-3.42,1.76,9.60,15.71,-3.67%,-5.98%,-1.61%,-0.53%
"XLK","NYSE",183.93,0.10%,8057559,8497.82,0.95,-2.10%,-3.36%,-1.35%,31.81%,27.76%,35.06%,Technology,-0.60,-1.08,0.38,0.73,-0.49%,0.56%,13.55%,-0.54%
"XLP","NYSE",83.33,-0.48%,9644216,10712.87,0.90,0.34%,-1.59%,-2.64%,-1.62%,7.27%,4.48%,Consumer Staples,-1.11,0.37,-9.30,-13.83,-1.92%,-1.90%,-0.25%,-0.42%
"XLRE","NYSE",42.81,-0.60%,5299282,5209.82,1.02,-1.38%,-4.51%,-5.08%,0.21%,6.10%,1.81%,Real Estate,-3.81,2.39,0.98,-0.37,-3.03%,-4.14%,-0.79%,-0.61%
"XLU","NYSE",41.32,0.00%,23552786,20163.73,1.17,-3.77%,-6.47%,-8.30%,-12.33%,-3.21%,-1.78%,Utilities,0.59,1.95,2.56,6.09,-3.44%,-6.03%,-7.33%,-0.74%
"XLV","NYSE",167.77,0.07%,7147730,9336.02,0.77,0.71%,0.43%,9.70%,12.12%,8.38%,22.52%,Healthcare,-0.62,1.47,1.45,3.87,-1.80%,0.76%,7.68%,0.01%
"XLY","NYSE",110.18,-0.63%,8874287,7172.04,1.24,-2.03%,-5.63%,-6.99%,-2.65%,-7.73%,-9.01%,Consumer Discretionary,-4.62,-1.49,-7.20,-8.38,-4.29%,-4.66%,-5.76%,-0.83%
