"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.07,-1.18%,15492345,11595.58,1.34,-2.82%,2.08%,1.07%,0.25%,14.82%,12.85%,Materials,1.45,17.44,39.36,37.95,-1.38%,0.64%,4.29%,-0.71%
"XLC","NYSE",110.88,-0.52%,5136185,6196.25,0.83,-2.03%,-0.41%,-2.37%,-6.00%,-5.81%,-0.46%,Communication Services,0.20,-6.73,-12.94,-10.47,-0.63%,0.60%,-2.74%,0.29%
"XLE","NYSE",64.77,1.27%,33228421,30490.47,1.09,4.37%,10.17%,11.75%,14.60%,44.87%,43.31%,Energy,-1.50,-4.55,6.76,4.49,4.75%,10.59%,18.75%,-0.15%
"XLF","NYSE",57.20,-0.88%,32355653,33288.27,0.97,-1.90%,-0.31%,11.15%,11.70%,4.44%,5.95%,Financials,-6.95,-1.27,-2.24,-5.04,-1.07%,1.07%,7.12%,-0.71%
"XLI","NYSE",172.73,-1.37%,9127875,7036.63,1.30,-3.18%,-5.69%,-0.84%,-1.54%,11.35%,13.63%,Industrials,-0.20,4.75,10.68,17.86,-5.05%,-4.88%,1.36%,-0.92%
"XLK","NYSE",183.64,-1.53%,7622567,10335.99,0.74,1.05%,3.15%,-7.35%,33.56%,27.55%,39.94%,Technology,-1.08,-0.76,0.77,1.04,-1.17%,0.62%,14.98%,-0.03%
"XLP","NYSE",85.25,0.32%,9349842,11226.84,0.83,-1.47%,0.46%,4.18%,-2.84%,9.75%,5.53%,Consumer Staples,-0.18,-4.12,-9.20,-11.74,-0.38%,0.33%,2.46%,-0.30%
"XLRE","NYSE",44.04,-0.16%,6767292,5211.94,1.30,-2.91%,-2.52%,1.26%,0.78%,9.14%,4.09%,Real Estate,-0.90,4.44,3.24,4.11,-1.70%,-1.88%,2.37%,-0.20%
"XLU","NYSE",42.56,0.78%,30607980,20040.81,1.53,-1.73%,-4.06%,-3.05%,-9.58%,-0.30%,0.95%,Utilities,-0.62,2.85,1.80,4.81,-2.06%,-4.56%,-4.76%,0.61%
"XLV","NYSE",171.67,0.66%,7813923,10064.06,0.78,-2.07%,5.81%,17.26%,9.53%,10.90%,24.91%,Healthcare,0.18,2.06,0.57,4.11,0.90%,4.30%,10.71%,-0.55%
"XLY","NYSE",114.59,-1.72%,5874946,7345.93,0.80,-2.85%,-3.06%,-2.55%,0.20%,-4.04%,-1.10%,Consumer Discretionary,0.85,-0.70,-4.17,-2.36,-2.65%,-1.36%,-2.03%,-0.72%
