"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.95,1.69%,12839941,11454.36,1.12,-1.34%,1.83%,2.56%,1.98%,16.76%,15.62%,Materials,2.45,13.59,39.55,37.50,0.25%,2.26%,5.95%,1.13%
"XLC","NYSE",112.42,1.39%,5098194,6194.40,0.82,-0.17%,0.34%,0.30%,-5.36%,-4.50%,1.10%,Communication Services,-1.13,-6.29,-12.78,-10.88,0.68%,1.90%,-1.39%,1.34%
"XLE","NYSE",65.10,0.51%,27309008,30137.29,0.91,4.28%,11.24%,10.88%,15.86%,45.61%,43.84%,Energy,-1.75,-4.03,7.57,5.34,4.63%,10.75%,19.14%,1.29%
"XLF","NYSE",57.66,0.80%,31253512,33255.36,0.94,-1.03%,-0.38%,13.35%,11.96%,5.28%,7.59%,Financials,-7.49,-0.36,-2.21,-6.04,-0.24%,1.75%,7.93%,0.49%
"XLI","NYSE",172.78,0.03%,10797498,7050.81,1.53,-4.19%,-7.31%,-0.73%,-1.81%,11.38%,14.76%,Industrials,-0.49,5.54,11.54,18.90,-4.66%,-4.79%,1.33%,-0.32%
"XLK","NYSE",183.60,-0.02%,5668739,10159.16,0.56,0.42%,-1.77%,-6.44%,31.29%,27.53%,41.34%,Technology,-1.01,-0.33,0.83,1.07,-1.13%,0.61%,14.81%,0.08%
"XLP","NYSE",85.53,0.33%,8426913,11056.64,0.76,-0.86%,0.19%,4.10%,-1.87%,10.11%,6.05%,Consumer Staples,-1.39,-2.73,-9.78,-12.38,-0.06%,0.62%,2.74%,0.19%
"XLRE","NYSE",43.73,-0.70%,7636281,5216.59,1.46,-3.02%,-3.19%,0.51%,-0.07%,8.38%,5.15%,Real Estate,-1.93,4.03,2.67,2.42,-2.23%,-2.53%,1.61%,-0.64%
"XLU","NYSE",42.67,0.26%,29748477,20031.63,1.49,-1.93%,-3.26%,-2.38%,-9.73%,-0.05%,1.55%,Utilities,-0.38,3.12,2.05,4.47,-1.69%,-4.21%,-4.49%,0.64%
"XLV","NYSE",172.95,0.75%,7797870,9989.69,0.78,-0.34%,6.69%,17.21%,10.12%,11.72%,25.73%,Healthcare,0.77,2.56,1.25,4.61,1.39%,4.81%,11.46%,0.50%
"XLY","NYSE",114.86,0.24%,4221465,7265.79,0.58,-1.96%,-2.90%,-1.60%,-1.31%,-3.81%,-0.13%,Consumer Discretionary,2.16,3.23,-1.73,0.10,-2.26%,-1.14%,-1.80%,-0.11%
