"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.52,1.43%,10876711,11666.26,0.93,-0.11%,4.83%,7.10%,-0.94%,15.81%,16.65%,Materials,0.19,15.16,40.47,39.62,0.98%,2.04%,6.16%,0.00%
"XLC","NYSE",111.32,0.76%,3385749,6377.29,0.53,0.95%,1.17%,-3.91%,-2.85%,-5.44%,1.03%,Communication Services,-1.61,-6.02,-12.19,-11.16,1.13%,1.19%,-2.41%,0.81%
"XLE","NYSE",63.58,-0.16%,25454738,32839.48,0.78,4.18%,8.68%,3.74%,16.06%,42.21%,49.46%,Energy,-0.41,-4.97,8.33,5.78,6.20%,11.02%,18.39%,-0.42%
"XLF","NYSE",57.48,-0.62%,35598164,34361.10,1.04,-0.76%,2.44%,12.49%,9.30%,4.95%,9.28%,Financials,-0.57,1.26,1.94,-0.50,0.07%,3.03%,8.10%,-0.69%
"XLI","NYSE",181.95,-0.88%,8303881,7182.62,1.16,-2.11%,1.84%,7.83%,3.95%,17.30%,20.21%,Industrials,1.50,8.23,12.41,18.55,-0.88%,0.25%,7.46%,-1.24%
"XLK","NYSE",183.64,-1.07%,7299165,11247.51,0.65,-2.76%,1.58%,6.00%,30.32%,27.55%,40.39%,Technology,-0.05,-0.42,0.99,1.34,0.81%,0.43%,16.18%,-1.48%
"XLP","NYSE",86.54,1.12%,11240030,11545.12,0.97,1.72%,2.95%,0.52%,-1.70%,11.41%,4.58%,Consumer Staples,1.84,-2.06,-8.13,-13.29,1.39%,2.13%,4.54%,0.96%
"XLRE","NYSE",44.99,0.81%,4615419,5194.52,0.89,1.12%,-0.46%,2.39%,3.78%,11.50%,7.97%,Real Estate,-0.60,5.31,3.40,4.32,-0.26%,0.28%,4.98%,0.22%
"XLU","NYSE",44.02,0.00%,15808995,20012.84,0.79,0.41%,-2.00%,-0.72%,-3.49%,3.12%,2.28%,Utilities,-0.23,1.31,1.69,4.07,-0.84%,-1.86%,-1.65%,-0.54%
"XLV","NYSE",175.68,3.51%,16518502,10296.29,1.60,4.30%,9.63%,19.25%,11.42%,13.49%,28.46%,Healthcare,0.04,1.32,1.77,7.02,5.87%,9.18%,14.15%,1.86%
"XLY","NYSE",118.59,1.92%,7525996,7782.07,0.97,0.59%,3.24%,3.09%,1.34%,-0.69%,3.19%,Consumer Discretionary,1.19,2.28,-2.61,0.14,2.24%,2.18%,1.29%,1.45%
