"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.00,1.94%,16874235,11594.22,1.46,-0.65%,0.04%,2.67%,4.73%,14.66%,18.36%,Materials,1.07,12.68,37.23,35.05,2.21%,1.69%,6.09%,1.34%
"XLC","NYSE",112.04,0.63%,5459266,6455.36,0.85,2.16%,1.66%,-3.50%,-6.38%,-4.83%,3.59%,Communication Services,-3.47,-6.74,-11.75,-8.55,1.94%,1.26%,-1.99%,1.36%
"XLE","NYSE",58.52,-0.46%,37631670,34511.27,1.09,1.65%,10.14%,-1.46%,16.92%,30.89%,37.05%,Energy,0.28,-4.31,10.54,6.18,1.30%,3.32%,10.91%,1.42%
"XLF","NYSE",57.88,0.87%,31395532,35706.76,0.88,0.49%,3.10%,12.21%,7.13%,5.68%,11.50%,Financials,6.40,2.84,5.70,2.00,2.56%,6.34%,9.45%,1.15%
"XLI","NYSE",186.40,1.77%,10489712,7590.99,1.38,2.14%,0.45%,9.02%,11.26%,20.17%,23.35%,Industrials,-0.28,5.94,11.33,19.07,3.15%,4.13%,11.21%,0.41%
"XLK","NYSE",186.90,4.98%,13483067,12202.06,1.10,9.24%,1.81%,15.33%,28.67%,29.82%,42.51%,Technology,1.20,1.24,1.92,2.44,4.67%,2.05%,19.95%,2.40%
"XLP","NYSE",85.37,0.60%,13258094,12011.68,1.10,-1.94%,1.51%,2.19%,1.03%,9.90%,5.98%,Consumer Staples,2.76,-0.76,-8.55,-12.40,0.71%,1.32%,3.58%,1.28%
"XLRE","NYSE",45.17,-0.02%,6247287,5100.42,1.22,-1.83%,1.99%,2.47%,10.28%,11.95%,8.48%,Real Estate,2.71,9.71,4.57,5.71,0.13%,1.00%,5.78%,1.16%
"XLU","NYSE",44.11,-0.56%,26762406,20379.84,1.31,-3.10%,-2.63%,-4.87%,3.50%,3.33%,1.03%,Utilities,0.54,0.94,2.34,6.52,-2.52%,-1.90%,-1.65%,-0.32%
"XLV","NYSE",162.10,-0.09%,15120680,10504.52,1.44,-3.09%,0.09%,12.00%,4.12%,4.72%,21.87%,Healthcare,-0.05,-1.14,0.50,3.53,0.17%,3.31%,6.20%,0.06%
"XLY","NYSE",118.29,0.07%,10500782,8179.53,1.28,5.17%,0.24%,0.48%,-3.02%,-0.94%,8.21%,Consumer Discretionary,1.13,0.46,-3.70,-1.98,3.19%,1.90%,1.02%,0.65%
