"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.44,-0.34%,10873762,11372.00,0.96,-1.39%,0.52%,3.57%,5.17%,15.63%,14.85%,Materials,1.48,7.77,38.38,37.06,-0.72%,1.19%,4.73%,0.54%
"XLC","NYSE",112.03,-1.19%,2689574,6130.59,0.44,-0.85%,0.76%,0.32%,-4.62%,-4.83%,-1.80%,Communication Services,-0.40,-6.07,-12.53,-10.80,0.19%,1.30%,-1.75%,-0.97%
"XLE","NYSE",64.06,-0.87%,26092637,29843.31,0.87,2.20%,10.14%,11.08%,13.24%,43.28%,43.83%,Energy,0.71,-2.96,8.35,6.19,1.89%,8.20%,16.83%,0.03%
"XLF","NYSE",58.10,-0.79%,26283581,33067.46,0.79,0.00%,0.50%,11.09%,14.89%,6.08%,7.47%,Financials,-7.54,0.68,-2.15,-5.73,0.41%,2.18%,8.62%,0.10%
"XLI","NYSE",175.27,0.41%,5815847,7106.80,0.82,-1.06%,-5.14%,0.63%,3.14%,12.99%,15.70%,Industrials,-2.08,5.35,11.62,18.83,-2.75%,-3.27%,2.65%,0.53%
"XLK","NYSE",187.28,0.70%,5081565,10002.65,0.51,0.86%,1.05%,3.87%,36.41%,30.08%,42.61%,Technology,-1.02,-0.53,0.71,0.99,0.85%,2.56%,16.79%,0.05%
"XLP","NYSE",84.58,-0.80%,9831027,10872.77,0.90,-1.02%,-0.62%,1.37%,-1.40%,8.88%,4.89%,Consumer Staples,-0.93,0.28,-9.09,-12.78,-1.15%,-0.53%,1.51%,-0.28%
"XLRE","NYSE",43.93,-0.72%,3780757,5220.38,0.72,-1.24%,-1.96%,-1.72%,2.42%,8.87%,5.20%,Real Estate,-2.31,5.33,2.96,2.18,-1.61%,-2.05%,2.00%,-0.25%
"XLU","NYSE",43.08,0.12%,18855122,20083.67,0.94,0.82%,-0.69%,-2.86%,-7.83%,0.91%,2.90%,Utilities,-0.18,1.60,2.32,5.26,-0.65%,-3.06%,-3.54%,0.72%
"XLV","NYSE",171.45,-1.04%,6069714,9862.64,0.62,0.17%,4.26%,12.05%,12.28%,10.76%,24.75%,Healthcare,-0.14,1.92,1.56,4.95,0.08%,3.45%,10.35%,0.04%
"XLY","NYSE",114.91,-1.33%,5085529,7196.58,0.71,-1.96%,-2.70%,0.04%,0.41%,-3.77%,-2.27%,Consumer Discretionary,-2.21,0.20,-4.71,-3.58,-1.94%,-1.15%,-1.76%,-0.30%
