"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"XLB","NYSE",51.74,-1.15%,13743768,11406.87,1.20,1.81%,2.13%,0.66%,3.52%,14.09%,14.12%,Materials,4.52,16.22,41.16,40.99,1.56%,1.43%,5.87%
"XLC","NYSE",109.51,-0.15%,7119531,6353.27,1.12,0.28%,1.51%,-5.39%,-6.32%,-6.97%,3.19%,Communication Services,-1.56,-7.48,-12.24,-9.54,-0.47%,-1.50%,-4.28%
"XLE","NYSE",58.65,1.88%,34158932,35157.02,0.97,-0.93%,9.46%,1.63%,18.08%,31.18%,31.87%,Energy,-1.61,-5.08,10.10,5.62,3.49%,3.37%,11.83%
"XLF","NYSE",56.68,-1.60%,48887803,35434.00,1.38,1.12%,5.51%,9.32%,6.94%,3.49%,7.35%,Financials,6.64,3.28,5.18,2.77,1.02%,5.02%,7.36%
"XLI","NYSE",176.66,-3.19%,9487221,7632.42,1.24,-1.22%,-3.34%,3.32%,7.03%,13.89%,15.65%,Industrials,-0.31,4.26,9.26,17.49,-2.44%,-0.79%,5.78%
"XLK","NYSE",166.57,-2.64%,14360553,12059.70,1.19,-7.60%,-10.16%,5.52%,12.51%,15.70%,26.15%,Technology,0.80,0.81,1.53,2.09,-7.05%,-8.93%,7.43%
"XLP","NYSE",87.36,0.34%,14852684,11968.70,1.24,3.53%,3.54%,5.15%,5.05%,12.46%,7.60%,Consumer Staples,2.46,-2.98,-9.29,-13.02,3.27%,3.65%,6.17%
"XLRE","NYSE",45.96,-0.11%,6029101,5137.79,1.17,2.11%,2.32%,4.67%,11.42%,13.90%,7.51%,Real Estate,4.59,6.79,4.42,5.15,2.18%,2.96%,7.83%
"XLU","NYSE",44.91,-1.34%,23603944,20011.87,1.18,-2.22%,-2.41%,-2.90%,3.41%,5.20%,6.20%,Utilities,0.56,0.17,1.33,4.67,-1.20%,-0.14%,0.08%
"XLV","NYSE",166.24,-0.61%,11652418,10490.18,1.11,4.27%,3.42%,15.57%,6.94%,7.39%,23.66%,Healthcare,0.71,-1.74,0.64,3.24,2.75%,6.79%,9.21%
"XLY","NYSE",111.61,-0.77%,7533189,8193.70,0.92,-2.11%,-4.70%,-4.61%,-9.03%,-6.53%,-0.62%,Consumer Discretionary,1.32,-0.04,-4.72,-3.18,-2.88%,-3.90%,-4.69%
