"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",49.80,0.24%,9918906,11086.52,0.89,-0.38%,-7.21%,-3.49%,1.45%,9.81%,13.41%,Materials,-1.88,1.12,39.42,37.08,-2.66%,-3.67%,-1.47%,0.04%
"XLC","NYSE",112.96,-0.90%,4987627,5582.06,0.89,1.94%,0.31%,6.39%,3.81%,-4.04%,-3.48%,Communication Services,1.47,-1.17,-11.71,-10.72,0.29%,1.47%,-0.86%,-0.44%
"XLE","NYSE",62.04,-0.89%,37439944,29561.23,1.27,-3.53%,-0.62%,15.23%,0.85%,38.76%,36.13%,Energy,-0.06,-3.70,6.60,6.19,-3.05%,0.46%,10.51%,0.19%
"XLF","NYSE",54.84,0.57%,29036513,32319.72,0.90,-1.83%,-5.87%,2.37%,11.80%,0.13%,2.56%,Financials,-1.74,-0.17,-2.31,-4.90,-3.11%,-3.87%,2.07%,0.39%
"XLI","NYSE",170.43,0.95%,7280623,6841.52,1.06,0.40%,-5.50%,-5.94%,5.68%,9.87%,12.70%,Industrials,-3.09,-0.35,9.26,15.94,-0.70%,-4.20%,-0.93%,0.53%
"XLK","NYSE",196.27,0.80%,5968197,8013.96,0.74,3.52%,7.35%,8.37%,48.13%,36.33%,41.20%,Technology,-0.17,-0.37,0.74,1.14,4.17%,6.40%,19.91%,0.38%
"XLP","NYSE",82.06,0.44%,8509504,10432.88,0.82,-0.89%,-4.88%,-3.13%,1.13%,5.64%,5.52%,Consumer Staples,-0.54,2.20,-10.24,-14.43,-1.91%,-3.13%,-1.92%,0.80%
"XLRE","NYSE",41.56,-0.22%,5753403,5183.88,1.11,-2.28%,-7.83%,-8.13%,3.15%,3.00%,0.22%,Real Estate,-1.77,1.84,1.30,-0.82,-3.68%,-6.25%,-3.78%,-0.53%
"XLU","NYSE",39.51,0.38%,29656608,20190.87,1.47,-3.87%,-9.19%,-14.48%,-12.84%,-7.45%,-7.49%,Utilities,2.21,3.12,3.73,8.77,-5.33%,-8.68%,-11.14%,0.25%
"XLV","NYSE",170.70,0.49%,5937318,9091.36,0.65,1.37%,-1.64%,6.46%,17.13%,10.27%,27.26%,Healthcare,-0.25,0.67,0.21,4.46,0.87%,1.79%,9.20%,0.45%
"XLY","NYSE",110.56,0.22%,6082861,6972.60,0.87,-0.42%,-5.63%,-3.33%,1.59%,-7.41%,-6.39%,Consumer Discretionary,0.54,3.20,-3.51,-3.50,-2.09%,-3.71%,-5.22%,-0.10%
