"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",49.99,-1.42%,9628968,11088.35,0.87,-1.88%,-4.82%,-3.51%,4.71%,10.23%,10.03%,Materials,-1.40,2.23,39.64,34.75,-3.95%,-3.44%,-0.81%,-0.86%
"XLC","NYSE",110.81,-1.37%,7081165,5702.79,1.24,-1.59%,-0.46%,1.24%,-2.06%,-5.87%,-6.82%,Communication Services,-0.98,-5.38,-12.88,-11.24,-1.32%,-0.34%,-2.80%,-1.39%
"XLE","NYSE",64.31,-0.26%,29320619,29596.52,0.99,-1.27%,1.15%,19.60%,8.34%,43.84%,43.37%,Energy,-1.36,-3.32,6.75,5.40,0.32%,5.12%,15.40%,0.17%
"XLF","NYSE",55.86,-0.04%,35655455,31597.15,1.13,-2.43%,-2.82%,4.27%,14.02%,1.99%,3.20%,Financials,-2.83,-0.14,-0.88,-5.52,-2.64%,-2.31%,4.04%,0.36%
"XLI","NYSE",169.75,0.44%,8547135,6789.77,1.26,-1.52%,-6.71%,-6.17%,3.47%,9.43%,11.13%,Industrials,-3.13,0.02,10.05,16.24,-2.44%,-5.16%,-1.10%,0.44%
"XLK","NYSE",189.60,0.82%,6934969,8354.28,0.83,1.03%,3.25%,-0.96%,36.96%,31.69%,37.33%,Technology,-0.65,-7.78,0.31,0.55,2.28%,3.54%,16.72%,0.20%
"XLP","NYSE",82.80,-0.83%,10599126,10552.35,1.00,-0.70%,-4.32%,-0.60%,1.01%,6.59%,4.10%,Consumer Staples,-2.47,1.01,-10.57,-14.90,-2.22%,-2.49%,-0.93%,-0.41%
"XLRE","NYSE",42.53,-0.95%,6159105,5118.10,1.20,-2.05%,-5.47%,-3.03%,1.46%,5.40%,1.12%,Real Estate,1.71,6.64,5.31,3.80,-3.15%,-4.64%,-1.47%,-0.14%
"XLU","NYSE",41.10,-1.42%,22263791,20258.21,1.10,-3.04%,-6.63%,-8.18%,-11.69%,-3.72%,-2.62%,Utilities,0.03,1.86,1.81,5.87,-3.39%,-6.21%,-7.75%,-0.66%
"XLV","NYSE",168.39,-0.25%,11410400,9230.51,1.24,1.83%,-4.15%,12.71%,14.86%,8.78%,22.49%,Healthcare,-0.79,1.22,0.97,3.86,-1.12%,0.98%,8.00%,0.07%
"XLY","NYSE",111.03,-0.32%,5293628,7144.22,0.74,-1.71%,-6.37%,-5.23%,1.21%,-7.02%,-7.66%,Consumer Discretionary,-1.51,1.71,-4.19,-4.39,-3.01%,-3.76%,-4.98%,-0.39%
