"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",51.01,1.15%,11959462,11552.86,1.04,-0.74%,-1.92%,-0.66%,3.53%,12.48%,17.64%,Materials,1.89,15.65,39.73,38.18,0.31%,-0.16%,4.15%,0.53%
"XLC","NYSE",111.34,2.86%,7789599,6451.65,1.21,3.42%,1.59%,-4.61%,-7.28%,-5.42%,4.92%,Communication Services,-5.48,-8.97,-13.46,-10.14,1.35%,0.55%,-2.61%,1.37%
"XLE","NYSE",58.79,-1.28%,25996637,34666.66,0.75,0.74%,10.47%,-0.10%,15.16%,31.49%,37.38%,Energy,-1.74,-4.83,9.05,4.76,2.11%,3.78%,11.58%,0.17%
"XLF","NYSE",57.38,0.77%,30843601,35843.24,0.86,0.88%,3.16%,10.52%,7.37%,4.77%,11.63%,Financials,5.50,3.32,5.13,2.14,1.84%,5.66%,8.55%,0.16%
"XLI","NYSE",183.16,1.85%,8811234,7559.04,1.17,-0.02%,-0.41%,5.90%,10.71%,18.08%,22.32%,Industrials,0.22,6.12,10.58,18.73,1.47%,2.50%,9.39%,1.50%
"XLK","NYSE",178.04,1.53%,9333641,12215.05,0.76,2.15%,-1.41%,9.99%,23.74%,23.66%,38.51%,Technology,1.42,1.26,2.00,2.29,-0.07%,-2.70%,14.43%,2.32%
"XLP","NYSE",84.86,-0.22%,12545941,12023.23,1.04,-0.59%,-0.15%,0.82%,1.62%,9.24%,5.86%,Consumer Staples,4.40,-0.59,-9.04,-13.00,0.14%,0.74%,3.00%,-1.23%
"XLRE","NYSE",45.18,0.24%,7510971,5095.62,1.47,-1.27%,1.12%,1.94%,9.05%,11.97%,9.42%,Real Estate,2.51,9.41,4.09,4.99,0.18%,1.05%,5.84%,0.22%
"XLU","NYSE",44.36,0.02%,25796344,20215.31,1.28,-2.89%,-3.06%,-4.70%,2.57%,3.91%,3.40%,Utilities,1.71,1.30,2.31,5.82,-2.14%,-1.39%,-1.11%,0.27%
"XLV","NYSE",162.24,-0.19%,10974468,10470.86,1.05,-0.71%,-0.92%,11.77%,4.85%,4.81%,23.72%,Healthcare,0.15,-0.86,0.40,3.73,0.19%,3.58%,6.36%,-0.85%
"XLY","NYSE",118.21,1.83%,10039777,8227.62,1.22,6.65%,0.93%,-0.35%,-2.44%,-1.00%,9.41%,Consumer Discretionary,0.29,-0.82,-4.99,-3.26,3.16%,1.82%,0.96%,0.48%
