"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",50.28,-0.49%,10466595,11078.28,0.94,-0.16%,-6.16%,-1.72%,3.78%,10.87%,11.63%,Materials,-1.62,1.15,39.11,33.92,-2.43%,-2.82%,-0.41%,0.06%
"XLC","NYSE",112.56,-0.85%,5629762,5674.85,0.99,-0.39%,0.21%,5.65%,1.29%,-4.38%,-4.94%,Communication Services,1.75,-2.75,-11.25,-14.52,0.07%,1.12%,-1.24%,-0.85%
"XLE","NYSE",62.37,0.96%,36526986,29676.40,1.23,-2.59%,-1.17%,16.43%,2.51%,39.50%,39.87%,Energy,-2.51,-4.25,5.96,4.94,-2.54%,1.36%,11.42%,0.31%
"XLF","NYSE",54.54,-0.47%,42605129,32207.93,1.32,-2.49%,-6.32%,1.53%,10.67%,-0.42%,1.45%,Financials,-3.65,-0.74,-2.85,-8.20,-4.21%,-4.52%,1.53%,0.07%
"XLI","NYSE",170.10,-0.10%,7997585,6833.23,1.17,0.82%,-4.97%,-5.61%,3.72%,9.66%,11.15%,Industrials,-3.66,-1.43,8.87,15.47,-1.46%,-4.62%,-1.03%,0.23%
"XLK","NYSE",195.34,-0.47%,5844145,8244.97,0.71,6.20%,8.49%,6.71%,43.47%,35.68%,39.42%,Technology,-0.29,-0.09,0.64,-1.05,4.21%,6.26%,19.70%,-0.67%
"XLP","NYSE",82.43,-0.36%,10701298,10509.02,1.02,-1.08%,-5.74%,-2.38%,1.63%,6.11%,5.21%,Consumer Staples,-3.29,1.87,-11.24,-13.97,-1.92%,-2.81%,-1.44%,-0.28%
"XLRE","NYSE",41.84,-1.55%,6772022,5133.62,1.32,-2.27%,-7.70%,-6.00%,3.85%,3.69%,-0.38%,Real Estate,-2.03,0.91,0.73,-1.04,-3.76%,-5.91%,-3.11%,-0.62%
"XLU","NYSE",39.75,-1.92%,27831787,19999.34,1.39,-3.80%,-8.03%,-12.71%,-11.84%,-6.89%,-7.17%,Utilities,1.77,2.88,3.04,7.52,-5.64%,-8.62%,-10.68%,-1.56%
"XLV","NYSE",168.80,-0.64%,7328886,9142.35,0.80,0.61%,-3.38%,10.07%,16.58%,9.04%,23.27%,Healthcare,-1.50,0.68,-0.41,3.14,-0.38%,0.90%,8.11%,-0.66%
"XLY","NYSE",110.65,-1.50%,6915824,7059.79,0.98,0.43%,-6.47%,-3.84%,0.88%,-7.34%,-6.99%,Consumer Discretionary,0.03,2.35,-3.62,-4.02,-2.54%,-3.86%,-5.21%,-0.94%
