"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",50.53,1.65%,10113153,11058.04,0.91,-0.39%,-5.62%,-0.67%,6.27%,11.42%,11.83%,Materials,-2.81,0.58,38.38,33.40,-2.26%,-2.35%,0.15%,0.92%
"XLC","NYSE",113.53,-1.06%,7354024,5674.55,1.30,-0.44%,1.91%,5.84%,0.73%,-3.56%,-4.26%,Communication Services,0.68,-3.65,-11.87,-15.26,0.90%,2.01%,-0.40%,-1.24%
"XLE","NYSE",61.78,-1.09%,39255390,29544.24,1.33,-6.29%,-2.92%,13.44%,3.61%,38.18%,40.94%,Energy,-2.52,-4.25,5.72,4.74,-3.44%,0.58%,10.53%,0.24%
"XLF","NYSE",54.80,-1.97%,69748843,31553.82,2.21,-3.61%,-4.66%,1.71%,11.22%,0.05%,1.48%,Financials,-5.44,-2.48,-4.71,-9.65,-4.07%,-4.12%,2.02%,-2.14%
"XLI","NYSE",170.27,0.17%,7204836,6824.97,1.06,0.84%,-5.54%,-4.42%,4.43%,9.77%,11.29%,Industrials,-3.58,-0.74,8.92,16.04,-1.60%,-4.63%,-0.89%,-0.24%
"XLK","NYSE",196.27,0.73%,8595551,8285.34,1.04,6.82%,7.07%,6.56%,43.32%,36.33%,38.87%,Technology,-0.45,-0.18,0.42,-1.29,5.09%,6.90%,20.45%,0.86%
"XLP","NYSE",82.73,0.99%,9866850,10523.97,0.94,-1.19%,-3.79%,-1.18%,1.91%,6.50%,6.12%,Consumer Staples,-4.45,1.84,-11.87,-15.65,-1.80%,-2.48%,-1.05%,0.33%
"XLRE","NYSE",42.50,-0.21%,4331255,5127.48,0.84,-1.32%,-5.72%,-4.79%,4.63%,5.33%,1.99%,Real Estate,-2.95,0.50,0.24,-1.52,-2.63%,-4.54%,-1.57%,-0.19%
"XLU","NYSE",40.53,-0.32%,18190649,20046.07,0.91,-1.91%,-5.24%,-10.07%,-9.49%,-5.06%,-4.86%,Utilities,0.39,2.04,1.51,5.89,-4.19%,-7.09%,-8.96%,-0.15%
"XLV","NYSE",169.89,0.52%,7076992,9214.09,0.77,1.33%,-2.71%,11.64%,17.35%,9.75%,24.34%,Healthcare,-2.48,0.60,-1.06,2.43,0.07%,1.68%,8.86%,0.65%
"XLY","NYSE",112.33,0.09%,7643410,7058.59,1.08,1.31%,-4.82%,-1.26%,2.01%,-5.93%,-6.46%,Consumer Discretionary,-0.59,2.66,-3.91,-4.11,-1.37%,-2.49%,-3.81%,-0.58%
