"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"XLB","NYSE",50.43,-2.34%,18328931,11443.57,1.60,-1.62%,-1.16%,-2.02%,0.86%,11.20%,14.97%,Materials,1.99,15.08,38.47,37.08,-0.92%,-1.25%,3.04%
"XLC","NYSE",108.24,1.56%,5024575,6474.67,0.78,1.83%,-1.37%,-7.10%,-9.64%,-8.05%,0.77%,Communication Services,-3.13,-8.62,-13.37,-9.89,-1.42%,-2.33%,-5.34%
"XLE","NYSE",59.55,1.00%,23370372,34845.86,0.67,-0.12%,12.76%,-0.17%,17.90%,33.19%,36.57%,Energy,-2.26,-5.04,8.67,4.46,3.94%,5.08%,13.19%
"XLF","NYSE",56.94,-0.11%,32508156,35896.47,0.91,1.12%,3.94%,9.23%,6.33%,3.96%,8.73%,Financials,5.54,2.81,4.51,1.75,1.17%,5.07%,7.76%
"XLI","NYSE",179.84,0.81%,7205780,7564.73,0.95,-1.54%,-1.92%,3.01%,8.43%,15.94%,18.31%,Industrials,-0.75,5.11,10.03,17.92,-0.44%,0.78%,7.50%
"XLK","NYSE",175.35,-0.22%,9081515,12264.55,0.74,-0.30%,-5.53%,9.94%,19.39%,21.80%,33.48%,Technology,1.15,1.14,1.90,2.38,-1.74%,-4.16%,12.84%
"XLP","NYSE",85.05,-0.49%,11129646,12033.55,0.92,1.09%,2.10%,0.88%,3.56%,9.49%,6.61%,Consumer Staples,6.59,1.11,-6.93,-10.46,0.41%,0.95%,3.27%
"XLRE","NYSE",45.07,-0.51%,6542966,5072.23,1.29,-1.92%,2.01%,1.51%,8.94%,11.70%,8.84%,Real Estate,3.77,6.71,4.56,5.45,0.04%,0.84%,5.63%
"XLU","NYSE",44.35,-0.69%,20761407,20206.23,1.03,-4.19%,-0.94%,-5.34%,2.35%,3.89%,3.54%,Utilities,1.42,0.52,1.61,5.07,-2.27%,-1.41%,-1.15%
"XLV","NYSE",162.55,-0.59%,9538321,10484.83,0.91,-0.01%,1.89%,11.34%,5.68%,5.01%,24.63%,Healthcare,0.67,-1.46,0.67,3.69,0.39%,3.98%,6.63%
"XLY","NYSE",116.09,3.29%,13157802,8148.10,1.61,6.11%,-1.69%,-1.91%,-4.21%,-2.78%,4.85%,Consumer Discretionary,0.73,0.51,-5.00,-3.21,1.32%,0.00%,-0.85%
