"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"XLB","NYSE",52.86,1.32%,12941135,11699.48,1.11,4.82%,5.17%,2.84%,4.67%,16.56%,20.26%,Materials,0.89,13.50,37.90,36.90,3.26%,3.17%,7.57%,0.99%
"XLC","NYSE",111.25,0.06%,3166172,6425.79,0.49,2.78%,0.67%,-5.22%,-4.27%,-5.50%,3.71%,Communication Services,-3.25,-7.35,-12.42,-10.88,1.15%,0.80%,-2.63%,0.89%
"XLE","NYSE",57.50,-1.13%,21061322,34100.59,0.62,-3.44%,4.89%,2.77%,10.13%,28.61%,36.27%,Energy,-1.41,-8.74,8.49,4.67,-1.11%,1.57%,8.52%,-0.04%
"XLF","NYSE",57.60,-0.36%,20322003,35428.75,0.57,1.16%,3.71%,11.74%,8.09%,5.17%,12.13%,Financials,4.73,3.06,5.44,2.86,1.41%,5.12%,8.75%,-0.02%
"XLI","NYSE",185.18,0.23%,6117961,7549.57,0.81,2.97%,2.25%,6.43%,9.98%,19.38%,22.87%,Industrials,0.79,6.11,12.53,18.53,2.11%,3.03%,10.16%,-0.15%
"XLK","NYSE",187.97,1.42%,6328527,12137.22,0.52,7.20%,1.41%,10.77%,38.59%,30.56%,42.79%,Technology,0.62,0.32,1.31,1.59,5.07%,2.53%,20.14%,-0.01%
"XLP","NYSE",85.12,0.01%,5655113,11920.51,0.47,0.08%,2.31%,1.36%,-2.07%,9.58%,3.50%,Consumer Staples,0.82,-0.92,-8.10,-12.02,0.19%,0.97%,3.17%,0.73%
"XLRE","NYSE",44.98,0.38%,3837829,5130.46,0.75,-0.20%,1.70%,1.31%,9.10%,11.47%,8.15%,Real Estate,2.64,9.41,5.33,6.44,-0.53%,0.53%,5.23%,0.33%
"XLU","NYSE",43.61,0.53%,18690512,20665.33,0.90,-1.67%,-3.37%,-3.35%,1.18%,2.16%,0.77%,Utilities,-0.37,1.80,2.21,6.07,-3.07%,-2.79%,-2.69%,0.95%
"XLV","NYSE",165.68,0.75%,7962089,10680.82,0.75,1.93%,2.16%,14.48%,7.00%,7.03%,28.42%,Healthcare,1.72,1.71,2.19,6.02,2.10%,4.96%,8.32%,1.07%
"XLY","NYSE",119.86,1.49%,5077348,8085.26,0.63,3.25%,2.58%,-0.02%,2.00%,0.38%,7.31%,Consumer Discretionary,2.04,3.20,-2.42,0.39,4.23%,3.32%,2.34%,1.13%
