"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",5947.78,44.88,-2.79%,6104859,3271.78,1.87,-0.55%,-13.74%,-46.30%,-59.01%,-38.66%,-19.48%,7.19%,55.98%,261.98%,51.02%,50.90%,18.18%,78.28%,13.31%
"KTOS","NASD","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense",8614.66,45.94,-0.20%,2732212,4888.41,0.56,-2.17%,-18.20%,-35.29%,-63.12%,-39.48%,-22.29%,6.11%,38.90%,130.21%,22.60%,36.23%,8.75%,90.37%,5.46%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",3001.40,13.83,2.29%,13110025,13805.80,0.95,-8.71%,-39.13%,-49.85%,-29.08%,-14.79%,11.44%,7.48%,56.85%,-135.53%,198.65%,,24.86%,72.10%,26.54%
"ASST","NASD","Strive Inc","Financial","Asset Management",1027.90,12.34,4.05%,3116811,4313.49,0.72,4.31%,-20.08%,-20.95%,-36.42%,-16.40%,-86.35%,6.10%,59.66%,-79.68%,1516.41%,,64.40%,44.03%,27.09%
"IREN","NASD","IREN Ltd","Financial","Capital Markets",14345.67,40.20,19.57%,92769236,46648.71,1.99,3.13%,-30.82%,-16.46%,-22.53%,6.43%,124.08%,8.80%,-233.98%,-877.11%,13.25%,87.59%,4.69%,46.69%,24.68%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",8266.61,103.02,0.60%,5141432,11930.40,0.43,-7.92%,-38.44%,-35.38%,178.43%,195.52%,259.83%,11.89%,497.54%,-2.56%,51.36%,,12.45%,72.61%,14.18%
"ADTN","NASD","ADTRAN Holdings Inc","Technology","Communication Equipment",939.58,11.60,-0.43%,926949,2478.33,0.37,-6.68%,-23.13%,-31.60%,27.61%,33.49%,23.27%,6.25%,128.80%,91.04%,15.48%,63.76%,11.70%,105.50%,16.92%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",830.66,17.38,2.66%,1784511,5929.58,0.30,0.93%,-28.92%,23.35%,-0.46%,36.42%,59.89%,11.26%,60.14%,203.99%,296.41%,34.81%,39.34%,57.48%,17.47%
"AMPX","NYSE","Amprius Technologies Inc","Industrials","Electrical Equipment & Parts",1436.10,10.14,-0.20%,4794659,8602.59,0.56,-8.48%,-32.40%,-45.69%,-0.10%,28.52%,17.09%,7.73%,80.86%,53.65%,152.89%,,13.67%,63.22%,19.99%
"CDE","NYSE","Coeur Mining Inc","Basic Materials","Gold",14592.17,14.16,-1.32%,27341183,29291.47,0.93,-9.17%,-19.22%,-30.52%,-33.27%,-20.58%,55.95%,5.07%,97.14%,451.88%,137.76%,32.74%,30.59%,77.22%,5.04%
"TEM","NASD","Tempus AI Inc","Healthcare","Health Information Services",8692.73,48.41,-7.74%,10265933,6269.83,1.64,-13.45%,-0.78%,-13.35%,-29.76%,-18.02%,-20.61%,6.77%,42.92%,-77.97%,36.12%,,3.25%,50.83%,31.67%
"APLD","NASD","Applied Digital Corp","Technology","Information Technology Services",7958.69,27.85,7.99%,23360676,21887.46,1.07,-3.43%,-38.89%,-11.67%,-20.93%,13.58%,133.45%,8.69%,-1075.93%,-120.39%,139.29%,,5.02%,70.36%,27.38%
