"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",4104.60,17.93,-3.19%,7599864,13133.17,0.58,2.11%,27.25%,-46.75%,-1.43%,10.47%,107.28%,11.07%,8.81%,-33.24%,309.77%,,26.12%,78.84%,23.58%,16.10%,1.30%,-7.81%,-1.10%
"RDW","NYSE","Redwire Corp","Industrials","Aerospace & Defense",2942.41,11.77,-5.08%,15055589,32568.98,0.46,-10.83%,30.92%,-20.31%,36.86%,54.87%,35.29%,7.10%,66.94%,86.71%,89.56%,59.63%,10.58%,59.51%,16.17%,4.72%,3.40%,14.02%,-4.23%
"CRCL","NYSE","Circle Internet Group Inc","Financial","Capital Markets",21239.25,83.66,6.45%,22035730,13164.95,1.67,10.98%,26.45%,-25.05%,35.11%,5.50%,-39.29%,6.87%,338.98%,108.51%,6.57%,,11.31%,44.81%,12.77%,22.81%,20.73%,-2.02%,0.81%
"GLXY","NASD","Galaxy Digital Inc","Financial","Capital Markets",9174.17,23.47,7.17%,6614996,7003.60,0.94,12.03%,-5.32%,-15.48%,8.51%,4.96%,-4.24%,7.47%,-22.90%,-191.71%,-5.43%,,3.99%,78.14%,15.23%,11.52%,-5.96%,-7.52%,0.09%
"IREN","NASD","IREN Ltd","Financial","Capital Markets",15202.12,42.60,-0.56%,44769208,45745.99,0.98,-4.83%,3.20%,-19.18%,-1.59%,12.79%,115.59%,8.67%,-283.10%,-802.55%,2.30%,56.25%,22.76%,72.45%,31.90%,7.35%,-2.63%,-8.86%,0.33%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",10917.89,129.10,5.66%,9455474,12195.52,0.78,-0.75%,16.81%,-21.88%,174.80%,270.34%,488.69%,13.56%,384.62%,-74.24%,86.42%,,6.34%,61.39%,13.06%,7.56%,-0.62%,33.15%,5.89%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",23610.87,36.50,-0.22%,50234770,58806.50,0.85,-6.79%,19.44%,9.09%,13.50%,24.70%,-14.34%,6.26%,19.52%,418.57%,93.16%,18.32%,13.40%,72.47%,16.23%,12.34%,20.37%,15.80%,-1.08%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",1297.87,25.98,-8.20%,5862949,6156.75,0.95,-4.63%,32.08%,80.79%,79.67%,103.92%,170.06%,13.22%,63.51%,49.95%,687.32%,31.29%,67.14%,60.72%,20.82%,3.70%,14.98%,56.82%,-8.26%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",423.40,13.17,-5.18%,1485438,3248.37,0.46,-14.37%,25.31%,-28.85%,28.36%,-4.15%,316.77%,8.91%,75.64%,60.11%,52.25%,55.56%,15.94%,37.82%,33.01%,3.95%,-14.43%,-1.85%,-3.16%
"AFRM","NASD","Affirm Holdings Inc","Financial","Credit Services",25134.14,75.05,-2.95%,2644003,4036.49,0.66,-4.18%,1.54%,11.81%,44.83%,0.83%,2.84%,5.75%,734.62%,3549.38%,33.75%,158.06%,5.45%,78.77%,5.47%,0.24%,-1.53%,13.11%,-2.71%
