"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6381.14,48.15,1.97%,1949686,3479.75,0.56,1.50%,-12.34%,-29.17%,-56.59%,-34.19%,-6.87%,6.97%,55.98%,261.98%,51.02%,50.90%,18.83%,79.90%,12.10%,-0.27%,-5.80%,-35.49%
"KTOS","NASD","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense",8738.43,46.60,0.93%,2325912,4796.82,0.48,-1.58%,-12.14%,-26.09%,-56.92%,-38.61%,-20.61%,7.30%,38.90%,130.21%,22.60%,36.23%,8.23%,90.77%,5.62%,-3.41%,-11.73%,-37.99%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",2678.04,12.34,0.73%,7957671,13306.34,0.60,-4.49%,-38.91%,-51.32%,-41.21%,-23.97%,10.57%,7.33%,45.99%,-135.53%,198.65%,,29.90%,81.55%,29.46%,-14.76%,-46.51%,-35.54%
"FIGS","NYSE","Figs Inc","Consumer Cyclical","Apparel Manufacturing",1787.41,10.70,2.00%,5089092,3339.26,1.52,12.51%,6.47%,-28.48%,-4.46%,-5.81%,64.62%,5.51%,38.09%,5450.00%,28.02%,19.59%,4.54%,91.08%,13.13%,5.98%,-3.17%,-9.14%
"ASST","NASD","Strive Inc","Financial","Asset Management",930.37,11.11,-6.95%,3341774,4186.44,0.80,-3.31%,-7.57%,-27.67%,-29.25%,-24.73%,-83.32%,7.99%,59.66%,-79.68%,1516.41%,,66.24%,43.54%,30.24%,-8.71%,-19.90%,-28.25%
"IREN","NASD","IREN Ltd","Financial","Capital Markets",13132.36,36.80,-3.82%,65176681,49180.29,1.33,-0.73%,-15.05%,-19.14%,-38.50%,-2.57%,128.43%,12.77%,-277.50%,-802.55%,2.30%,77.06%,4.46%,47.13%,30.42%,-4.28%,-25.06%,-23.48%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",7568.50,94.32,4.67%,9669104,11827.00,0.82,-5.82%,-32.14%,-42.61%,138.36%,170.57%,312.42%,12.41%,497.41%,-2.56%,51.36%,,12.49%,72.05%,13.10%,-11.66%,-34.15%,4.76%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",1011.32,21.16,3.17%,2963202,5852.14,0.51,9.30%,-8.87%,45.03%,38.48%,66.09%,129.00%,13.61%,60.14%,203.99%,296.41%,34.81%,54.93%,57.79%,20.81%,9.42%,-3.01%,35.54%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",301.89,10.13,4.38%,1585832,3516.56,0.45,4.76%,-37.00%,-27.67%,-28.26%,-26.27%,53.31%,10.45%,78.68%,85.25%,48.24%,58.48%,7.35%,25.70%,40.21%,-10.66%,-41.77%,-21.17%
"NEO","NASD","Neogenomics Inc","Healthcare","Diagnostics & Research",1964.39,15.29,-3.72%,2849949,2698.42,1.06,10.08%,2.14%,65.12%,23.31%,30.02%,215.91%,6.84%,52.27%,104.85%,11.21%,56.84%,5.33%,108.09%,10.92%,5.87%,21.28%,41.05%
