"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6565.35,49.54,-2.04%,2181345,3453.09,0.63,6.15%,6.72%,-31.15%,-54.43%,-32.29%,-1.49%,5.92%,55.98%,261.98%,51.02%,50.90%,18.83%,79.11%,12.10%,0.50%,-5.03%,-34.02%
"KTOS","NASD","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense",9120.97,48.64,-1.64%,2435707,4793.46,0.51,0.89%,3.03%,-22.99%,-56.31%,-35.92%,-18.06%,5.92%,38.90%,130.21%,22.60%,36.23%,8.23%,90.35%,5.62%,-1.38%,-8.67%,-35.92%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",2684.55,12.37,-7.06%,11182785,13295.34,0.84,-15.51%,-37.49%,-52.79%,-32.84%,-23.78%,-3.59%,6.46%,45.79%,-135.53%,198.65%,,29.90%,81.54%,29.46%,-21.39%,-49.19%,-35.41%
"FIGS","NYSE","Figs Inc","Consumer Cyclical","Apparel Manufacturing",1725.60,10.33,4.03%,1883376,3309.60,0.57,0.58%,-10.95%,-33.82%,-8.26%,-9.07%,54.64%,5.09%,38.09%,5450.00%,28.02%,19.59%,4.54%,91.06%,13.13%,3.07%,-7.02%,-11.88%
"ASST","NASD","Strive Inc","Financial","Asset Management",1003.23,11.98,-1.72%,2234327,4204.43,0.53,-7.85%,5.64%,-23.65%,-23.75%,-18.83%,-83.98%,6.53%,59.66%,-79.68%,1516.41%,,66.24%,43.60%,30.24%,-2.33%,-15.42%,-23.97%
"IREN","NASD","IREN Ltd","Financial","Capital Markets",12108.18,33.93,-6.50%,47227275,47614.95,0.99,-17.83%,-28.13%,-29.84%,-35.20%,-10.17%,104.64%,8.22%,-277.30%,-802.55%,2.30%,71.80%,4.46%,47.09%,30.42%,-14.36%,-32.20%,-30.05%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",7072.60,88.14,-9.90%,10739309,11691.63,0.92,-26.09%,-35.04%,-39.54%,152.62%,152.84%,249.48%,10.26%,497.41%,-2.56%,51.36%,,12.49%,72.32%,13.10%,-22.77%,-40.73%,-1.15%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",952.05,19.92,-3.30%,3786260,5818.38,0.65,2.00%,4.29%,34.41%,30.79%,56.36%,96.26%,10.67%,60.14%,203.99%,296.41%,34.81%,54.93%,57.52%,20.81%,0.75%,-7.45%,28.25%
"APLD","NASD","Applied Digital Corp","Technology","Information Technology Services",7607.18,26.62,0.93%,40638031,20946.48,1.94,-11.41%,-32.02%,-20.94%,-26.42%,8.56%,151.61%,8.20%,12.50%,-62.41%,580.68%,,8.77%,73.42%,26.94%,-11.50%,-30.31%,-18.70%
"PENG","NASD","Penguin Solutions Inc","Technology","Information Technology Services",2466.31,48.13,-8.31%,4073818,3954.02,1.03,-17.16%,-22.72%,65.68%,143.20%,146.06%,91.98%,8.79%,37.62%,,47.64%,28.14%,8.63%,122.12%,19.80%,-26.66%,-22.72%,49.76%
"MP","NYSE","MP Materials Corp","Basic Materials","Other Industrial Metals & Mining",7348.76,41.28,-4.29%,7066686,5887.83,1.20,-10.84%,-23.41%,-36.41%,-34.93%,-18.29%,-35.61%,5.42%,148.92%,67.61%,118.59%,,4.29%,72.09%,19.61%,-15.11%,-25.85%,-31.01%
"COMP","NYSE","Compass Inc","Real Estate","Real Estate Services",8996.43,11.88,0.68%,8324818,14172.29,0.59,4.03%,4.21%,46.85%,-12.52%,12.39%,61.63%,5.06%,266.64%,128.96%,99.38%,,27.43%,84.55%,7.02%,0.13%,18.12%,23.70%
"AMKR","NASD","AMKOR Technology Inc","Technology","Semiconductor Equipment & Materials",11325.29,45.69,-24.74%,19986057,5626.92,3.55,-31.53%,-41.96%,-39.58%,-9.33%,15.73%,115.21%,8.12%,63.48%,216.53%,25.58%,31.00%,6.14%,50.13%,14.32%,-31.98%,-36.88%,-14.57%
