"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"KRMN","NYSE","Karman Holdings Inc","Industrials","Aerospace & Defense",6306.92,47.59,1.97%,3325679,3401.63,0.98,-2.44%,-0.23%,-42.01%,-55.22%,-34.96%,-8.41%,6.81%,55.98%,261.98%,51.02%,50.90%,18.18%,78.28%,13.31%
"KTOS","NASD","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense",8980.33,47.89,-0.66%,2047292,4852.25,0.42,-3.60%,-6.26%,-30.14%,-62.78%,-36.91%,-13.59%,6.20%,38.90%,130.21%,22.60%,36.23%,8.75%,90.39%,5.46%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",3057.83,14.09,-3.76%,6495262,13655.96,0.48,-5.12%,-35.93%,-49.35%,-33.51%,-13.19%,24.91%,7.62%,56.85%,-135.53%,198.65%,,24.86%,72.06%,26.54%
"ASST","NASD","Strive Inc","Financial","Asset Management",1055.39,12.67,-2.54%,2079141,4293.73,0.48,0.48%,-14.45%,-17.24%,-28.44%,-14.16%,-85.30%,6.61%,59.66%,-79.68%,1516.41%,,64.40%,43.78%,27.09%
"IREN","NASD","IREN Ltd","Financial","Capital Markets",14731.08,41.28,-0.02%,41310937,47828.18,0.86,7.84%,-27.41%,-8.61%,-23.92%,9.29%,122.05%,8.51%,-277.30%,-877.11%,13.25%,71.80%,4.69%,46.64%,24.68%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",8868.43,110.52,-7.33%,7958572,11904.91,0.67,1.31%,-35.46%,-26.60%,181.51%,217.04%,319.43%,11.96%,497.54%,-2.56%,51.36%,,12.45%,72.59%,14.18%
"ADTN","NASD","ADTRAN Holdings Inc","Technology","Communication Equipment",846.43,10.45,-13.92%,5338074,2436.53,2.19,-12.04%,-32.93%,-40.29%,13.10%,20.25%,10.93%,5.33%,128.74%,91.04%,15.48%,63.76%,11.70%,108.64%,16.92%
"UMAC","AMEX","Unusual Machines Inc","Technology","Computer Hardware",940.11,19.67,0.72%,3120255,5848.95,0.53,6.21%,-12.85%,27.98%,5.36%,54.40%,91.90%,10.63%,60.14%,203.99%,296.41%,34.81%,39.34%,57.48%,17.47%
"VELO","NASD","Velo3D Inc","Technology","Computer Hardware",313.21,10.51,-7.24%,1468478,3687.08,0.40,-6.24%,-56.77%,-31.31%,-45.23%,-23.51%,46.28%,14.39%,78.68%,85.25%,48.24%,58.48%,6.69%,25.26%,36.15%
"AMPX","NYSE","Amprius Technologies Inc","Industrials","Electrical Equipment & Parts",1440.34,10.17,-6.53%,4781639,8260.03,0.58,-10.32%,-35.02%,-52.54%,-8.95%,28.90%,24.18%,7.80%,80.86%,53.65%,152.89%,,13.67%,63.24%,19.99%
"CDE","NYSE","Coeur Mining Inc","Basic Materials","Gold",16323.45,15.84,3.53%,51117390,29744.53,1.72,-0.44%,-9.33%,-14.10%,-30.74%,-11.16%,65.52%,5.68%,95.03%,451.88%,137.76%,32.70%,30.59%,77.25%,5.04%
"TEM","NASD","Tempus AI Inc","Healthcare","Health Information Services",8432.36,46.96,-4.12%,4080892,6331.95,0.64,-17.97%,-1.86%,-14.85%,-29.68%,-20.47%,-23.12%,6.11%,44.55%,-77.97%,36.12%,,3.25%,50.85%,31.67%
"ALHC","NASD","Alignment Healthcare Inc","Healthcare","Healthcare Plans",4293.86,20.77,-3.40%,3369247,5990.45,0.56,-0.76%,-2.44%,-3.66%,-8.66%,5.16%,68.31%,5.61%,,213.80%,33.26%,,6.70%,104.00%,12.44%
"APLD","NASD","Applied Digital Corp","Technology","Information Technology Services",8595.94,30.08,0.10%,14374975,21856.39,0.66,3.62%,-33.45%,-3.96%,-15.17%,22.68%,174.70%,7.55%,-1127.78%,-120.39%,139.29%,,5.02%,73.40%,27.38%
"PENG","NASD","Penguin Solutions Inc","Technology","Information Technology Services",3033.57,59.20,1.89%,2237433,3878.01,0.58,-18.74%,-12.86%,112.03%,200.05%,202.66%,142.13%,12.16%,37.62%,,47.64%,28.14%,12.37%,113.26%,17.87%
"WRBY","NYSE","Warby Parker Inc","Healthcare","Medical Instruments & Supplies",3012.65,24.55,-0.20%,3248045,3242.10,1.00,-12.04%,-9.04%,-2.35%,-8.36%,12.67%,-0.12%,7.52%,30.95%,-9.32%,8.34%,40.71%,10.68%,89.18%,17.57%
"MP","NYSE","MP Materials Corp","Basic Materials","Other Industrial Metals & Mining",8132.06,45.68,-1.34%,3996434,5943.12,0.67,-7.64%,-24.23%,-30.54%,-33.20%,-9.58%,-23.97%,6.43%,154.65%,67.61%,118.59%,,4.20%,71.93%,18.51%
"AMKR","NASD","AMKOR Technology Inc","Technology","Semiconductor Equipment & Materials",16600.02,66.97,0.36%,3084113,5499.22,0.56,-0.99%,-28.41%,-4.61%,36.53%,69.63%,211.34%,7.74%,38.72%,291.56%,27.48%,24.39%,5.61%,50.07%,14.61%
"ALAB","NASD","Astera Labs Inc","Technology","Semiconductors",56718.03,330.89,3.47%,3081851,5942.70,0.52,-5.63%,-24.74%,72.37%,80.08%,98.90%,183.03%,7.57%,64.19%,148.21%,93.40%,48.52%,3.01%,71.37%,9.04%
"ASX","NYSE","ASE Technology Holding CoLtd ADR","Technology","Semiconductors",88832.63,40.49,1.20%,4820178,10673.40,0.45,-0.56%,-7.18%,36.79%,114.23%,151.49%,293.49%,5.46%,89.01%,94.89%,21.87%,54.51%,7.45%,7.31%,0.83%
"CBRS","NASD","Cerebras Systems Inc","Technology","Semiconductors",58165.06,209.80,0.59%,10739383,7736.95,1.39,14.02%,-6.52%,,,-40.06%,,11.10%,,44.27%,94.35%,,46.18%,4.72%,16.90%
"FSLY","NASD","Fastly Inc","Technology","Software - Application",3201.98,20.46,-1.30%,3204715,7772.24,0.41,2.30%,19.16%,-22.97%,133.03%,100.98%,184.96%,8.69%,151.08%,51.10%,19.76%,55.47%,18.63%,89.15%,17.45%
"PCOR","NYSE","Procore Technologies Inc","Technology","Software - Application",6284.57,41.65,-6.02%,4245776,2907.67,1.46,-4.43%,6.82%,-25.86%,-35.37%,-42.74%,-43.76%,5.44%,23.69%,72.58%,15.66%,23.05%,6.82%,91.76%,10.20%
"TEAM","NASD","Atlassian Corp","Technology","Software - Application",21671.78,85.40,-5.74%,3010782,5987.16,0.50,-6.94%,6.80%,19.91%,-27.66%,-47.33%,-56.96%,6.83%,48.94%,-39.84%,31.71%,25.38%,13.43%,66.90%,10.73%
"DOCN","NYSE","DigitalOcean Holdings Inc","Technology","Software - Infrastructure",14890.68,142.68,4.57%,5602150,3608.30,1.55,19.25%,-14.17%,50.65%,185.19%,196.51%,395.76%,9.98%,-41.75%,-60.23%,22.40%,12.06%,39.04%,93.47%,13.62%
"IOT","NYSE","Samsara Inc","Technology","Software - Infrastructure",19481.83,33.33,-7.60%,5931080,6011.77,0.99,-8.51%,7.03%,6.05%,4.19%,-5.98%,-11.76%,6.32%,27.18%,294.10%,30.52%,26.80%,10.27%,63.01%,11.85%
