"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"KNSA","NASD","Kiniksa Pharmaceuticals International Plc","Healthcare","Drug Manufacturers - Specialty & Generic",6225.83,80.92,1.86%,1380106,768.42,1.80,29.60%,29.66%,50.27%,81.27%,96.17%,166.45%,6.54%,85.80%,31.12%,55.36%,56.84%,3.45%,59.42%,10.41%,24.58%,39.78%,70.05%
"GLOB","NYSE","Globant SA","Technology","Information Technology Services",1647.30,38.15,8.66%,2230433,2011.84,1.11,24.39%,26.83%,-7.00%,-44.83%,-41.64%,-58.00%,5.95%,1.09%,25.81%,-0.65%,4.84%,-8.79%,103.96%,22.38%,19.22%,9.95%,-24.45%
"BLKB","NASD","Blackbaud Inc","Technology","Software - Application",1937.42,42.18,17.39%,1782462,809.63,2.20,36.42%,43.62%,12.45%,-22.93%,-33.39%,-34.60%,5.61%,17.19%,582.72%,4.00%,,0.83%,80.76%,13.73%,32.49%,40.26%,-8.68%
"GWRE","NYSE","Guidewire Software Inc","Technology","Software - Application",13925.45,167.26,4.93%,1656037,1648.21,1.00,24.85%,38.38%,20.62%,4.35%,-16.79%,-25.52%,6.11%,31.06%,-63.85%,26.93%,24.46%,-0.26%,105.88%,6.17%,17.98%,24.19%,1.61%
"HUBS","NYSE","HubSpot Inc","Technology","Software - Application",12861.80,251.12,5.49%,1539192,1913.19,0.80,22.56%,36.13%,11.13%,-21.44%,-37.42%,-54.20%,7.66%,35.10%,248.17%,23.36%,24.50%,3.10%,97.94%,10.18%,18.36%,23.29%,-12.91%
"INTA","NASD","Intapp Inc","Technology","Software - Application",2440.54,31.67,3.50%,764658,979.97,0.78,21.48%,28.32%,39.58%,-13.94%,-30.88%,-22.59%,6.45%,30.94%,-432.52%,13.15%,27.12%,-2.90%,89.59%,7.12%,12.20%,27.06%,2.59%
"MNDY","NASD","Monday.Com Ltd","Technology","Software - Application",3815.24,90.25,3.63%,1792962,1743.07,1.03,22.11%,22.62%,34.20%,-27.96%,-38.84%,-67.82%,6.86%,4.02%,10.99%,24.45%,11.87%,-10.13%,81.69%,20.24%,12.18%,13.93%,-16.02%
"NOW","NYSE","ServiceNow Inc","Technology","Software - Application",119695.84,115.76,4.65%,40111246,27645.20,1.45,21.27%,15.79%,27.93%,-12.17%,-24.43%,-41.72%,6.76%,16.01%,-21.91%,24.01%,20.20%,-3.14%,86.47%,5.44%,9.83%,9.93%,-7.85%
"PCOR","NYSE","Procore Technologies Inc","Technology","Software - Application",7568.66,50.16,2.70%,4170996,2962.17,1.41,20.43%,22.34%,-9.67%,-20.57%,-31.04%,-34.26%,5.54%,23.18%,72.58%,15.66%,22.90%,6.93%,91.68%,11.48%,12.78%,12.00%,-14.90%
"PD","NYSE","Pagerduty Inc","Technology","Software - Application",829.83,10.76,4.36%,1563287,2010.73,0.78,22.00%,14.71%,60.12%,-1.91%,-17.93%,-34.43%,5.74%,13.37%,281.29%,0.97%,5.45%,-0.03%,98.35%,9.94%,6.70%,17.19%,6.60%
"RNG","NYSE","RingCentral Inc","Technology","Software - Application",4808.29,57.58,1.14%,2476888,1984.62,1.25,52.89%,47.30%,45.51%,112.87%,99.38%,116.79%,10.83%,15.30%,215.14%,5.90%,12.25%,9.92%,102.96%,12.17%,33.40%,39.15%,65.44%
"TEAM","NASD","Atlassian Corp","Technology","Software - Application",26462.91,104.28,4.30%,5463595,5863.28,0.93,22.11%,31.57%,49.59%,-22.10%,-35.69%,-47.88%,7.83%,48.93%,-39.84%,31.71%,24.95%,11.13%,64.44%,11.20%,15.34%,15.78%,-4.70%
"TTAN","NASD","ServiceTitan Inc","Technology","Software - Application",8034.39,84.22,7.44%,3169814,1577.15,2.01,20.49%,19.97%,38.79%,-8.18%,-20.92%,-28.79%,6.76%,28.32%,53.20%,24.63%,26.91%,1.60%,59.29%,16.89%,9.76%,18.10%,6.77%
"VERX","NASD","Vertex Inc","Technology","Software - Application",2155.41,13.32,0.60%,2769339,1743.11,1.59,20.54%,16.84%,5.46%,-31.09%,-33.30%,-60.40%,7.14%,25.39%,-122.81%,11.06%,24.55%,-6.05%,49.86%,9.46%,5.77%,6.59%,-16.37%
"WDAY","NASD","Workday Inc","Technology","Software - Application",41498.47,168.01,5.21%,7226796,5088.24,1.42,26.88%,35.95%,38.64%,-10.91%,-21.78%,-29.89%,6.54%,16.64%,246.94%,14.29%,16.82%,1.74%,82.17%,13.76%,18.38%,24.43%,1.00%
"APPN","NASD","Appian Corp","Technology","Software - Infrastructure",2109.88,28.74,5.08%,1190109,961.34,1.24,26.94%,27.85%,31.90%,-3.85%,-18.86%,-0.83%,8.16%,61.55%,-30.19%,21.48%,36.75%,-0.71%,50.87%,16.30%,14.42%,21.48%,2.53%
"WIX","NASD","Wix.com Ltd","Technology","Software - Infrastructure",2562.03,61.22,4.56%,1873670,1789.63,1.05,25.81%,32.74%,-21.05%,-30.40%,-41.07%,-58.76%,6.22%,-33.21%,-282.33%,14.26%,8.34%,5.61%,,21.80%,17.96%,21.56%,-26.65%
"CLF","NYSE","Cleveland-Cliffs Inc","Basic Materials","Steel",6492.75,11.38,-5.01%,31930372,20740.02,1.54,20.42%,21.32%,11.35%,-20.25%,-14.31%,4.79%,6.84%,92.18%,73.98%,5.92%,,2.31%,84.14%,14.81%,13.10%,0.40%,-0.95%
