"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"TXG","NASD","10x Genomics Inc","Healthcare","Health Information Services",5824.75,45.88,0.20%,678,3106.34,0.00,22.44%,59.08%,85.00%,131.72%,181.30%,275.45%,7.47%,-131.17%,62.53%,-2.61%,-10.81%,1.34%,98.61%,14.45%
"AEHR","NASD","Aehr Test Systems","Technology","Semiconductor Equipment & Materials",2962.45,94.19,30.80%,124368,2518.48,0.99,38.73%,-13.17%,26.63%,257.44%,366.50%,570.36%,6.94%,406.67%,143.11%,33.69%,,3.34%,72.16%,14.03%
"LASR","NASD","nLIGHT Inc","Technology","Semiconductors",4129.68,73.21,2.42%,146,1270.59,0.00,24.76%,5.10%,9.48%,76.11%,95.17%,289.62%,10.88%,118.52%,106.49%,55.19%,65.10%,8.99%,89.15%,5.51%
"NTSK","NASD","Netskope Inc","Technology","Software - Infrastructure",5836.70,14.45,1.26%,12412,5612.23,0.04,21.22%,59.85%,54.71%,-12.74%,-17.62%,,8.94%,62.65%,-40.26%,27.80%,,-9.08%,35.80%,11.41%
