"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"AADX","NYSE","Applied Aerospace & Defense Inc","Industrials","Aerospace & Defense",3630.01,21.26,0.19%,631661,1762.83,0.36,22.47%,1.92%,,,2.46%,,6.74%,,-107.01%,21.01%,,2.56%,1.65%,3.58%,13.64%,8.46%,8.46%,1.29%
"AVEX","NYSE","AEVEX Corp","Industrials","Aerospace & Defense",2573.81,21.49,9.09%,1442708,2306.05,0.63,35.07%,23.86%,-17.73%,,-6.61%,,8.45%,286.84%,,306.87%,,15.05%,5.63%,14.97%,32.23%,7.26%,-6.02%,10.83%
"BETA","NYSE","BETA Technologies Inc","Industrials","Aerospace & Defense",5242.77,22.72,2.34%,954549,1628.45,0.59,29.31%,33.57%,25.18%,26.08%,-19.46%,,7.58%,83.39%,-36.77%,128.38%,47.80%,5.86%,26.84%,5.83%,20.39%,28.13%,8.44%,2.34%
"DPC","NYSE","DPC Holdings PLC","Industrials","Aerospace & Defense",8250.43,56.84,10.65%,1311504,2081.08,0.63,21.22%,19.26%,,,29.18%,,7.22%,,,,,41.39%,31.40%,2.84%,18.79%,18.49%,18.49%,8.20%
"KTOS","NASD","Kratos Defense & Security Solutions Inc","Industrials","Aerospace & Defense",10777.08,57.41,3.74%,5252253,4899.70,1.07,24.34%,13.95%,-6.68%,-37.14%,-24.37%,-2.58%,7.80%,49.51%,26.09%,30.53%,38.29%,-0.70%,91.24%,5.62%,17.69%,9.14%,-22.86%,5.51%
"LUNR","NASD","Intuitive Machines Inc","Industrials","Aerospace & Defense",3240.12,14.93,6.72%,10083809,13293.03,0.76,21.88%,-12.28%,-43.30%,-10.11%,-8.01%,42.19%,7.47%,45.99%,-135.53%,198.65%,,28.75%,81.89%,27.02%,8.65%,-30.13%,-22.12%,8.66%
"RDW","NYSE","Redwire Corp","Industrials","Aerospace & Defense",2825.31,11.83,10.35%,33152312,37114.39,0.89,39.67%,11.81%,22.72%,17.95%,55.66%,-13.65%,9.02%,62.61%,86.71%,89.56%,57.50%,8.63%,47.37%,19.28%,27.31%,-8.53%,17.56%,-3.35%
"VOYG","NYSE","Voyager Technologies Inc","Industrials","Aerospace & Defense",2338.02,38.31,10.31%,2241765,2398.17,0.93,59.82%,12.38%,43.86%,38.50%,46.56%,8.19%,10.69%,-51.87%,-27.98%,15.48%,33.78%,30.59%,73.14%,20.10%,37.90%,11.13%,28.67%,11.03%
"AAOI","NASD","Applied Optoelectronics Inc","Technology","Communication Equipment",9967.76,124.22,-3.38%,14750385,12019.08,1.23,37.85%,8.55%,-30.42%,211.33%,256.34%,434.74%,13.75%,497.41%,-2.56%,51.36%,,4.96%,72.17%,13.10%,15.26%,-10.70%,35.20%,2.34%
"LITE","NASD","Lumentum Holdings Inc","Technology","Communication Equipment",65201.07,838.06,1.43%,4089333,5491.38,0.74,20.89%,18.52%,-11.25%,80.02%,127.37%,661.80%,10.05%,299.28%,332.76%,90.12%,142.92%,-6.19%,98.85%,11.59%,9.75%,2.43%,36.40%,3.65%
