"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float"
"HUT","NASD","Hut 8 Corp","Financial","Capital Markets",12384.23,109.99,-6.53%,3661557,4585.95,0.80,20.27%,-5.26%,39.63%,99.55%,139.42%,420.29%,9.59%,-46.80%,-52.18%,225.54%,,1.81%,77.46%,12.44%
"RIOT","NASD","Riot Platforms Inc","Financial","Capital Markets",8519.75,22.53,-5.57%,14505866,17477.72,0.83,23.38%,-17.83%,23.72%,31.91%,77.82%,53.37%,9.51%,-3.93%,-60.07%,3.61%,37.28%,6.33%,78.92%,15.55%
"SMCI","NASD","Super Micro Computer Inc","Technology","Computer Hardware",19470.88,30.10,-3.53%,49121453,53947.91,0.91,24.48%,-7.24%,12.52%,-7.24%,2.84%,-42.69%,7.42%,36.07%,314.07%,122.68%,21.39%,8.15%,62.34%,18.32%
"CIFR","NASD","Cipher Digital Inc","Technology","Information Technology Services",9469.49,23.15,-10.34%,21099418,25672.19,0.82,31.83%,-11.71%,23.86%,33.12%,56.84%,248.12%,12.34%,57.79%,-161.05%,-28.84%,,0.67%,61.64%,16.10%
