"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"IGV","CBOE",109.50,-0.74%,15514761,15840.46,0.98,5.93%,17.35%,7.71%,34.24%,3.60%,0.38%,Technology,-3.83,-12.88,45.11,25.39,6.12%,14.05%,16.88%,-0.28%
"BOIL","NYSE",19.96,-2.40%,4090649,4184.09,0.98,4.89%,-1.53%,-33.53%,-39.29%,-56.42%,-65.69%,,1.44,29.54,-33.48,-33.34,1.48%,-10.88%,-44.82%,-1.77%
"CIBR","NASD",98.56,-2.21%,1573045,1615.51,0.97,3.91%,9.49%,10.69%,56.67%,37.94%,33.33%,Technology,2.90,4.59,6.47,9.94,1.39%,6.37%,28.22%,-2.20%
"MAGS","CBOE",69.07,0.69%,4299995,4381.37,0.98,2.66%,8.06%,-2.32%,12.58%,4.71%,13.92%,Technology,9.79,-8.01,0.54,37.84,1.47%,4.18%,5.91%,0.60%
"COAL","NYSE",27.23,-1.39%,41777,42.13,0.99,2.16%,17.83%,2.97%,10.27%,19.36%,34.30%,Energy,0.00,-12.49,106.00,139.78,7.80%,13.44%,9.36%,-1.36%
"CNBS","NYSE",29.04,3.85%,2328,5.84,0.40,1.68%,15.89%,0.46%,22.29%,2.36%,-14.95%,Cannabis Based Businesses,0.00,-4.80,-21.34,-24.50,7.61%,8.78%,11.07%,3.52%
"EWZ","NYSE",35.55,-0.59%,25820789,20853.30,1.24,1.40%,-2.68%,-1.00%,-8.21%,11.90%,20.96%,,-9.82,-19.60,13.00,25.81,1.61%,1.27%,-0.76%,-0.39%
"KIE","NYSE",63.91,0.41%,767732,1216.86,0.63,0.79%,-0.79%,15.86%,9.94%,6.25%,8.62%,Financials,-5.87,17.01,-0.55,-31.71,-0.10%,1.00%,8.04%,0.16%
"OIH","NYSE",418.31,0.81%,270508,312.41,0.87,0.72%,11.30%,0.01%,5.38%,46.89%,63.33%,Energy,-6.80,-17.05,-3.07,13.58,2.51%,7.34%,11.70%,0.93%
"IAI","NYSE",195.14,-0.11%,48285,89.87,0.54,0.31%,4.41%,6.76%,14.32%,8.79%,11.76%,Financials,-0.00,-8.50,-17.93,-12.15,2.11%,3.71%,8.80%,-0.30%
"BETZ","NYSE",19.64,0.50%,5586,39.19,0.14,-0.04%,2.15%,5.32%,7.15%,-6.37%,-22.85%,Consumer Discretionary,0.00,1.41,-13.24,-24.69,1.55%,2.10%,1.66%,0.37%
"INDA","CBOE",49.56,0.06%,3364874,5807.25,0.58,-0.16%,-0.28%,2.06%,-5.18%,-8.31%,-5.67%,,2.70,-3.07,-22.97,-22.87,-0.64%,0.31%,-1.97%,-0.30%
"COPX","NYSE",94.42,-2.10%,2589721,3172.25,0.82,-0.18%,18.77%,7.13%,-1.34%,31.52%,92.93%,Materials,-1.81,-0.16,34.43,75.11,5.81%,15.11%,18.00%,-2.77%
"IBUY","NYSE",73.65,0.41%,8120,14.44,0.56,-0.26%,2.67%,9.62%,11.09%,-1.06%,0.34%,Consumer Discretionary,16.64,0.62,-8.40,-14.88,0.08%,2.86%,5.93%,-0.22%
"IGPT","NYSE",91.58,-1.78%,155667,206.90,0.75,-0.32%,6.24%,-8.14%,43.61%,53.99%,77.55%,Robotics & Automation,0.35,9.45,20.69,25.68,-0.74%,-2.45%,21.70%,-0.65%
"SIL","NYSE",99.14,-3.88%,1910898,1325.70,1.44,-0.41%,30.12%,5.77%,-16.00%,18.70%,75.94%,Materials,-0.37,-3.32,-8.31,9.62,7.89%,20.14%,11.55%,-4.76%
"ICLN","NASD",17.48,-1.96%,6198377,5971.02,1.04,-0.63%,-1.08%,-25.84%,-4.06%,6.39%,20.39%,Green Investing,-4.99,-7.58,12.69,20.30,-2.67%,-6.23%,-6.70%,-1.71%
"KRE","NYSE",74.30,-0.07%,13398951,13540.99,0.99,-0.75%,-2.11%,6.74%,11.28%,14.64%,13.40%,Financials,-8.25,-0.29,-4.29,0.16,-2.36%,-1.63%,6.95%,-0.30%
"BOTZ","NASD",35.75,-1.08%,495652,845.70,0.59,-0.80%,2.44%,-10.96%,-8.38%,-1.32%,4.93%,Robotics & Automation,2.29,2.27,9.83,13.51,-2.64%,-1.43%,-3.08%,-1.43%
"XRT","NYSE",86.89,0.35%,2410413,4597.27,0.52,-0.93%,-4.07%,3.45%,-0.10%,1.88%,1.85%,Consumer Discretionary,-15.28,-44.87,-25.57,-19.31,-2.35%,-1.83%,1.42%,-0.28%
"URA","NYSE",45.57,-5.79%,6296650,3421.72,1.84,-1.09%,14.73%,-10.22%,-16.14%,6.65%,11.20%,Materials,1.33,1.00,15.60,38.79,1.40%,5.71%,-6.03%,-5.75%
"KWEB","NYSE",26.32,0.84%,11168820,20564.77,0.54,-1.28%,-6.20%,-1.53%,-15.26%,-22.70%,-29.87%,Technology,-0.23,-14.91,-14.10,-6.84,-3.85%,-0.99%,-14.21%,-0.27%
"SMH","NASD",553.11,-3.47%,6301457,11007.18,0.57,-1.30%,2.64%,-7.65%,36.11%,53.59%,85.06%,Technology,-1.13,7.48,14.12,21.07,-2.81%,-5.07%,17.13%,-2.74%
"JETS","NYSE",29.18,-0.58%,1762854,2752.76,0.64,-1.32%,-7.89%,-0.48%,2.57%,3.95%,10.91%,Industrials,10.38,-13.70,-7.41,-17.04,-6.01%,-7.08%,3.16%,-1.29%
"WISE","NASD",36.35,-1.04%,1281,9.84,0.13,-1.32%,8.27%,-17.35%,6.91%,-6.72%,-9.24%,Robotics & Automation,0.00,5.35,-16.42,-6.76,-1.76%,-0.02%,-3.65%,-0.70%
"TAN","NYSE",48.65,-2.19%,632119,1271.62,0.50,-1.36%,-2.39%,-34.19%,-11.55%,-0.96%,17.34%,Green Investing,-16.76,-24.99,26.13,46.08,-4.22%,-8.56%,-11.79%,-2.37%
"BLOK","NYSE",62.07,-4.38%,395927,250.06,1.58,-1.40%,3.47%,-8.67%,16.06%,9.11%,3.42%,Fintech,-2.80,-15.45,-7.68,-9.90,1.29%,0.68%,4.06%,-3.24%
"BOAT","NYSE",48.98,0.04%,23824,30.04,0.79,-1.43%,10.34%,22.08%,16.87%,55.18%,53.16%,Industrials,11.79,3.31,36.50,33.90,5.18%,12.88%,25.14%,-0.41%
"IHI","NYSE",55.19,1.04%,1786492,2861.93,0.62,-1.74%,4.65%,12.72%,-8.32%,-11.20%,-10.85%,Healthcare,3.50,4.69,-2.17,-9.37,-0.15%,4.99%,-1.06%,0.95%
"XHB","NYSE",104.60,0.08%,1370531,2450.13,0.56,-1.78%,0.08%,1.92%,-9.31%,1.59%,-8.57%,Consumer Discretionary,-10.60,-11.71,-16.65,-20.85,-2.89%,-3.80%,-2.26%,-0.31%
"ARKK","CBOE",84.59,-3.19%,5060578,6075.67,0.83,-1.88%,16.04%,3.22%,16.02%,9.97%,11.20%,Innovation / Patent Based,-3.82,-13.20,-14.15,-22.73,3.83%,7.06%,10.20%,-2.44%
"XOP","NYSE",185.94,0.25%,1563474,3379.18,0.46,-1.90%,6.33%,13.38%,20.96%,47.27%,40.04%,Energy,4.46,4.47,41.78,37.92,3.46%,9.48%,18.45%,0.26%
"ITA","CBOE",232.82,-0.61%,667141,708.10,0.94,-1.90%,-2.23%,-1.11%,-4.47%,8.44%,16.32%,Industrials,2.37,-0.75,1.06,25.73,-5.03%,-3.40%,1.68%,-1.03%
"PAVE","CBOE",55.31,-1.34%,1283462,1824.49,0.70,-1.92%,-1.41%,-1.78%,0.40%,15.74%,17.86%,Infrastructure,-0.27,2.39,17.63,21.04,-3.69%,-3.49%,3.04%,-1.50%
"XBI","NYSE",162.38,-3.48%,9786063,9002.96,1.09,-2.02%,7.21%,18.79%,27.49%,33.17%,79.84%,Healthcare,7.95,15.37,10.93,18.97,1.35%,3.83%,21.07%,-2.60%
"IPO","NYSE",53.24,-3.24%,15005,37.13,0.40,-2.06%,1.90%,-5.93%,22.31%,16.63%,5.74%,,-5.10,-3.00,-7.03,-14.41,-2.99%,-3.50%,8.41%,-2.29%
"RING","NASD",87.46,-3.89%,716957,742.80,0.97,-3.73%,32.94%,12.47%,-12.03%,18.77%,67.39%,Materials,-10.34,-15.57,-22.36,-15.27,7.93%,22.63%,13.53%,-4.30%
"UFO","NASD",43.98,-1.92%,248917,948.70,0.26,-4.22%,0.37%,-32.66%,-1.10%,13.79%,30.63%,Space Exploration & Technology,-5.83,-32.69,636.78,1612.12,-5.67%,-5.17%,-5.01%,-2.01%
