"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"RING","NASD",65.05,0.87%,430862,569.13,0.76,7.40%,0.06%,-20.90%,-28.84%,-11.66%,42.68%,Materials,-0.01,-12.01,-15.82,-1.25,1.22%,-5.79%,-13.60%
"ITA","CBOE",243.91,1.57%,918852,803.12,1.14,6.39%,2.75%,13.03%,3.76%,13.61%,23.02%,Industrials,-0.26,-4.46,-0.65,25.11,2.30%,4.34%,8.36%
"SIL","NYSE",75.78,0.45%,558640,1513.77,0.37,6.12%,-1.70%,-20.12%,-32.07%,-9.27%,51.41%,Materials,-0.88,-5.77,-10.40,20.41,0.04%,-7.23%,-12.40%
"COPX","NYSE",77.90,0.23%,2183382,3717.98,0.59,5.47%,1.86%,-5.43%,-9.43%,8.51%,72.27%,Materials,-0.66,5.70,50.15,108.14,2.02%,-4.00%,1.29%
"URA","NYSE",40.32,1.08%,2922591,3623.24,0.81,4.27%,-8.20%,-27.10%,-29.26%,-5.64%,-3.61%,Materials,0.65,-0.41,17.71,50.46,-2.71%,-10.94%,-18.56%
"PAVE","CBOE",57.48,-0.36%,1428367,1877.79,0.76,3.20%,-4.18%,2.46%,12.49%,20.28%,22.66%,Infrastructure,0.24,6.51,17.20,22.30,0.88%,0.98%,9.38%
"XHB","NYSE",109.24,0.74%,1371882,2678.27,0.51,2.99%,-5.76%,0.73%,-2.19%,6.10%,2.54%,Consumer Discretionary,6.78,2.49,-4.20,3.87,-0.04%,2.45%,2.18%
"OIH","NYSE",385.68,-1.53%,366617,361.91,1.01,2.80%,1.35%,-11.79%,13.47%,35.44%,52.94%,Energy,-1.99,-3.35,9.22,19.88,2.34%,-4.25%,7.56%
"BOAT","NYSE",42.89,-1.99%,36330,23.73,1.53,2.71%,6.22%,6.24%,25.78%,35.89%,38.53%,Industrials,0.00,-10.79,25.81,29.43,4.96%,4.11%,14.92%
"UFO","NASD",43.89,2.16%,317509,1305.04,0.24,1.97%,-3.67%,-13.99%,-6.52%,13.56%,42.92%,Space Exploration & Technology,-19.24,14.51,1028.38,,-5.29%,-15.76%,-3.11%
"IHI","NYSE",51.37,2.27%,2522581,2924.51,0.86,1.56%,2.43%,-2.73%,-14.78%,-17.35%,-16.38%,Healthcare,-2.15,-3.38,-9.55,-19.08,1.29%,2.65%,-9.03%
"JETS","NYSE",30.97,2.89%,3193221,3385.62,0.94,1.28%,-6.09%,19.12%,8.44%,10.33%,26.00%,Industrials,-14.26,-20.04,-14.90,-29.69,-1.91%,3.48%,12.43%
"EWZ","NYSE",35.87,0.39%,14359902,23615.74,0.61,1.10%,4.94%,-10.19%,-1.97%,12.91%,33.60%,,-4.85,-13.04,25.13,39.21,1.63%,1.86%,1.75%
"KIE","NYSE",64.74,0.94%,853637,1323.42,0.65,0.98%,9.49%,12.14%,11.85%,7.63%,12.24%,Financials,35.48,26.98,5.60,-29.79,2.16%,8.27%,10.95%
"INDA","CBOE",48.89,1.81%,6045820,6186.57,0.98,0.70%,-1.09%,-1.39%,-4.59%,-9.55%,-9.13%,,-1.98,3.72,-22.82,-28.21,0.04%,0.62%,-4.25%
"XRT","NYSE",89.54,2.91%,7012595,5188.31,1.35,0.67%,2.26%,4.37%,0.77%,4.98%,9.50%,Consumer Discretionary,29.26,10.61,6.04,21.09,1.71%,4.42%,5.43%
"IAI","NYSE",188.65,0.94%,41379,106.45,0.39,0.49%,6.13%,6.85%,2.04%,5.17%,7.30%,Financials,-4.74,-15.43,-18.58,-10.65,0.72%,2.70%,6.37%
"BOTZ","NASD",34.34,1.51%,547886,1014.89,0.54,0.26%,-6.20%,-8.08%,-9.08%,-5.22%,0.03%,Robotics & Automation,0.24,3.82,7.91,12.62,-4.46%,-8.76%,-7.12%
"BETZ","NYSE",19.48,2.98%,8348,40.86,0.20,0.14%,5.84%,0.70%,1.88%,-7.15%,-19.70%,Consumer Discretionary,-16.32,-5.03,-13.65,-29.25,1.39%,2.08%,-0.80%
"BLOK","NYSE",60.44,0.31%,143099,309.35,0.46,-0.09%,-3.10%,0.59%,-4.18%,6.23%,-0.68%,Fintech,-3.54,-7.39,-5.11,-8.00,-2.06%,-4.69%,-0.52%
"XBI","NYSE",150.59,0.07%,9315699,9009.05,1.03,-0.23%,-0.66%,12.99%,17.61%,23.51%,71.89%,Healthcare,0.86,4.52,4.09,15.54,-3.73%,4.65%,17.50%
"COAL","NYSE",23.28,-1.69%,19786,57.27,0.35,-0.26%,0.26%,-7.21%,-14.35%,2.06%,12.12%,Energy,-10.50,-32.35,149.45,231.13,0.79%,-5.30%,-5.67%
