"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"BOAT","NYSE",41.56,-0.84%,12044,23.06,0.52,4.40%,-2.23%,1.27%,23.32%,31.67%,40.81%,Industrials,0.00,-11.17,27.10,30.94
"KRE","NYSE",77.92,2.82%,20721869,14426.16,1.44,4.38%,7.88%,12.65%,17.63%,20.23%,25.86%,Financials,8.02,4.76,7.56,16.02
"XOP","NYSE",166.44,0.96%,1788215,3762.00,0.48,4.38%,5.10%,1.33%,28.28%,31.82%,31.32%,Energy,-0.17,-2.03,38.10,37.33
"XRT","NYSE",90.48,1.55%,5143172,5247.89,0.98,4.10%,3.48%,7.87%,0.10%,6.09%,14.40%,Consumer Discretionary,14.53,-13.15,-25.12,28.06
"KWEB","NYSE",27.48,1.78%,22919330,26091.04,0.88,3.78%,3.23%,-7.29%,-25.57%,-19.30%,-22.22%,Technology,-8.59,-6.54,-13.65,20.08
"XHB","NYSE",110.80,1.73%,1825084,2668.22,0.68,2.96%,2.28%,7.70%,-3.55%,7.61%,9.69%,Consumer Discretionary,7.42,16.37,5.45,14.42
"IBUY","NYSE",72.35,0.03%,8779,12.61,0.70,2.83%,5.83%,6.03%,-6.20%,-2.81%,4.44%,Consumer Discretionary,-11.09,-11.09,-19.14,-28.38
"MAGS","CBOE",68.12,-1.30%,5606253,4125.44,1.36,2.04%,2.25%,4.38%,3.23%,3.27%,20.31%,Technology,8.50,-5.09,-2.51,36.92
"IAI","NYSE",192.28,-2.06%,42937,106.51,0.40,1.89%,3.14%,7.18%,3.12%,7.20%,11.97%,Financials,-6.29,-16.16,-17.87,-11.17
"IHI","NYSE",52.20,4.69%,3213159,2826.10,1.14,1.79%,5.14%,-3.76%,-16.29%,-16.01%,-14.16%,Healthcare,-3.48,-0.47,-8.99,-19.40
"COAL","NYSE",22.95,-3.37%,92732,81.75,1.13,1.46%,-9.86%,-11.83%,-9.85%,0.61%,20.32%,Energy,-14.19,-49.20,147.77,241.92
"EWZ","NYSE",35.33,-1.53%,18881503,25043.23,0.75,1.06%,1.99%,-14.79%,8.27%,11.21%,28.58%,,-4.84,-6.23,25.01,39.00
"OIH","NYSE",377.09,-1.30%,301933,393.23,0.77,0.69%,-9.20%,-6.50%,17.65%,32.42%,61.84%,Energy,-4.57,-0.50,10.60,20.12
"PAVE","CBOE",56.78,0.25%,1210111,1897.78,0.64,0.64%,-2.39%,5.03%,11.90%,18.81%,27.34%,Infrastructure,3.23,8.47,18.42,23.81
"BETZ","NYSE",19.37,-1.32%,7093,40.45,0.18,0.13%,-3.25%,1.10%,-3.30%,-7.67%,-19.80%,Consumer Discretionary,2.37,-3.96,-12.40,-27.83
"KIE","NYSE",63.47,2.16%,1240675,1304.41,0.95,0.06%,8.72%,10.61%,8.57%,5.52%,10.92%,Financials,17.50,12.41,-1.78,-31.52
"IGV","CBOE",93.70,-0.26%,6981609,20285.08,0.34,-0.19%,1.10%,12.92%,-9.34%,-11.34%,-14.67%,Technology,-3.04,8.24,76.49,19.93
"INDA","CBOE",48.69,-0.06%,3017364,6325.32,0.48,-0.67%,-1.16%,-2.58%,-8.20%,-9.92%,-11.91%,,0.00,9.55,-20.76,-24.29
"COPX","NYSE",74.68,-3.34%,3423719,3768.08,0.91,-0.95%,-16.85%,-13.24%,-6.46%,4.03%,68.58%,Materials,-0.72,3.66,49.34,108.32
"TAN","NYSE",54.18,-2.90%,517101,1485.67,0.35,-1.40%,-13.59%,-2.06%,3.81%,10.30%,43.07%,Green Investing,-4.75,8.43,45.57,62.03
