"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"BOAT","NYSE",51.03,0.43%,41451,32.39,1.28,3.76%,17.37%,24.55%,25.84%,61.68%,56.29%,Industrials,14.17,19.57,44.58,41.97,4.13%,13.52%,28.07%,0.22%
"IGPT","NYSE",94.29,-2.68%,113999,190.60,0.60,3.23%,3.92%,3.89%,50.16%,58.55%,80.22%,Robotics & Automation,3.16,8.97,20.74,25.21,1.27%,2.02%,22.94%,-0.79%
"ICLN","NASD",17.82,-1.05%,7178058,6236.88,1.15,2.59%,-2.09%,-10.27%,-3.73%,8.46%,22.43%,Green Investing,0.97,-21.14,3.50,10.22,0.40%,-2.03%,-5.04%,0.73%
"BLOK","NYSE",62.84,-2.22%,160792,201.86,0.80,2.16%,6.22%,4.21%,17.20%,10.46%,0.14%,Fintech,-1.62,-14.96,-8.51,-10.73,0.42%,2.12%,5.09%,-0.22%
"SMH","NASD",560.28,-2.44%,6251783,10232.53,0.61,1.78%,-2.21%,-1.86%,39.71%,55.58%,86.24%,Technology,0.99,6.56,15.33,21.45,-0.74%,-1.73%,16.49%,-0.22%
"URA","NYSE",45.00,-3.97%,2828123,3250.02,0.87,1.53%,-0.38%,6.26%,-12.38%,5.31%,6.58%,Materials,0.03,0.87,15.85,39.81,-1.60%,4.15%,-7.25%,-1.29%
"EWZ","NYSE",38.56,1.29%,25457323,21489.93,1.18,1.23%,13.48%,14.15%,2.53%,21.37%,29.88%,,-8.89,-15.79,12.38,24.91,7.29%,8.12%,7.05%,2.44%
"XOP","NYSE",195.47,0.24%,5674231,3190.99,1.78,1.20%,9.59%,16.36%,18.69%,54.82%,48.34%,Energy,1.56,6.85,36.11,37.39,4.01%,11.08%,22.63%,-1.38%
"CIBR","NASD",94.16,-0.34%,1282482,1531.92,0.84,0.66%,-5.76%,13.11%,43.19%,31.78%,25.55%,Technology,2.61,6.16,7.59,11.11,-2.02%,-0.09%,21.17%,0.17%
"MAGS","CBOE",69.18,-0.20%,2481969,4256.83,0.58,0.61%,1.08%,7.72%,11.31%,4.88%,12.69%,Technology,0.52,11.51,2.49,37.38,1.30%,2.88%,5.80%,0.44%
"BETZ","NYSE",19.18,-0.19%,1236,38.67,0.03,0.08%,-0.19%,-3.82%,3.93%,-8.56%,-22.80%,Consumer Discretionary,0.00,1.43,-13.38,-24.93,-1.27%,-0.61%,-0.48%,-0.29%
"ARKK","CBOE",83.06,-1.77%,5082132,5580.77,0.91,-0.40%,3.05%,13.77%,13.67%,7.98%,9.93%,Innovation / Patent Based,-1.44,-12.64,-11.72,-18.79,-1.38%,3.78%,7.75%,0.35%
"TAN","NYSE",47.04,-1.47%,826517,1131.79,0.73,-0.49%,-10.74%,-20.49%,-15.59%,-4.23%,12.24%,Green Investing,-16.37,-32.28,15.28,34.57,-4.05%,-8.54%,-14.63%,0.77%
"IAI","NYSE",189.77,-0.97%,76041,77.34,0.98,-0.55%,0.95%,6.12%,14.67%,5.80%,8.16%,Financials,0.70,-5.73,-17.54,-12.62,-1.70%,-0.23%,5.32%,-0.36%
"KRE","NYSE",73.81,0.49%,10148467,13088.21,0.78,-0.58%,-3.91%,3.03%,15.36%,13.89%,13.69%,Financials,-8.11,4.44,-3.53,-7.53,-1.52%,-2.32%,5.41%,0.83%
