"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"CNBS","NYSE",26.88,-0.77%,5686,9.82,0.58,11.86%,-1.60%,-4.53%,7.92%,-5.25%,-4.91%,Cannabis Based Businesses,0.00,-12.34,-22.00,-20.61,5.80%,-1.14%,3.04%,-0.70%
"RING","NASD",79.09,1.23%,818690,650.11,1.26,9.56%,23.02%,-6.47%,-10.44%,7.40%,59.68%,Materials,-12.38,-17.04,-21.54,-11.83,16.84%,16.71%,4.68%,-1.79%
"SIL","NYSE",91.31,0.56%,1234549,1334.00,0.93,9.00%,20.89%,-11.10%,-10.93%,9.33%,67.33%,Materials,-0.31,-3.97,-8.72,15.04,16.05%,14.93%,4.92%,-2.21%
"XOP","NYSE",178.58,0.12%,2621563,3496.23,0.75,8.11%,7.68%,5.21%,22.63%,41.44%,44.87%,Energy,2.92,-1.45,38.12,34.18,3.70%,8.19%,16.32%,0.41%
"BOIL","NYSE",20.73,1.37%,2482241,4155.49,0.60,8.03%,-7.17%,-20.27%,-43.88%,-54.74%,-65.01%,,2.41,0.34,-34.28,-14.02,-0.36%,-15.01%,-46.38%,-1.80%
"OIH","NYSE",413.24,-0.50%,154043,335.26,0.46,7.32%,7.22%,-5.49%,12.17%,45.11%,74.20%,Energy,-8.20,-16.83,-1.03,14.87,6.74%,5.61%,12.72%,-0.61%
"ARKK","CBOE",81.37,0.96%,3337501,6603.66,0.51,6.81%,2.33%,4.04%,12.61%,5.79%,5.98%,Innovation / Patent Based,-26.62,-5.45,-10.76,-16.69,7.77%,5.12%,5.81%,-0.49%
"COAL","NYSE",24.73,-0.66%,5429,47.83,0.11,5.86%,4.74%,-2.45%,-4.96%,8.42%,14.84%,Energy,-6.70,-21.45,131.14,179.93,5.19%,2.69%,0.21%,0.57%
"URA","NYSE",45.20,0.07%,1667158,3551.18,0.47,5.39%,8.78%,-16.84%,-15.51%,5.78%,11.85%,Materials,1.38,-0.91,16.59,42.74,9.79%,4.11%,-7.47%,-1.53%
"UFO","NASD",48.86,1.90%,221996,1200.51,0.18,4.87%,6.77%,-12.11%,9.70%,26.42%,59.92%,Space Exploration & Technology,-9.79,1.21,424.41,731.95,8.34%,0.81%,6.85%,0.83%
