"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"COPX","NYSE",77.72,-0.83%,2119649,3724.31,0.57,5.96%,2.67%,-5.75%,-5.48%,8.26%,70.03%,Materials,-0.65,4.47,49.10,105.01
"RING","NASD",64.49,0.00%,169350,569.45,0.30,5.86%,0.67%,-19.34%,-28.12%,-12.43%,42.90%,Materials,4.93,-8.98,-11.97,3.93
"BOAT","NYSE",43.76,1.63%,70408,22.73,3.10,5.72%,5.57%,9.49%,28.52%,38.64%,41.40%,Industrials,0.00,-10.86,26.02,29.67
"SIL","NYSE",75.44,0.21%,539702,1523.09,0.35,5.16%,-0.17%,-19.91%,-30.57%,-9.67%,49.56%,Materials,-0.89,-5.78,-10.42,20.45
"ITA","CBOE",240.14,0.80%,1037635,809.54,1.28,4.08%,1.67%,9.60%,1.83%,11.85%,22.00%,Industrials,-0.84,-3.71,-0.65,25.46
"OIH","NYSE",391.66,2.27%,372188,364.74,1.02,3.34%,5.49%,-7.95%,14.67%,37.54%,54.78%,Energy,-2.78,-2.53,11.62,22.84
"COAL","NYSE",23.68,-1.33%,11298,64.80,0.17,3.12%,2.11%,-7.14%,-12.58%,3.81%,12.32%,Energy,-10.39,-32.10,145.14,236.04
"URA","NYSE",39.89,-3.01%,2695863,3629.62,0.74,3.00%,-10.80%,-29.36%,-29.47%,-6.65%,-5.38%,Materials,0.63,-0.40,17.06,47.59
"BLOK","NYSE",60.25,-2.89%,129402,309.73,0.42,2.94%,-5.28%,0.33%,-4.27%,5.91%,-1.98%,Fintech,-3.44,-7.19,-4.96,-7.77
"PAVE","CBOE",57.69,0.31%,1406444,1899.37,0.74,2.47%,-1.23%,2.38%,11.65%,20.72%,25.14%,Infrastructure,0.33,6.80,17.15,22.27
"XOP","NYSE",174.05,-0.92%,3615106,3597.73,1.00,2.27%,13.74%,2.65%,29.38%,37.85%,35.14%,Energy,-2.37,6.27,39.30,39.63
"EWZ","NYSE",35.73,-1.22%,13799666,23846.34,0.58,1.42%,5.55%,-10.88%,-0.61%,12.46%,32.15%,,-4.79,-12.52,24.72,38.49
