"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"URA","NYSE",48.37,0.67%,3477977,3422.03,1.02,10.33%,28.92%,-4.69%,-11.85%,13.20%,21.90%,Materials,1.12,0.90,15.60,39.36,8.41%,12.13%,-0.29%,0.23%
"IGV","CBOE",110.32,7.74%,24461296,15663.60,1.56,8.25%,19.43%,15.30%,33.56%,4.38%,2.67%,Technology,-6.83,-12.97,53.82,29.83,7.69%,15.40%,17.74%,4.38%
"BOIL","NYSE",20.45,0.69%,6095398,4163.55,1.46,7.92%,2.56%,-31.63%,-36.49%,-55.35%,-63.21%,,2.28,4.99,-33.40,-33.26,3.83%,-9.30%,-43.83%,-1.78%
"CIBR","NASD",100.79,7.61%,1953067,1616.38,1.21,7.85%,13.52%,20.45%,57.80%,41.06%,37.86%,Technology,2.84,4.95,6.98,10.88,4.05%,9.11%,31.30%,4.07%
"COPX","NYSE",96.45,0.95%,2139859,3169.22,0.68,7.25%,26.67%,9.06%,2.12%,34.35%,98.95%,Materials,-1.43,0.60,35.25,76.32,9.03%,17.81%,20.77%,1.45%
"COAL","NYSE",27.61,2.91%,38164,42.20,0.90,6.61%,20.87%,1.21%,11.73%,21.04%,35.33%,Energy,0.00,-12.74,111.18,147.80,10.33%,15.26%,10.99%,2.26%
"SIL","NYSE",103.14,2.49%,946415,1325.05,0.71,5.83%,41.40%,13.37%,-11.56%,23.49%,84.34%,Materials,-0.37,-3.39,-8.49,10.59,13.82%,25.39%,16.26%,2.72%
"ARKK","CBOE",87.38,1.87%,2907412,6120.66,0.48,4.94%,23.80%,7.86%,17.12%,13.60%,15.70%,Innovation / Patent Based,-5.64,-10.94,-14.38,-22.57,8.14%,10.76%,13.85%,1.02%
"BLOK","NYSE",64.91,2.32%,97903,253.93,0.39,4.90%,15.48%,-3.23%,17.95%,14.10%,8.84%,Fintech,-3.10,-15.71,-7.82,-10.09,6.17%,5.17%,8.78%,0.81%
"EWZ","NYSE",35.76,0.11%,16589895,20861.85,0.80,4.75%,0.82%,-0.97%,-8.54%,12.56%,23.64%,,-9.82,-19.69,12.99,25.78,2.05%,1.96%,-0.13%,0.36%
