"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average"
"COPX","NYSE",77.72,-0.83%,2120874,3724.31,0.57,5.96%,2.67%,-5.75%,-5.48%,8.26%,70.03%,Materials,-0.66,5.70,50.15,108.14,1.90%,-4.55%,1.16%
"RING","NASD",64.49,0.00%,169754,569.45,0.30,5.86%,0.67%,-19.34%,-28.12%,-12.43%,42.90%,Materials,-0.01,-12.01,-15.82,-1.25,0.28%,-7.10%,-14.35%
"BOAT","NYSE",43.76,1.63%,70562,22.73,3.10,5.72%,5.57%,9.49%,28.52%,38.64%,41.40%,Industrials,0.00,-10.79,25.81,29.43,7.52%,6.25%,17.45%
"SIL","NYSE",75.44,0.21%,540084,1523.09,0.35,5.16%,-0.17%,-19.91%,-30.57%,-9.67%,49.56%,Materials,-0.88,-5.77,-10.40,20.41,-0.58%,-8.25%,-12.77%
"ITA","CBOE",240.14,0.80%,1038069,809.54,1.28,4.08%,1.67%,9.60%,1.83%,11.85%,22.00%,Industrials,-0.26,-4.46,-0.65,25.11,0.87%,2.88%,6.75%
"OIH","NYSE",391.66,2.27%,372464,364.74,1.02,3.34%,5.49%,-7.95%,14.67%,37.54%,54.78%,Energy,-1.99,-3.35,9.22,19.88,4.07%,-3.02%,9.41%
"COAL","NYSE",23.68,-1.33%,11314,64.80,0.17,3.12%,2.11%,-7.14%,-12.58%,3.81%,12.32%,Energy,-10.39,-32.10,145.14,236.04,2.57%,-3.81%,-4.05%
"URA","NYSE",39.89,-3.01%,2717336,3629.62,0.75,3.00%,-10.80%,-29.36%,-29.47%,-6.65%,-5.38%,Materials,0.65,-0.41,17.71,50.46,-4.13%,-12.39%,-19.52%
"BLOK","NYSE",60.25,-2.89%,129405,309.73,0.42,2.94%,-5.28%,0.33%,-4.27%,5.91%,-1.98%,Fintech,-3.54,-7.39,-5.11,-8.00,-2.58%,-5.09%,-0.92%
"PAVE","CBOE",57.69,0.31%,1406812,1899.37,0.74,2.47%,-1.23%,2.38%,11.65%,20.72%,25.14%,Infrastructure,0.24,6.51,17.20,22.30,1.12%,1.39%,9.89%
"XOP","NYSE",174.05,-0.92%,3623215,3597.73,1.01,2.27%,13.74%,2.65%,29.38%,37.85%,35.14%,Energy,2.70,6.79,42.17,33.76,6.56%,5.80%,15.57%
"EWZ","NYSE",35.73,-1.22%,14012932,23846.34,0.59,1.42%,5.55%,-10.88%,-0.61%,12.46%,32.15%,,-4.85,-13.04,25.13,39.21,1.41%,1.41%,1.45%
"SMH","NASD",561.19,-3.27%,19156403,10982.43,1.74,0.84%,-9.33%,16.47%,39.32%,55.83%,94.99%,Technology,3.72,2.84,12.08,19.36,-5.55%,-6.29%,25.92%
"BOIL","NYSE",22.59,-1.35%,3650099,4045.35,0.90,0.80%,-19.67%,-12.37%,-56.81%,-50.68%,-69.78%,,46.04,-19.42,-40.55,-12.08,-6.95%,-14.39%,-44.94%
"IGPT","NYSE",88.68,-3.35%,286314,209.59,1.37,0.24%,-11.19%,23.53%,37.40%,49.12%,75.78%,Robotics & Automation,5.11,19.43,21.90,29.58,-6.91%,-7.78%,24.54%
"XHB","NYSE",108.44,1.64%,2209213,2675.54,0.83,0.18%,-5.11%,-0.91%,-4.54%,5.32%,2.74%,Consumer Discretionary,6.78,2.49,-4.20,3.87,-1.06%,1.90%,1.44%
"KIE","NYSE",64.14,2.18%,1144242,1314.62,0.87,-0.05%,7.40%,10.09%,9.62%,6.63%,12.43%,Financials,35.48,26.98,5.60,-29.79,1.51%,7.59%,9.96%
"IHI","NYSE",50.23,1.60%,2775724,2905.57,0.96,-0.55%,1.23%,-5.24%,-17.36%,-19.18%,-17.22%,Healthcare,-2.15,-3.38,-9.55,-19.08,-0.92%,0.49%,-11.12%
"IAI","NYSE",186.90,-0.23%,89489,106.58,0.84,-0.78%,3.04%,6.02%,-0.67%,4.20%,7.16%,Financials,-4.74,-15.43,-18.58,-10.65,0.13%,1.86%,5.42%
"JETS","NYSE",30.10,2.66%,2497873,3433.37,0.73,-1.18%,-7.33%,17.03%,4.22%,7.23%,23.26%,Industrials,-14.26,-20.04,-14.90,-29.69,-5.02%,0.90%,9.40%
"KRE","NYSE",75.73,0.77%,11073795,14534.34,0.76,-1.25%,2.38%,8.19%,8.29%,16.85%,21.79%,Financials,-5.56,6.21,-2.84,2.77,0.41%,4.63%,12.08%
"BETZ","NYSE",18.92,1.65%,15376,40.91,0.38,-1.36%,1.92%,-0.26%,-1.83%,-9.83%,-21.51%,Consumer Discretionary,-16.32,-5.03,-13.65,-29.25,-1.36%,-0.76%,-3.75%
"UFO","NASD",42.96,-1.74%,599112,1313.22,0.46,-1.54%,-7.57%,-18.79%,-8.30%,11.15%,38.63%,Space Exploration & Technology,-19.24,14.51,1028.38,,-7.53%,-17.94%,-5.12%
"BOTZ","NASD",33.83,-1.40%,1202295,1008.08,1.19,-1.66%,-7.52%,-7.72%,-10.69%,-6.62%,-1.91%,Robotics & Automation,0.24,3.82,7.91,12.62,-6.09%,-10.46%,-8.53%
"INDA","CBOE",48.02,0.82%,7404101,6179.11,1.20,-1.82%,-3.24%,-2.81%,-7.29%,-11.16%,-11.17%,,-1.98,3.72,-22.82,-28.21,-1.81%,-1.14%,-5.99%
"KWEB","NYSE",26.29,0.08%,23552574,25086.29,0.94,-1.94%,8.19%,-7.53%,-26.75%,-22.79%,-28.15%,Technology,-4.01,-10.77,-13.90,4.79,1.05%,-0.70%,-18.52%
"WISE","NASD",33.13,-2.28%,4508,11.14,0.40,-2.19%,-10.86%,-9.40%,-18.39%,-14.97%,-14.40%,Robotics & Automation,-10.04,-17.90,-17.90,-4.83,-7.98%,-14.18%,-14.78%
"XBI","NYSE",150.48,-1.15%,7387094,8999.43,0.82,-2.45%,0.51%,11.89%,14.37%,23.42%,72.00%,Healthcare,0.86,4.52,4.09,15.54,-3.95%,4.78%,17.63%
"IPO","NYSE",51.46,-3.00%,18903,39.11,0.48,-2.50%,-9.00%,5.13%,8.70%,12.73%,11.69%,,-6.70,2.32,-0.46,-5.76,-7.74%,-6.64%,6.20%
"XRT","NYSE",87.01,0.73%,4440018,5172.52,0.86,-2.70%,-1.37%,1.29%,-2.98%,2.02%,6.72%,Consumer Discretionary,29.26,10.61,6.04,21.09,-1.12%,1.70%,2.48%
"ICLN","NASD",17.78,-3.21%,4608527,5908.03,0.78,-3.21%,-13.18%,-11.72%,-1.82%,8.22%,27.73%,Green Investing,-9.97,13.35,19.15,28.09,-6.82%,-13.93%,-4.44%
"IBUY","NYSE",68.24,0.25%,7532,12.75,0.59,-4.12%,-1.92%,-0.56%,-8.83%,-8.32%,-5.23%,Consumer Discretionary,-11.65,-11.65,-20.03,-29.55,-3.00%,0.38%,-1.98%
"CIBR","NASD",88.40,0.78%,873047,1633.20,0.53,-4.29%,5.49%,32.75%,25.12%,23.72%,18.85%,Technology,1.96,3.47,4.27,13.43,-2.86%,1.39%,18.71%
"ARKK","CBOE",71.89,-2.63%,5929221,6990.36,0.85,-4.40%,-6.30%,-6.03%,-12.57%,-6.54%,-5.16%,Innovation / Patent Based,-7.19,-18.46,-12.30,-19.20,-8.60%,-7.69%,-7.51%
"CNBS","NYSE",24.96,-0.72%,4486,10.93,0.41,-4.81%,-4.09%,-1.85%,-11.89%,-12.02%,40.30%,Cannabis Based Businesses,0.00,-14.54,-23.16,-21.72,-6.92%,-10.08%,-5.59%
"TAN","NYSE",51.28,-2.97%,726514,1361.95,0.53,-4.86%,-11.83%,-12.49%,-5.07%,4.40%,31.05%,Green Investing,-2.94,9.57,51.42,73.45,-6.81%,-15.46%,-6.48%
"IGV","CBOE",87.98,1.01%,14461427,18470.78,0.78,-5.19%,2.10%,5.28%,-9.24%,-16.76%,-21.51%,Technology,-11.97,-5.58,66.70,12.24,-4.32%,-5.14%,-7.66%
"MAGS","CBOE",63.15,-0.13%,4705674,4199.79,1.12,-5.62%,0.75%,-3.34%,-2.74%,-4.26%,9.88%,Technology,12.85,-15.60,-4.87,37.33,-4.18%,-5.48%,-2.91%
