"Ticker","Exchange","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Sector/Theme","Net Flows % (1 Month)","Net Flows % (3 Month)","Net Flows % (YTD)","Net Flows % (1 Year)"
"XOP","NYSE",173.83,2.23%,2365635,3654.96,0.65,4.81%,13.35%,7.90%,33.42%,37.68%,37.77%,Energy,-2.91,5.98,38.97,38.93
"KWEB","NYSE",27.02,-1.53%,12469605,25738.53,0.48,3.21%,7.05%,-10.80%,-24.33%,-20.65%,-25.13%,Technology,-7.04,-7.27,-13.39,13.00
"BLOK","NYSE",62.94,4.05%,177471,315.13,0.56,2.74%,-5.75%,2.78%,-4.36%,10.63%,2.69%,Fintech,-3.54,-6.43,-5.10,-5.08
"BOAT","NYSE",42.61,2.04%,25715,22.43,1.15,1.90%,4.21%,3.86%,27.46%,35.00%,43.89%,Industrials,0.00,-11.21,27.23,31.09
"IHI","NYSE",49.95,-1.25%,3432750,2912.93,1.18,1.48%,1.79%,-7.26%,-19.21%,-19.63%,-16.65%,Healthcare,-2.89,-0.12,-8.66,-18.80
"KRE","NYSE",75.98,0.12%,15978094,14572.82,1.10,1.31%,5.94%,7.56%,11.98%,17.24%,20.47%,Financials,5.24,13.58,8.90,19.67
"XRT","NYSE",88.46,-0.54%,4507586,5197.04,0.87,0.77%,2.40%,0.56%,-2.17%,3.72%,10.04%,Consumer Discretionary,-26.68,-21.37,-21.37,40.53
"KIE","NYSE",63.68,-0.67%,1129129,1313.76,0.86,0.32%,9.38%,9.04%,8.80%,5.87%,11.90%,Financials,31.29,40.38,6.65,-29.31
"IBUY","NYSE",70.92,-0.77%,3272,12.71,0.26,0.11%,3.18%,-0.29%,-5.65%,-4.73%,1.40%,Consumer Discretionary,-11.20,-11.20,-19.33,-28.62
"INDA","CBOE",48.78,0.47%,4277836,6202.40,0.69,0.10%,-1.61%,-3.46%,-7.70%,-9.75%,-10.90%,,-0.65,6.93,-21.38,-25.67
"SIL","NYSE",75.53,5.77%,1066920,1566.30,0.68,0.00%,-9.79%,-24.05%,-23.20%,-9.57%,50.94%,Materials,-0.64,-6.69,-10.67,22.23
"OIH","NYSE",383.49,2.21%,259697,378.44,0.69,-0.50%,-0.52%,-3.88%,17.42%,34.67%,64.69%,Energy,-2.84,-1.54,11.87,24.41
